task_name,lab,release_date,release_date_source
opus_4_1_medium,Anthropic,2025-08-05,https://docs.anthropic.com/en/docs/about-claude/model-deprecations
opus_4_1_nonthinking,Anthropic,2025-08-05,https://docs.anthropic.com/en/docs/about-claude/model-deprecations
opus_4_5_medium,Anthropic,2025-11-01,https://docs.anthropic.com/en/docs/about-claude/model-deprecations
opus_4_5_nonthinking,Anthropic,2025-11-01,https://docs.anthropic.com/en/docs/about-claude/model-deprecations
opus_4_6_medium,Anthropic,2026-02-05,https://platform.claude.com/docs/en/release-notes/overview
opus_4_6_nonthinking,Anthropic,2026-02-05,https://platform.claude.com/docs/en/release-notes/overview
opus_4_7_medium,Anthropic,2026-04-16,https://platform.claude.com/docs/en/release-notes/overview
opus_4_7_nonthinking,Anthropic,2026-04-16,https://platform.claude.com/docs/en/release-notes/overview
opus_4_8_medium,Anthropic,2026-05-28,https://platform.claude.com/docs/en/release-notes/overview
opus_4_8_nonthinking,Anthropic,2026-05-28,https://platform.claude.com/docs/en/release-notes/overview
sonnet_4_5_medium,Anthropic,2025-09-29,https://docs.anthropic.com/en/docs/about-claude/model-deprecations
sonnet_4_5_nonthinking,Anthropic,2025-09-29,https://docs.anthropic.com/en/docs/about-claude/model-deprecations
sonnet_4_6_medium,Anthropic,2026-02-17,https://www.anthropic.com/news/claude-sonnet-4-6
sonnet_4_6_nonthinking,Anthropic,2026-02-17,https://www.anthropic.com/news/claude-sonnet-4-6
sonnet_5_medium,Anthropic,2026-06-30,https://platform.claude.com/docs/en/release-notes/overview
sonnet_5_nonthinking,Anthropic,2026-06-30,https://platform.claude.com/docs/en/release-notes/overview
haiku_4_5_medium,Anthropic,2025-10-01,https://docs.anthropic.com/en/docs/about-claude/model-deprecations
haiku_4_5_nonthinking,Anthropic,2025-10-01,https://docs.anthropic.com/en/docs/about-claude/model-deprecations
claude_fable_5,Anthropic,2026-06-09,https://www.anthropic.com/news/claude-fable-5
gpt_5_medium,OpenAI,2025-08-07,https://developers.openai.com/api/docs/changelog
gpt_5_nano_medium,OpenAI,2025-08-07,https://developers.openai.com/api/docs/changelog
gpt_5_1_medium,OpenAI,2025-11-13,https://developers.openai.com/api/docs/changelog
gpt_5_1_nonthinking,OpenAI,2025-11-13,https://developers.openai.com/api/docs/changelog
gpt_5_2_medium,OpenAI,2025-12-11,https://developers.openai.com/api/docs/changelog
gpt_5_2_nonthinking,OpenAI,2025-12-11,https://developers.openai.com/api/docs/changelog
gpt_5_4_medium,OpenAI,2026-03-05,https://developers.openai.com/api/docs/changelog
gpt_5_4_nonthinking,OpenAI,2026-03-05,https://developers.openai.com/api/docs/changelog
gpt_5_4_nano_medium,OpenAI,2026-03-17,https://developers.openai.com/api/docs/changelog
gpt_5_4_nano_nonthinking,OpenAI,2026-03-17,https://developers.openai.com/api/docs/changelog
gpt_5_5_medium,OpenAI,2026-04-23,https://developers.openai.com/api/docs/changelog
gpt_5_5_nonthinking,OpenAI,2026-04-23,https://developers.openai.com/api/docs/changelog
gemini_2_5_pro_medium,Google,2025-03-25,https://ai.google.dev/gemini-api/docs/changelog
gemini_2_5_flash_medium,Google,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog
gemini_2_5_flash_nonthinking,Google,2025-06-17,https://ai.google.dev/gemini-api/docs/changelog
gemini_3_flash_medium,Google,2025-12-17,https://ai.google.dev/gemini-api/docs/changelog
gemini_3_1_pro_medium,Google,2025-11-18,https://ai.google.dev/gemini-api/docs/changelog
gemini_3_5_flash_medium,Google,2026-05-19,https://ai.google.dev/gemini-api/docs/changelog
gemma4_26b_a4b,Google,2026-03-31,https://ai.google.dev/gemma/docs/releases
