"run_id","technician","concentration_ug","absorbance"
160,"KM",54.4,0.545
133,"DH",21.63,0.167
118,"DH",22.57,0.261
79,"KM",29.61,0.382
17,"KM",64.33,0.602
81,"DH",74.81,0.747
27,"DH",10.38,0.127
73,"DH",71.92,0.718
146,"KM",54.1,0.55
149,"KM",54.18,0.55
78,"DH",89.95,0.864
109,"DH",83.44,0.801
82,"RS",46.91,0.472
115,"KM",20.47,0.262
195,"KM",81.48,0.812
16,"DH",14.46,0.201
147,"KM",53.92,0.554
105,"RS",53.33,0.525
185,"KM",81,0.816
181,"KM",81.43,0.81
108,"KM",60.04,0.614
194,"KM",81.31,0.815
70,"DH",69.05,0.699
69,"DH",49.08,0.523
89,"KM",54.77,0.525
22,"KM",71.73,0.68
68,"KM",85.12,0.876
155,"KM",53.74,0.557
164,"DH",24.27,0.275
90,"DH",77.39,0.84
75,"RS",7.01,0.131
165,"DH",24.35,0.271
28,"RS",73.88,0.752
111,"DH",38.62,0.353
12,"RS",12.08,0.091
62,"KM",90.85,0.876
153,"KM",53.96,0.558
87,"RS",42.03,0.42
63,"DH",69.6,0.733
110,"DH",51.67,0.534
49,"KM",75.96,0.754
103,"RS",25.32,0.189
20,"RS",68.28,0.709
88,"DH",93.77,0.998
15,"DH",27.61,0.289
144,"KM",53.92,0.553
30,"KM",72.64,0.733
74,"KM",78.82,0.691
114,"DH",49.39,0.535
96,"DH",76.38,0.832
142,"KM",54.17,0.555
120,"DH",23.05,0.303
128,"DH",44.96,0.405
46,"KM",69.29,0.656
29,"DH",43.29,0.41
21,"RS",42.95,0.423
85,"KM",41.24,0.43
10,"RS",10.25,0.119
190,"KM",81.22,0.809
106,"RS",37.01,0.328
101,"RS",66.18,0.747
174,"DH",24.06,0.269
132,"DH",78.43,0.807
102,"RS",76.84,0.759
169,"DH",24.23,0.268
177,"DH",24.23,0.273
13,"DH",83.5,0.893
137,"DH",5.94,0.112
59,"DH",68.15,0.646
148,"KM",53.67,0.56
50,"KM",30.71,0.261
86,"KM",26.15,0.266
48,"KM",39.9,0.406
141,"KM",53.89,0.559
91,"KM",91.4,0.987
187,"KM",81.57,0.815
80,"KM",58.52,0.542
7,"DH",94.28,0.906
14,"DH",63.4,0.571
97,"DH",66,0.718
154,"KM",53.95,0.55
72,"RS",70.53,0.757
42,"KM",10.1,0.204
11,"RS",85.13,0.816
173,"DH",24.1,0.273
184,"KM",81.36,0.813
182,"KM",81.26,0.816
168,"DH",24.23,0.268
40,"KM",6.71,0.075
35,"DH",83.18,0.868
77,"DH",44.88,0.446
197,"KM",81.4,0.813
53,"RS",72.62,0.611
200,"KM",81.39,0.824
4,"DH",47.28,0.503
163,"DH",24.24,0.267
67,"DH",56.24,0.605
