"meter_id","dwelling","outdoor_temp_c","heating_kwh"
"MTR2467","apartment",17.9,17.28
"MTR2282","townhouse",12,20.6
"MTR3611","townhouse",7.9,34.7
"MTR6234","detached",7.6,26.13
"MTR3409","townhouse",-2.9,45.33
"MTR3998","detached",13.5,19.07
"MTR5184","townhouse",14.9,21.06
"MTR6353","apartment",-5.3,45.81
"MTR3481","townhouse",7,34.5
"MTR5242","apartment",4,30.87
"MTR2455","detached",0.2,37.71
"MTR8169","apartment",14.7,16.69
"MTR8114","townhouse",7.4,30.97
"MTR3565","apartment",3.8,36.16
"MTR2626","detached",-2,42.35
"MTR8379","detached",15.1,16.1
"MTR8760","detached",7.2,27.56
"MTR5021","apartment",-0.4,38.58
"MTR5273","detached",-3.2,40.89
"MTR1546","detached",14.3,16.45
"MTR7416","apartment",-6.5,55.12
"MTR7375","apartment",-4.3,46.86
"MTR5881","townhouse",16,16.88
"MTR3673","apartment",15.4,22.88
"MTR6209","townhouse",15.8,15.09
"MTR9060","apartment",15,15.15
"MTR2784","apartment",15.6,18.68
"MTR8860","detached",11.5,28.03
"MTR4075","townhouse",7.7,22.97
"MTR1626","apartment",-0.2,47.21
"MTR6107","townhouse",12.8,22.83
"MTR1475","detached",-0.6,37.84
"MTR9165","townhouse",8.4,26.81
"MTR8996","apartment",-2.1,40.92
"MTR2829","detached",-3.7,41.44
"MTR2945","apartment",17.5,15.97
"MTR5823","apartment",6,31.4
"MTR2295","detached",6.5,28.58
"MTR7748","detached",6.4,20.82
"MTR3991","townhouse",16.8,13.45
"MTR5345","detached",8.2,23.19
"MTR6466","apartment",-5.7,49.68
"MTR9729","townhouse",9.6,26.29
"MTR5919","detached",3.8,32.49
"MTR5623","detached",-0.8,40.33
"MTR9839","townhouse",-0.7,40.39
"MTR9732","apartment",5.5,30.02
"MTR6573","townhouse",5.1,29.52
"MTR7610","apartment",12.2,26.03
"MTR7159","apartment",7.1,24.49
"MTR4326","apartment",3.9,32.45
"MTR5790","apartment",-0.6,35.09
"MTR8847","townhouse",16,16.73
"MTR5264","detached",-6.2,40.31
"MTR1424","detached",-1.9,43.18
"MTR2013","townhouse",4.7,33.26
"MTR4963","apartment",16.8,13.92
"MTR2111","townhouse",-6.6,41.07
"MTR5540","detached",14,14.5
"MTR9597","detached",15.2,19.43
"MTR5541","apartment",-7.4,60.27
"MTR3017","townhouse",9.5,21.45
"MTR7357","detached",11.2,21.76
"MTR7016","apartment",6,22.11
"MTR8493","apartment",17.2,10.24
"MTR8834","townhouse",-7.9,65.41
"MTR6917","apartment",1.7,35.53
"MTR4488","apartment",11.7,20.04
"MTR4495","apartment",4.1,32.06
"MTR9733","apartment",-6.7,45.51
"MTR9422","townhouse",-6.3,48.05
"MTR5323","detached",-3.9,45.4
"MTR4001","detached",-0.9,36.92
"MTR7283","townhouse",-2.6,46.42
"MTR2360","apartment",16.5,15.42
"MTR9525","apartment",10.2,20.94
"MTR7178","detached",7.7,28.68
"MTR2293","apartment",13.4,17.19
"MTR7204","apartment",-2.2,32.8
"MTR2352","apartment",-5.1,44.03
"MTR8462","detached",2.1,34.95
"MTR9669","apartment",-4.2,43.54
"MTR7417","apartment",-0.5,40.48
"MTR1581","townhouse",7.2,23.38
