"report_id","department","category","amount_usd"
"EXP50192","sales","supplies",118.71
"EXP26690","sales","supplies",158.31
"EXP61300","marketing","supplies",42.24
"EXP83612","marketing","software",33.38
"EXP94475","engineering","meals",72.06
"EXP50455","engineering","meals",54.61
"EXP59513","operations","supplies",28.66
"EXP11345","engineering","software",39.18
"EXP47696","operations","software",12.89
"EXP94771","marketing","software",71.46
"EXP18607","engineering","meals",51.5
"EXP14073","operations","meals",86.73
"EXP78693","sales","meals",18.68
"EXP80091","engineering","software",57.79
"EXP38654","operations","supplies",23.42
"EXP78001","sales","travel",69.95
"EXP79624","engineering","meals",103
"EXP11932","marketing","travel",12.85
"EXP16075","engineering","meals",68.49
"EXP53290","sales","meals",149.84
"EXP38492","operations","supplies",50.35
"EXP36998","sales","software",12.95
"EXP80844","engineering","meals",21.79
"EXP73729","operations","meals",18.26
"EXP24454","operations","meals",69.44
"EXP18873","marketing","meals",65.88
"EXP41609","sales","travel",184.63
"EXP54537","marketing","travel",34.32
"EXP61299","engineering","software",39.02
"EXP73159","operations","travel",74.07
"EXP18319","marketing","travel",105.54
"EXP25850","operations","meals",98.05
"EXP64213","marketing","travel",71.64
"EXP80641","operations","software",74.53
"EXP34162","operations","meals",53.29
"EXP62941","engineering","supplies",36.41
"EXP34512","engineering","meals",39.85
"EXP81449","operations","travel",26.01
"EXP85191","sales","meals",23.99
"EXP47653","engineering","travel",62.88
"EXP46455","marketing","supplies",69.2
"EXP84360","marketing","meals",14.45
"EXP45362","sales","meals",19.85
"EXP50600","operations","supplies",59.91
"EXP47187","engineering","travel",52.08
"EXP59825","engineering","software",40.4
"EXP28277","marketing","supplies",39.09
"EXP47110","operations","meals",64.41
"EXP75348","engineering","travel",29.53
"EXP41882","sales","meals",18
"EXP67414","marketing","supplies",29.25
"EXP93092","engineering","meals",91.8
"EXP60161","marketing","travel",17.93
"EXP79148","marketing","meals",82.38
"EXP87409","engineering","travel",78.8
"EXP67221","operations","meals",36.7
"EXP68317","operations","travel",22.25
"EXP48595","operations","meals",34.37
"EXP21267","operations","travel",72.6
"EXP92069","engineering","travel",46.41
"EXP82887","operations","meals",18.77
"EXP39710","marketing","meals",57.49
"EXP26050","operations","travel",53.21
"EXP29736","engineering","meals",114.71
"EXP96650","operations","supplies",53.6
"EXP52833","engineering","travel",11.5
"EXP43711","engineering","travel",44.8
"EXP96827","marketing","supplies",25.91
"EXP15290","engineering","supplies",71.46
"EXP26813","sales","meals",70.15
"EXP35480","engineering","travel",32.85
"EXP98120","operations","supplies",11.38
"EXP50359","engineering","meals",70.69
"EXP97064","marketing","supplies",100.94
"EXP36510","engineering","supplies",24.29
"EXP38538","sales","meals",102.8
"EXP62134","marketing","meals",80.94
"EXP32007","marketing","travel",36.1
"EXP59671","operations","meals",20.2
"EXP59031","operations","travel",56.56
"EXP90666","operations","meals",41.08
"EXP93866","sales","meals",53.98
"EXP40140","marketing","meals",32
"EXP66928","engineering","supplies",167.63
"EXP55825","operations","meals",38.72
"EXP26728","marketing","supplies",71.73
"EXP67626","sales","meals",148.08
"EXP93301","engineering","travel",42.53
"EXP12178","operations","supplies",79.91
"EXP46105","operations","supplies",26.74
"EXP21764","sales","meals",119.03
"EXP99158","sales","meals",26.71
"EXP28384","engineering","travel",25.74
"EXP43806","sales","meals",27.99
"EXP57965","sales","software",28.13
"EXP14572","operations","meals",16.29
"EXP85318","sales","supplies",47.15
"EXP82542","marketing","travel",35.64
"EXP73692","operations","meals",56.17
"EXP57801","sales","travel",31.2
"EXP18430","sales","software",41.42
"EXP53009","marketing","travel",43.46
"EXP86812","engineering","meals",104.68
"EXP31692","operations","meals",45.61
"EXP53636","engineering","meals",43.03
"EXP60462","operations","supplies",45.78
"EXP18910","operations","software",36.92
"EXP69324","engineering","travel",25.6
"EXP73924","engineering","meals",34.46
"EXP91735","operations","travel",47.24
"EXP18928","operations","meals",63.87
"EXP13322","operations","meals",45.75
"EXP20937","engineering","meals",23.12
"EXP10384","operations","travel",53.33
"EXP65145","marketing","meals",26.47
"EXP94019","sales","travel",36.08
"EXP14544","operations","meals",70.67
"EXP71152","sales","software",29.28
"EXP12371","engineering","meals",41.65
"EXP38163","operations","meals",27.53
"EXP85947","marketing","meals",74.33
"EXP22995","sales","supplies",70.2
"EXP18482","sales","software",70.51
"EXP67848","operations","supplies",72.05
"EXP38698","marketing","meals",44.23
"EXP87410","engineering","supplies",82.72
"EXP81447","engineering","meals",32.51
"EXP39780","engineering","travel",29.9
"EXP68234","operations","meals",15.95
"EXP64336","sales","meals",65.78
"EXP24066","marketing","travel",54.03
"EXP63646","sales","supplies",104.21
"EXP16458","marketing","supplies",31.53
"EXP39610","engineering","supplies",33.08
"EXP23837","sales","travel",73.37
"EXP38114","operations","travel",111.35
"EXP44679","engineering","supplies",10.79
"EXP30641","engineering","travel",17.73
"EXP52570","engineering","travel",27.76
"EXP16956","operations","meals",18
"EXP29673","operations","travel",34.08
"EXP78058","operations","software",57.49
"EXP71647","marketing","travel",33.22
"EXP57423","engineering","software",50.34
"EXP15128","engineering","supplies",67.56
"EXP45483","engineering","meals",38.44
"EXP57246","sales","travel",16.44
"EXP32566","engineering","meals",21.3
"EXP11595","engineering","meals",44.93
"EXP90735","operations","meals",240
"EXP10289","engineering","supplies",37.96
"EXP43439","marketing","supplies",78.16
"EXP31756","sales","travel",32.64
"EXP99265","sales","supplies",102.47
"EXP65718","engineering","travel",132.08
"EXP95994","sales","meals",74.31
"EXP60997","marketing","travel",72.64
"EXP79738","operations","supplies",152.37
"EXP16749","marketing","software",64.81
"EXP24294","sales","travel",24.75
"EXP99135","marketing","travel",39.92
"EXP38318","engineering","software",59.73
"EXP64947","operations","meals",65.66
"EXP37359","engineering","supplies",59.46
"EXP98448","marketing","travel",50.47
"EXP36132","marketing","supplies",20.22
"EXP53565","marketing","travel",33.4
"EXP52515","engineering","meals",43.76
"EXP57630","operations","travel",41.36
"EXP95056","marketing","supplies",27.5
"EXP79666","marketing","supplies",72.31
"EXP49166","operations","travel",30.27
"EXP70440","engineering","travel",37.16
