"bay","fan_on","temperature_c","humidity_pct"
"Bay 3","yes",24.3,54.2
"Bay 6","yes",19.7,59.6
"Bay 5","yes",22.1,53.5
"Bay 4","no",34,38
"Bay 3","yes",18.9,71.3
"Bay 3","yes",27.6,46.1
"Bay 5","no",20,53.2
"Bay 1","yes",33.4,37
"Bay 5","no",22.7,56.6
"Bay 1","no",25.1,53.5
"Bay 2","yes",25.4,47.4
"Bay 2","yes",27.6,47.8
"Bay 3","no",23.9,60.9
"Bay 5","no",33.4,37.7
"Bay 1","yes",18.9,65.6
"Bay 3","yes",31.4,44.7
"Bay 4","no",32.8,51.3
"Bay 4","no",22.6,54.2
"Bay 5","yes",21.5,59.9
"Bay 4","yes",30.6,33.5
"Bay 2","no",23.1,55.8
"Bay 1","yes",28.6,53.9
"Bay 3","yes",19.9,59.6
"Bay 5","yes",22.4,49.4
"Bay 2","no",33.6,36
"Bay 1","yes",26.4,58
"Bay 3","no",31.6,44.4
"Bay 5","no",21.5,46.8
"Bay 5","yes",24.2,54.2
"Bay 6","yes",28.9,41.1
"Bay 4","yes",28.3,54
"Bay 6","no",28.3,45.2
"Bay 1","no",17.1,65.6
"Bay 1","yes",24.2,55.5
"Bay 2","no",21,45.2
"Bay 3","no",30.3,43.4
"Bay 4","yes",27.3,54.2
"Bay 4","no",19.2,72.5
"Bay 4","yes",18.1,52.2
"Bay 6","no",21,52.3
"Bay 5","yes",27.8,43.8
"Bay 2","yes",24.4,54.2
"Bay 1","no",24,55.1
"Bay 3","yes",31,34.4
"Bay 2","yes",32.3,45.8
"Bay 5","no",19.9,77.4
"Bay 2","no",22.2,50.7
"Bay 5","yes",19.8,64.3
"Bay 6","no",27.5,42.9
"Bay 4","no",31,46.8
"Bay 5","yes",24.8,51.1
"Bay 3","yes",27.4,46.9
"Bay 3","no",23.1,55.3
"Bay 4","yes",29.2,52.7
"Bay 2","yes",32.8,39.5
"Bay 5","no",31.7,46.2
"Bay 6","no",20.3,54.7
"Bay 1","yes",21.2,49.1
"Bay 4","no",29.8,34.6
"Bay 3","no",29.9,50.3
"Bay 1","no",17.1,70.3
"Bay 2","no",21.8,60.6
"Bay 2","yes",24,58.1
"Bay 2","yes",22.3,54.2
"Bay 1","no",23.6,58.8
"Bay 6","yes",29.1,41.5
"Bay 5","no",23.9,61.1
"Bay 2","yes",31.5,44.4
"Bay 3","yes",16.7,69.5
"Bay 1","no",27.9,46.7
"Bay 3","yes",24.8,58.1
"Bay 5","yes",30.3,52.6
"Bay 1","yes",32.2,42.9
"Bay 5","yes",24.4,41.9
"Bay 1","no",23.1,67.4
"Bay 1","yes",23.1,55.8
"Bay 5","no",21.1,49.5
"Bay 5","yes",28.2,43.8
"Bay 2","no",22,55.9
"Bay 1","yes",24.2,49.8
"Bay 6","no",22.1,60.7
"Bay 5","yes",33.5,43.5
"Bay 1","yes",18.6,68.3
"Bay 3","no",28.7,52.1
"Bay 4","no",27.3,41.7
"Bay 5","no",31.8,34.2
"Bay 6","no",26.8,42.5
"Bay 4","yes",31.1,52.7
"Bay 6","yes",26.1,61.1
"Bay 3","yes",33,37.3
"Bay 4","no",30.6,39.1
"Bay 4","yes",26,53.8
"Bay 2","yes",33,40.7
"Bay 5","yes",23.4,54.2
"Bay 6","yes",31.3,45.9
"Bay 1","no",30.3,44.4
"Bay 6","yes",33.2,39
"Bay 5","no",20,52.7
"Bay 4","no",31.2,39.1
"Bay 2","no",30.3,44.4
"Bay 4","no",31.3,41.9
"Bay 4","no",29.5,38
"Bay 2","yes",28.5,44.8
"Bay 3","yes",18.3,62.3
"Bay 6","no",27.2,55.9
"Bay 4","no",31.7,33
"Bay 4","yes",24.3,56.1
"Bay 2","yes",23.8,54.2
"Bay 6","yes",33.5,36.8
"Bay 5","no",19.6,66
"Bay 4","yes",28.5,36.8
"Bay 4","yes",27.9,46.4
"Bay 6","yes",21.3,54.6
"Bay 2","yes",22.2,69.2
"Bay 5","no",23.7,50.6
"Bay 2","no",19.9,61.3
"Bay 6","yes",26.7,54.2
