"tray","watering","light_hours","height_cm"
"T8","daily",12.6,25.1
"T1","alternate",13.1,24.8
"T4","daily",14.6,26.8
"T3","daily",13.3,25.9
"T10","alternate",8.5,15.9
"T1","alternate",7.1,20.5
"T8","daily",13.5,22.6
"T5","daily",15.6,26.9
"T5","daily",8.8,13.7
"T5","alternate",12.4,22.7
"T3","alternate",10.9,21
"T3","daily",11.7,21.3
"T1","daily",14,29.4
"T7","daily",11.2,18.7
"T10","alternate",9,15.1
"T9","daily",5.9,12.2
"T3","alternate",4.7,13.4
"T7","alternate",12.3,25.6
"T3","alternate",15,26.6
"T1","daily",13.8,12
"T1","daily",9.5,17.5
"T7","daily",7.6,17.5
"T6","daily",5.5,15
"T8","alternate",12.5,23.2
"T1","daily",7.2,11.6
"T7","daily",9.8,20.3
"T2","daily",12.1,10.1
"T5","alternate",10.9,21.1
"T10","alternate",15.3,25.5
"T6","daily",12.7,11.7
"T2","alternate",15.7,29.8
"T1","alternate",12.4,22.2
"T2","daily",14,24.2
"T7","alternate",14.6,25.3
"T4","daily",14,24.1
"T10","alternate",11.8,23.9
"T9","daily",12.8,24.1
"T1","alternate",14.7,27.6
"T8","alternate",14.2,30
"T10","daily",13.3,24.9
"T9","daily",15.5,28.7
"T3","daily",9.4,17.3
"T10","daily",13.5,23.4
"T10","daily",4.9,7.2
"T4","alternate",9.2,17.7
"T3","alternate",11.8,15.4
"T4","daily",4.4,10
"T5","alternate",13,14
"T2","alternate",8.2,14.7
"T4","daily",12.3,17.3
"T9","alternate",4.4,9.1
"T6","daily",13.6,25.8
"T2","alternate",6.1,13.4
"T1","daily",14.9,25.7
"T4","daily",5.6,14.1
"T10","alternate",7.6,16.3
"T2","alternate",7.5,14.8
"T3","daily",10.8,20.6
"T6","daily",13.6,26.8
"T8","alternate",9.1,19
"T5","daily",8.1,18.6
"T1","alternate",5,10.1
"T8","daily",13.3,25.7
"T3","daily",9.1,18.2
"T10","alternate",4.3,24
"T5","daily",4.5,10.7
"T8","alternate",13.9,27.2
"T3","daily",4.2,7.2
"T9","alternate",13.7,11.3
"T2","alternate",6.2,12.5
"T4","alternate",11.3,19.7
"T9","daily",5.1,11.6
"T10","alternate",12.8,22.5
"T10","alternate",14.2,6.2
"T2","alternate",7.8,15.8
"T9","alternate",9.3,16.1
"T10","daily",4,8.8
"T10","daily",5.3,9.6
"T7","daily",15,28.5
"T9","alternate",8.7,16.4
"T1","daily",6.7,13.4
"T10","alternate",14.3,26.9
"T7","alternate",4.2,10.1
"T5","daily",6.5,18.2
"T6","daily",9.9,17.5
"T10","alternate",14.4,24.1
"T9","daily",8.1,22.1
"T1","alternate",7.1,12.7
"T9","alternate",5.6,11.9
"T5","daily",13.9,23
"T9","alternate",4.8,11
"T4","daily",15.2,27.1
"T10","alternate",9.6,22.3
"T8","alternate",10.9,18.9
"T7","alternate",12.3,13.5
"T4","alternate",9.2,19.7
"T7","daily",11.4,14.3
"T8","daily",7.9,17.9
"T4","daily",15.6,26.6
"T9","alternate",14.8,29.2
"T5","daily",12.9,23.1
"T1","daily",9.1,16.1
"T6","daily",10.6,15.6
"T9","alternate",9.3,23
"T6","daily",13.2,13.8
"T6","daily",9.2,19.2
"T3","daily",8.6,15.1
"T4","daily",12.3,18.6
"T2","alternate",7,16.6
"T1","daily",15.3,26.1
"T6","daily",10.5,21.2
"T5","daily",9.3,15.3
"T5","daily",12.3,23.3
"T3","alternate",12.1,13.5
"T4","alternate",12.9,24.1
"T6","alternate",12,25.6
"T9","daily",6.6,13.1
"T2","daily",10.3,17.7
"T2","alternate",6.6,13.9
"T3","alternate",11.4,24.9
"T9","alternate",14.8,29.5
"T3","alternate",11.2,17.8
"T10","daily",9.3,15.2
"T9","alternate",6.4,12.6
"T5","daily",6.1,10.9
"T3","alternate",7.8,18.3
"T5","daily",12.5,24
"T9","daily",14.9,27
"T9","daily",13.7,24.1
"T10","alternate",15.6,33.5
"T8","alternate",8.5,16.3
"T7","daily",8.3,13.9
"T9","daily",8.5,14.6
"T5","daily",6.9,18.1
"T4","alternate",5.6,14.8
"T1","daily",15.6,27.3
"T2","daily",6.1,9.6
"T5","alternate",9.5,16.4
"T3","alternate",13.7,11.9
"T6","alternate",15.8,31.8
"T3","alternate",8.3,20.4
"T3","alternate",8.4,17.2
"T3","alternate",7.2,15.1
"T5","alternate",15.3,27.2
"T6","daily",15.5,23.3
"T1","daily",7.6,15.7
"T6","daily",7.9,14.6
"T7","daily",12.3,22.1
"T9","alternate",15.2,23.9
"T7","alternate",7.6,12.5
"T3","alternate",5.4,23.2
"T4","daily",11.5,13.9
"T1","alternate",7.8,14.3
"T6","alternate",8.1,12.8
"T5","daily",8.4,18.7
"T1","alternate",10.8,21.4
"T7","daily",9.2,16.5
"T9","daily",8.5,15.1
"T1","daily",10.1,17
"T6","daily",7.7,18.2
"T1","alternate",10.6,18.7
"T3","alternate",14.6,24
"T4","daily",9.3,18.1
"T8","daily",8.6,17.7
"T10","alternate",11.8,12.5
"T8","alternate",6.1,10
"T8","daily",9,19.6
"T9","daily",12.7,14.5
"T2","daily",6.3,7.2
"T4","alternate",12.5,12.8
"T1","alternate",8.8,20
"T3","daily",12.9,22.8
"T9","alternate",11.9,24.3
"T2","daily",12.4,26.1
"T9","alternate",6.9,13.7
"T8","daily",6.8,19.6
"T4","daily",13.2,22.9
"T4","alternate",5.4,22.7
"T5","daily",9.8,19.4
"T6","alternate",11,20.9
