"lot","instrument","method","input_mg","potency_pct"
"L9877","hplc1","A",71.1,3.58
"L8432","hplc3","B",47.6,5.56
"L3684","hplc1","A",49.9,2.96
"L4104","hplc3","A",32.1,2.88
"L9424","hplc1","A",21.1,2.08
"L6438","hplc3","A",53.9,2.83
"L5079","hplc1","B",73.6,6.05
"L2717","hplc1","B",47.7,4.92
"L5999","hplc2","B",28,3.06
"L8318","hplc2","B",13.2,2.67
"L1607","hplc3","B",28.5,3.44
"L2813","hplc3","A",89.5,5.05
"L3545","hplc3","B",8.4,2.52
"L5324","hplc1","A",49.2,4
"L3935","hplc2","A",57.1,4.13
"L3565","hplc2","B",53.8,5.03
"L1057","hplc3","A",61.6,4.11
"L6453","hplc2","A",66.9,3.46
"L5296","hplc2","A",6.1,1.28
"L7543","hplc1","A",62.7,3.49
"L3890","hplc2","B",52.1,4.52
"L8221","hplc1","B",64.7,5.36
"L2784","hplc3","A",8.7,0.68
"L2260","hplc3","B",24.6,3.92
"L8740","hplc3","B",32.7,3.75
"L2203","hplc2","B",73.6,6.11
"L2012","hplc2","B",63.3,5.43
"L5333","hplc2","B",39.4,5.43
"L9160","hplc2","A",60.6,3.36
"L6734","hplc1","A",43.6,3.16
"L4107","hplc1","B",85.4,6.2
"L3410","hplc1","A",92,4.81
"L9754","hplc1","A",46.6,3.38
"L7080","hplc3","A",10.3,1.82
"L1228","hplc2","A",56.8,2.71
"L2835","hplc2","B",8.1,2.59
"L6925","hplc3","A",57,3.04
"L4361","hplc2","B",35.9,4.19
"L3351","hplc3","A",67.1,3.56
"L4323","hplc2","A",78.1,4.61
"L1200","hplc3","A",55.6,3.81
"L2664","hplc2","A",69.9,4.28
"L6616","hplc1","B",35.1,4.26
"L6746","hplc1","B",73.6,5.92
"L2281","hplc1","A",10.7,1.61
"L6078","hplc3","A",43,2.76
"L8848","hplc1","B",66.2,5.4
"L1793","hplc3","B",78.2,5.95
"L8044","hplc2","B",50.5,4.43
"L2128","hplc2","B",39.6,4.54
"L5281","hplc2","A",20.8,2.56
"L5290","hplc3","B",68.7,6.12
"L3105","hplc1","A",84.9,4.98
"L6128","hplc3","B",87.7,6.84
"L6035","hplc2","A",56,3.27
"L4232","hplc1","A",69.7,3.93
"L6386","hplc2","B",91.9,6.57
"L9898","hplc3","B",39.8,4.86
"L1067","hplc3","A",88.6,4.93
"L5433","hplc1","A",10.3,1
"L2170","hplc2","B",44.4,4.04
"L8286","hplc1","A",13.1,1.25
"L3373","hplc1","B",13.6,3.71
"L6873","hplc3","B",63.2,5.96
"L7685","hplc3","A",16.2,1.63
"L2974","hplc1","B",44.7,4.87
"L2629","hplc2","B",92.1,7.38
"L8223","hplc1","B",90.2,6.38
"L7177","hplc1","B",39.5,4.6
"L3699","hplc3","B",27.7,4
"L4316","hplc3","A",41.7,3.06
"L3669","hplc2","A",50.6,3.44
"L6660","hplc1","A",85.9,5.08
"L7947","hplc2","B",68.4,5.43
"L2371","hplc2","B",54.9,5.42
"L6718","hplc1","A",51.7,2.72
"L3055","hplc1","B",58,4.94
"L9893","hplc3","A",46.8,3.49
"L5096","hplc2","A",38.2,2.44
"L1831","hplc3","B",10.8,2.92
"L5570","hplc2","B",20,2.7
"L5002","hplc3","B",62.2,5.28
"L3406","hplc3","B",51.8,5.2
"L1951","hplc1","A",79.3,4.37
"L8780","hplc3","A",43.1,3.4
"L9867","hplc3","B",17.6,3.42
"L8382","hplc3","A",68.7,4.13
"L2067","hplc2","B",46.1,4.94
"L9225","hplc1","B",28,4.09
"L6897","hplc2","B",82.3,6.07
"L3002","hplc2","B",75,5.09
"L5457","hplc1","B",84.6,6.77
"L5015","hplc3","B",12.5,3.12
"L7587","hplc2","A",59.6,3.34
"L3056","hplc3","A",93.1,5.67
"L4993","hplc3","A",19.3,2.08
"L7573","hplc1","A",14.2,1.97
"L9116","hplc3","A",85.8,5.14
"L6725","hplc2","A",60.9,3.64
"L4706","hplc2","A",62.5,3.42
"L2942","hplc2","B",21.2,2.69
"L6680","hplc3","A",74.1,4.6
"L8815","hplc3","B",68.5,6.15
"L4703","hplc1","B",65,5.26
"L1783","hplc3","B",59.8,5.81
"L3724","hplc2","B",27.1,4.34
"L1782","hplc2","A",56.6,3.61
"L7881","hplc3","A",48.6,3.47
"L6640","hplc1","A",29.3,2.36
"L3163","hplc3","A",32.1,2.95
"L2592","hplc2","A",82.3,4.55
"L5161","hplc1","B",43.3,3.94
"L2133","hplc3","A",70.6,4.1
"L9589","hplc1","A",23.2,2
"L3965","hplc2","A",50,2.98
"L7849","hplc2","A",63.7,3.85
"L5914","hplc2","B",83.2,5.78
"L6347","hplc1","B",12.2,3.3
"L8738","hplc1","A",28.6,2.77
"L6824","hplc3","A",19,1.63
"L5707","hplc1","B",86.7,6.75
"L2217","hplc1","B",13.3,2.98
"L8936","hplc2","B",17.7,3.25
"L7532","hplc2","B",94.2,7.5
"L4681","hplc2","A",80.6,4.08
"L2388","hplc2","B",71.4,5.78
"L4633","hplc2","B",22.7,3.5
"L7993","hplc1","A",57.5,3
"L2139","hplc3","A",46.9,3.78
"L8207","hplc2","B",64.4,5.44
"L7206","hplc2","A",79,4.39
"L7516","hplc1","A",28.1,1.72
"L3058","hplc3","A",61.1,4.54
"L8023","hplc2","B",76.7,5.75
"L7422","hplc2","B",91.1,7.19
"L2723","hplc1","B",74.7,6.36
"L7420","hplc3","B",42.4,5.27
"L8647","hplc3","A",63.5,3.65
"L1504","hplc3","A",28,2
"L8310","hplc2","B",86.4,6.24
"L8480","hplc1","A",33.3,2.71
"L3119","hplc2","B",86.5,6.5
"L9627","hplc3","A",87.6,4.85
"L8472","hplc2","A",30.3,2.16
"L4701","hplc3","A",72.8,4.32
"L1427","hplc3","A",94.4,4.7
"L8651","hplc3","B",15.9,2.91
"L6362","hplc3","B",91,7.21
"L1464","hplc1","B",49.4,4.86
"L9546","hplc3","B",15.7,3.1
"L7828","hplc2","A",86.4,4.52
"L1879","hplc1","B",56.9,4.73
"L6538","hplc3","A",51.1,3.21
"L1234","hplc1","A",16.3,1.1
"L4049","hplc2","B",23.6,3.74
"L1080","hplc2","A",29.7,2.88
"L7146","hplc1","B",31.1,4.11
"L1248","hplc3","B",58.8,4.88
"L4940","hplc3","B",54.4,3.91
"L3440","hplc3","B",8.3,2.54
"L3062","hplc1","B",36.4,4.79
"L3962","hplc1","B",19.9,3.62
"L9572","hplc3","B",87,6.68
"L6134","hplc1","B",59.2,4.88
"L2823","hplc2","A",61,4.19
"L9955","hplc3","B",78.4,5.69
"L3401","hplc3","B",30,3.77
"L8849","hplc2","B",56.5,5.13
"L3099","hplc2","A",27.3,2.22
"L5571","hplc1","B",94.9,7.05
