"region","plan_tier","applicant_age","monthly_premium"
"suburban","bronze",63,283.25
"rural","bronze",56,235.68
"rural","silver",20,121.77
"rural","silver",27,191.2
"metro","bronze",41,189.95
"rural","silver",40,167.27
"metro","bronze",60,246.6
"rural","gold",60,242.87
"suburban","bronze",41,201.73
"metro","silver",25,106.55
"metro","gold",71,259
"metro","bronze",46,173.44
"suburban","bronze",63,233.46
"rural","bronze",29,195.02
"suburban","gold",64,195.15
"suburban","silver",63,317.47
"metro","silver",73,236.03
"rural","gold",52,255.48
"metro","bronze",35,169.2
"rural","bronze",56,264.39
"rural","bronze",55,269.99
"metro","bronze",42,160.59
"rural","bronze",35,216.89
"metro","gold",59,228.48
"rural","gold",31,179.88
"metro","gold",42,159.59
"rural","gold",56,258.56
"rural","bronze",27,106.25
"suburban","silver",28,156.8
"metro","silver",24,185.07
"metro","silver",18,170.36
"rural","silver",24,105.32
"suburban","silver",51,186.11
"suburban","bronze",61,214.35
"metro","silver",74,301.79
"metro","bronze",32,182.18
"suburban","bronze",56,197.26
"metro","silver",25,129.04
"suburban","silver",23,158.59
"suburban","silver",53,281.48
"suburban","bronze",20,141.06
"metro","silver",26,151.73
"metro","silver",37,193.75
"rural","gold",22,122.99
"metro","gold",31,127.5
"rural","bronze",66,227.46
"metro","gold",33,151.5
"metro","silver",46,268.22
"metro","silver",22,155.16
"suburban","gold",41,164.68
"rural","silver",20,150.86
"metro","gold",29,171.58
"metro","bronze",64,269.94
"rural","silver",63,214
"suburban","bronze",71,306.21
"rural","gold",43,261.22
"metro","bronze",57,264.22
"metro","bronze",59,230.52
"rural","silver",58,212.15
"rural","silver",75,284.9
"rural","gold",37,192.24
"metro","gold",62,255.55
"suburban","silver",39,220.76
"suburban","gold",51,213.37
"suburban","silver",70,280.3
"metro","gold",54,223.24
"metro","silver",29,154.11
"metro","gold",35,202.96
"suburban","gold",67,269.24
"suburban","silver",47,189.5
"suburban","gold",63,238.98
"metro","silver",39,172.14
"rural","gold",38,212.63
"metro","silver",70,301.72
"metro","silver",53,269.56
"rural","gold",52,193.27
"rural","silver",28,129.86
"rural","silver",70,327.09
"rural","silver",24,133.62
"suburban","gold",22,146.13
"rural","silver",64,331.55
"suburban","gold",30,189.49
"suburban","silver",33,202.48
"metro","bronze",55,219.48
"suburban","silver",65,247.52
"suburban","gold",25,159.19
"rural","bronze",71,290.31
"suburban","silver",73,277.17
"suburban","bronze",37,146.59
"suburban","bronze",34,179.68
"rural","gold",72,288.65
"rural","bronze",60,216.43
"metro","silver",33,173.99
"rural","gold",57,274.62
"rural","silver",40,183.27
"rural","gold",25,120.41
"suburban","gold",27,140.27
"metro","silver",42,196.02
"rural","silver",63,278.99
"metro","bronze",27,207.6
"suburban","silver",58,259.16
"rural","silver",37,223.41
"metro","bronze",58,198.63
"suburban","gold",40,179.7
"suburban","gold",26,147.13
"suburban","gold",19,168.25
"rural","bronze",72,304.4
"suburban","gold",22,149.74
"rural","silver",54,211.19
"suburban","bronze",64,329.88
"metro","bronze",43,178.13
"rural","silver",30,166.44
"metro","gold",37,188.67
"suburban","bronze",30,175.16
"rural","gold",19,156.82
"suburban","bronze",36,154.85
"metro","gold",69,210.87
"metro","gold",33,193.85
"suburban","bronze",40,160.94
"rural","gold",72,280.64
"rural","silver",57,267.17
"rural","bronze",53,235.3
"rural","gold",62,289.72
"rural","gold",60,241.07
"metro","bronze",58,244.35
"suburban","silver",52,199.33
"suburban","gold",57,220.42
"rural","silver",20,137.72
"metro","gold",39,180.62
"metro","bronze",50,241.26
"rural","gold",44,150.87
"suburban","gold",51,223.46
"suburban","bronze",27,144.16
"rural","gold",52,291.18
"rural","gold",65,208.97
"rural","bronze",52,227.74
"rural","bronze",51,205.75
"suburban","bronze",31,169.17
"metro","bronze",50,234.66
"rural","gold",30,190.25
"rural","bronze",55,216.29
"suburban","bronze",31,148.78
"suburban","silver",66,278.93
"suburban","gold",21,113.41
"suburban","bronze",57,252.75
"metro","silver",23,129.09
"rural","bronze",22,146.42
"metro","silver",57,226.82
"rural","silver",30,148.95
"metro","silver",34,156
"rural","gold",20,143.04
"rural","gold",41,162.67
"rural","silver",72,315.12
"suburban","silver",28,140.14
"rural","bronze",31,213.78
"rural","bronze",37,163.66
"suburban","silver",59,231.75
"rural","bronze",21,164.3
"suburban","gold",24,136.36
"metro","silver",65,333.77
"suburban","silver",39,172.67
"rural","bronze",62,240.97
"suburban","gold",67,247.67
"metro","silver",32,178.57
"suburban","silver",49,254.32
"metro","gold",54,222.61
"suburban","silver",53,245.81
"suburban","silver",71,320.4
"rural","silver",60,240.64
"suburban","silver",64,293.33
"suburban","silver",40,202.69
"rural","gold",55,224.69
"rural","silver",51,221.94
"metro","gold",57,243.2
"metro","gold",57,265.23
"metro","gold",42,187.77
"suburban","silver",36,252.35
"metro","bronze",72,286.53
"suburban","silver",46,179.35
"metro","silver",27,220.12
"metro","gold",37,164.21
"suburban","silver",43,145.83
"suburban","gold",75,262.46
"rural","gold",60,241.91
"metro","bronze",29,137.29
"rural","gold",50,193.96
"suburban","silver",36,216.96
"rural","bronze",24,103.46
"metro","gold",53,218.69
"suburban","bronze",30,127.07
"rural","gold",28,147.14
"rural","silver",63,259.19
"rural","silver",29,149.64
"suburban","gold",19,124.51
"suburban","bronze",59,270.9
"rural","silver",63,255.12
"rural","gold",25,139.61
"suburban","silver",19,88.61
"suburban","bronze",19,123.16
"metro","silver",61,241.79
"rural","silver",35,198.64
"metro","gold",74,294.45
"suburban","silver",34,213.01
"suburban","silver",69,272.88
"rural","silver",36,188.74
"metro","bronze",58,216.57
"rural","silver",36,135.27
"suburban","gold",71,267.38
"suburban","gold",26,133.44
"suburban","silver",35,170.36
"suburban","bronze",37,176.62
"suburban","gold",19,128.25
"metro","bronze",50,207.11
"rural","gold",21,109.14
"metro","silver",61,261.04
"rural","silver",29,176.33
"metro","gold",60,188.88
"suburban","gold",24,183.03
"rural","gold",33,162.47
"metro","bronze",71,266.97
"suburban","bronze",59,272.96
"suburban","gold",44,178.76
"suburban","gold",58,215.09
"rural","silver",33,182.71
"rural","silver",59,224
"suburban","gold",25,223.51
"suburban","bronze",19,142
"rural","silver",49,262.93
"suburban","bronze",43,200.62
"metro","silver",61,249.5
"rural","bronze",57,268.02
"suburban","silver",60,241.6
"suburban","silver",44,197.29
"metro","bronze",21,147.67
"suburban","bronze",68,263.24
"suburban","silver",51,204.59
"suburban","silver",65,303.91
"rural","silver",44,254.12
"suburban","silver",59,217.31
"suburban","silver",48,155.99
"metro","silver",62,218.76
"suburban","silver",59,260.69
"metro","silver",20,150.87
"suburban","silver",30,157.35
"rural","gold",63,278.34
"metro","gold",70,282.49
"suburban","gold",64,244.39
"rural","bronze",34,136.6
"suburban","gold",67,297.38
"metro","gold",30,174.34
"metro","silver",41,254.09
"metro","gold",60,219.95
"metro","gold",25,150.12
"rural","bronze",19,117.8
"rural","gold",62,248.27
"rural","silver",61,272.42
"suburban","silver",35,171.43
"suburban","gold",48,172.01
"suburban","bronze",22,154.59
"suburban","silver",32,193.57
