"month","region","revenue_k","orders"
"2025-01","Southeast",389.4,3842
"2025-01","Mountain",388.5,3625
"2024-04","Mountain",380.1,3652
"2025-02","Northeast",472.7,4449
"2025-10","Midwest",360.8,3340
"2025-10","Northeast",471.5,4405
"2025-01","Pacific",432,4119
"2025-11","Southeast",421.3,3803
"2024-11","Southeast",414.6,3822
"2025-01","Midwest",352,3505
"2024-08","Mountain",367.5,3726
"2024-06","Northeast",482.4,4407
"2024-10","Northeast",477.1,4820
"2025-06","Pacific",466.9,4096
"2025-11","Mountain",390.5,3988
"2025-07","Pacific",453.4,4050
"2024-05","Northeast",483.9,4876
"2024-03","Northeast",470.1,4488
"2024-09","Northeast",483.1,4869
"2024-02","Southeast",387.4,3900
"2024-08","Pacific",451.3,4075
"2025-11","Northeast",484.4,4663
"2025-11","Pacific",445.3,4311
"2025-08","Southeast",440.2,3643
"2024-12","Northeast",437.6,4874
"2025-10","Pacific",465.8,4393
"2025-06","Mountain",400.1,3439
"2025-06","Northeast",509.2,4561
"2025-02","Mountain",388.5,3770
"2024-09","Southeast",391.3,3549
"2025-08","Pacific",413.8,4255
"2024-03","Midwest",348.8,3515
"2025-04","Northeast",487.5,4434
"2024-06","Pacific",445.2,4476
"2024-02","Northeast",444.6,4591
"2025-07","Mountain",404.3,3549
"2025-03","Mountain",388.5,3617
"2025-04","Mountain",400.1,3923
"2024-10","Southeast",390.6,3736
"2025-09","Midwest",366.5,3391
"2024-08","Midwest",337.5,3373
"2024-07","Midwest",339.2,3298
"2024-04","Midwest",363.5,3212
"2025-06","Southeast",431.7,3978
"2024-12","Southeast",414.7,4017
"2024-10","Pacific",458,4377
"2024-05","Pacific",441.4,3946
"2025-05","Northeast",490.2,4600
"2025-05","Southeast",406.9,3481
"2024-01","Mountain",385.4,3625
"2024-01","Northeast",484.1,4646
"2024-06","Southeast",372.7,3891
"2024-11","Pacific",453.1,3936
"2024-07","Pacific",444.7,4151
"2025-10","Southeast",429.3,4138
"2025-09","Northeast",494,4721
"2025-12","Northeast",505.8,4739
"2024-04","Southeast",415.9,3715
"2024-03","Mountain",385.4,3304
"2025-12","Southeast",415.8,3481
"2024-04","Northeast",484.1,4531
"2025-03","Northeast",495.1,4469
"2024-07","Southeast",429,4254
"2025-04","Pacific",440.7,4040
"2025-07","Southeast",391.4,3621
"2025-05","Pacific",454.3,4581
"2024-12","Pacific",440.3,4050
"2025-01","Northeast",487.9,4466
"2024-02","Midwest",347,3560
"2025-12","Midwest",357.7,3476
"2024-11","Northeast",492.8,4624
"2024-05","Midwest",332.4,3449
"2025-12","Pacific",453.9,4394
"2024-05","Southeast",410.3,3954
"2025-09","Mountain",404.3,3677
"2025-08","Northeast",504.6,4635
"2025-03","Southeast",407.2,4129
"2024-05","Mountain",380.1,3852
"2025-09","Pacific",447.9,4323
"2025-02","Southeast",402.6,4077
"2024-10","Midwest",347.9,3351
"2024-02","Pacific",426.5,4179
"2025-04","Midwest",356.6,3189
"2024-06","Mountain",380.1,3891
"2024-01","Southeast",384.2,3864
"2025-05","Mountain",400.1,3324
"2024-03","Southeast",399.5,3863
"2024-10","Mountain",415.9,3666
"2024-01","Midwest",367.6,3290
"2024-11","Midwest",360,3298
"2025-06","Midwest",365.4,3470
"2024-04","Pacific",411.1,4027
"2025-03","Midwest",345.7,3474
"2025-12","Mountain",390.5,3835
"2025-09","Southeast",432.7,3768
"2025-08","Midwest",353.7,2913
"2024-07","Northeast",479.8,4708
"2025-05","Midwest",365.1,3467
"2025-03","Pacific",436,4334
"2024-11","Mountain",415.9,3797
"2024-08","Northeast",494.6,4800
"2024-09","Midwest",365.7,3498
"2024-09","Pacific",418.4,4278
"2025-10","Mountain",390.5,3582
"2025-04","Southeast",429,3923
"2024-02","Mountain",385.4,3709
"2025-11","Midwest",373.1,3257
"2024-03","Pacific",439.6,4229
"2024-08","Southeast",395.6,3899
"2025-08","Mountain",404.3,3622
"2025-02","Pacific",434.6,3959
"2025-07","Midwest",385.4,3000
"2024-07","Mountain",367.5,4020
"2025-02","Midwest",377.2,3154
"2024-06","Midwest",357,3551
"2025-07","Northeast",492.2,4517
"2024-09","Mountain",367.5,3713
"2024-12","Mountain",415.9,3767
"2024-01","Pacific",429.1,4568
"2024-12","Midwest",339.3,3437
