"hour","weekday","battery_v","turbidity_ntu"
0.59,"Mon",12.5,16.26
1.71,"Mon",12.62,19.35
3.44,"Mon",12.56,17.47
5.46,"Mon",12.59,15.69
5.99,"Mon",12.58,20.12
7.37,"Mon",12.75,21.65
7.48,"Mon",12.46,18.28
9.98,"Mon",12.62,24.93
10.59,"Mon",12.47,12.34
11.1,"Mon",12.42,16.42
13.2,"Mon",12.66,19.7
13.47,"Mon",12.59,15.75
13.58,"Mon",12.55,15.96
13.65,"Mon",12.63,18.75
14.17,"Mon",12.31,20.66
14.68,"Mon",12.57,20.64
16.44,"Mon",12.58,19.97
18.22,"Mon",12.53,21.27
20.98,"Mon",12.51,19.68
22.61,"Mon",12.15,23.25
23.49,"Mon",12.39,22.81
24.12,"Tue",12.55,24.73
26.31,"Tue",12.6,22.64
31.67,"Tue",12.25,13.78
33.55,"Tue",12.45,21.28
33.68,"Tue",12.23,21.02
34.03,"Tue",12.42,24.76
34.71,"Tue",12.13,16.22
35.66,"Tue",12.32,17.43
38.05,"Tue",12.25,23.71
38.8,"Tue",12.61,24.38
40.64,"Tue",12.32,21.91
43.37,"Tue",12.2,25.35
44.08,"Tue",12.34,24.98
44.2,"Tue",12.22,18.93
45.56,"Tue",12.27,20.55
45.68,"Tue",12.35,18.5
48.42,"Wed",12.39,18.65
49.04,"Wed",12.49,18.22
53.04,"Wed",12.46,21.82
54.59,"Wed",12.29,21.63
54.63,"Wed",12.36,22.71
56.49,"Wed",12.42,21.51
56.86,"Wed",12.3,19.47
58.46,"Wed",12.41,20.17
61.24,"Wed",12.29,19.43
64.21,"Wed",12.21,21.25
64.31,"Wed",12.35,24.96
65.42,"Wed",12.41,22.85
65.6,"Wed",12.39,26.67
66.42,"Wed",12.42,21.49
69.16,"Wed",12.59,17.8
70.15,"Wed",12.25,27.96
70.72,"Wed",12.6,23.24
71.48,"Wed",12.22,27.37
71.64,"Wed",12.34,28.16
72.67,"Thu",12.14,23.16
72.94,"Thu",12.38,21.21
73.5,"Thu",12.11,29.75
74.97,"Thu",12.21,18.02
75.2,"Thu",12.36,19.78
75.92,"Thu",12.42,22.6
76.65,"Thu",12.21,17.87
77.81,"Thu",12.1,27.51
77.84,"Thu",12.48,22.69
79.39,"Thu",12.05,17.2
79.61,"Thu",12.44,13.58
80.47,"Thu",12.03,22.3
80.86,"Thu",12.26,22.2
81.01,"Thu",12.41,22.49
81.47,"Thu",12.22,18.98
83.55,"Thu",12.27,20.32
84.43,"Thu",12.27,24.1
85.58,"Thu",12.29,19.95
86.22,"Thu",12.37,22.72
86.52,"Thu",12.21,26.14
86.56,"Thu",12.32,25.99
88.43,"Thu",12.15,23.17
88.77,"Thu",12.26,23.27
91.91,"Thu",12.27,18.58
