"batch","inspector","pressure_psi","leak_rate_mlh"
"B9","TS",37.2,13.62
"B2","AL",26.3,11.47
"B5","AL",63.3,24.36
"B8","TS",59.2,16.36
"B3","TS",14.6,7.26
"B6","TS",26.9,7.13
"B3","JM",53.1,23.01
"B9","AL",75.3,25.38
"B9","AL",29.1,11.06
"B1","JM",24.5,13.15
"B1","TS",44.5,18.84
"B4","TS",21.9,10.71
"B7","TS",40.9,15.1
"B9","AL",59,20.37
"B9","AL",28.3,10.86
"B8","AL",52,21.95
"B1","AL",14.8,6.81
"B9","JM",72.8,24.63
"B7","AL",60.4,23.94
"B4","AL",44.2,16.19
"B2","TS",56,22.26
"B2","TS",54.4,16.69
"B4","AL",50.2,15.5
"B3","JM",53.2,16.95
"B1","AL",20.2,6.93
"B9","JM",83.4,27.87
"B3","AL",79.1,30.13
"B8","JM",66.5,20.36
"B9","TS",49.5,17.29
"B5","TS",36.2,15.85
"B1","AL",67.7,24.06
"B9","JM",72.5,24.43
"B9","AL",40.8,14.6
"B8","AL",58.7,18.29
"B4","JM",71.6,26.74
"B5","JM",61.8,22.5
"B8","JM",10.6,2.5
"B5","JM",84.6,25.97
"B9","JM",45.7,16.18
"B7","JM",39.9,12.83
"B5","JM",31.8,13.19
"B8","JM",58.2,16.8
"B2","JM",71.9,23.62
"B9","JM",51.8,18.03
"B4","TS",87.8,32.27
"B8","TS",43.2,14.28
"B3","JM",74.9,32.09
"B6","JM",89.8,29.35
"B1","TS",45.9,12.87
"B1","TS",50.4,18.54
"B4","JM",24.2,6.82
"B8","JM",89.2,27.47
"B6","JM",67.4,23.56
"B3","JM",80,30.87
"B1","AL",87.1,27.79
"B3","AL",26.8,9.44
"B9","TS",74,25.09
"B7","AL",53.9,18.4
"B3","JM",13,10.02
"B8","AL",13.7,4.39
"B8","AL",53.1,23.26
"B9","TS",82.5,27.62
"B2","TS",75.7,21.7
"B2","JM",85.4,28.15
"B6","AL",65.2,28.64
"B6","TS",85.7,27.84
"B4","JM",65.3,19.51
"B9","AL",45.9,16.18
"B5","JM",64.8,25.1
"B9","TS",28.9,10.78
"B1","TS",19.7,13.03
"B4","TS",15.1,5.92
"B4","JM",84.5,27.86
"B2","AL",71.5,22.02
"B9","JM",42.3,15.1
"B4","AL",27.5,10.22
"B3","AL",35,9.75
"B9","AL",61.1,21.04
"B2","TS",38,12.72
"B2","JM",64.7,20.98
"B3","AL",21.7,4.94
"B5","TS",12.2,12.41
"B9","JM",19.1,7.64
"B5","JM",12.5,4.45
"B7","TS",65,21.04
"B9","AL",15.8,6.84
"B8","JM",13.7,5.56
"B2","JM",81.9,27.11
"B9","TS",56.3,19.43
"B3","AL",75.7,28.16
"B1","JM",47.1,14.75
"B7","JM",69.5,20.16
"B9","JM",61.3,21
"B8","JM",83.1,26.87
"B1","AL",74.7,24.39
"B3","AL",32.3,1.42
"B9","JM",83.3,27.84
"B5","AL",71.2,18.78
"B6","JM",88.2,28.82
"B6","AL",69.4,25.18
"B7","JM",54.4,18.7
"B2","TS",82.5,32.71
"B9","AL",56.6,19.54
"B7","TS",87.9,33.71
"B8","AL",72.1,25.78
"B9","TS",51.2,17.89
"B6","AL",75,30.87
"B2","AL",47.2,14.26
"B4","JM",25.2,5.9
"B9","TS",43.5,15.55
"B1","JM",42.6,16.54
"B8","AL",49.1,19.49
"B9","AL",84.4,28.23
"B2","AL",41.1,20.36
"B8","AL",83.4,31.87
"B1","JM",81.9,31.02
"B8","AL",47.6,16.45
"B1","AL",25.9,11.63
"B8","TS",38.1,14.18
"B6","JM",40.5,14.11
"B7","TS",63.5,29.63
"B1","TS",86.6,31.5
"B7","AL",58.6,21.64
"B9","TS",82.9,27.71
"B1","AL",74.8,22.32
"B7","TS",62.7,24.17
"B9","AL",32.7,12.12
"B5","JM",70.1,23.02
"B9","AL",61.6,21.11
"B1","JM",15.1,0.92
"B3","TS",69,27.45
"B4","JM",76.7,19.59
"B1","AL",83,28.88
"B3","JM",58.3,20.5
"B4","AL",46.6,17.77
"B6","AL",81.4,22.68
"B9","TS",69.3,23.42
"B3","JM",32.2,15.3
"B3","AL",20.1,8.34
"B9","TS",37.8,13.57
"B2","AL",47.9,21.85
"B6","AL",87.1,31.8
"B1","AL",42.3,14.77
"B2","JM",41.5,9
"B4","JM",35,17.79
"B9","AL",17.8,7.39
"B4","TS",14.6,10.36
"B1","AL",19.3,1.87
"B4","AL",84.3,27.67
"B4","AL",41.6,14.19
"B1","JM",87.8,28.44
"B9","JM",23.9,9.49
"B9","AL",82.6,27.56
"B2","AL",47.4,22.56
"B7","TS",35.3,12.9
"B9","TS",73.2,24.65
"B2","JM",85.8,20
"B7","JM",85.8,30.64
"B7","JM",41.7,15.41
"B8","AL",75,24.89
"B1","TS",31.5,7.82
"B8","AL",52.8,13.84
"B6","TS",23.2,2.32
"B6","TS",31.7,13.59
"B3","JM",62.5,18.98
"B9","TS",61.9,21.31
"B7","TS",59,18.9
"B4","JM",71.1,22.15
"B1","TS",49.9,17.84
"B1","JM",85.7,27.74
"B8","JM",88.1,36.44
"B6","JM",28.3,7.73
"B9","TS",29.1,11.04
"B4","AL",25.8,11.62
"B2","JM",78.6,24.88
"B2","TS",76.5,24.61
"B5","TS",40.8,14.98
"B9","AL",16.4,7.2
"B9","JM",80.8,26.96
"B6","AL",30.9,19.3
"B1","JM",65.1,25.15
"B6","AL",53.1,14.32
"B1","JM",24.7,7.05
"B6","AL",48.3,18.33
"B4","AL",26.5,8.94
"B7","TS",68.2,22.72
"B2","TS",55.8,18.53
"B8","TS",89,30.63
"B9","JM",15.5,6.73
"B6","JM",12.4,11.55
