"participant","employment","sleep_hours","stress_score"
"W055","full-time",9,23.7
"W152","student",4.4,65.2
"W078","student",9.7,17.9
"W075","retired",6.3,33.2
"W057","full-time",9.8,21.2
"W044","student",6.4,58.4
"W138","full-time",4.6,63.6
"W024","retired",5.5,48.5
"W062","student",9.8,15.1
"W115","retired",9,14.2
"W029","retired",9.5,21.2
"W072","student",5.5,57.6
"W158","student",4.1,55.4
"W037","part-time",6.9,39.7
"W157","part-time",9.2,31.9
"W050","full-time",9.6,14.6
"W095","part-time",8.9,19.3
"W175","retired",8.5,31.2
"W087","part-time",6.2,44.5
"W103","student",4.1,79.3
"W004","part-time",9.8,15
"W063","retired",7.8,32.7
"W003","full-time",6.7,36.8
"W186","student",8.6,30.5
"W142","retired",8.6,18.5
"W015","full-time",6.5,49
"W032","full-time",8.9,31.4
"W067","student",4.7,67.4
"W167","retired",8.6,30.5
"W007","retired",6.1,53.8
"W202","full-time",9.4,24.5
"W130","full-time",7.9,30.3
"W156","student",9.3,18.4
"W086","student",9.6,44.1
"W060","student",4.8,63
"W083","retired",8.2,45.2
"W139","retired",4.6,58.6
"W121","part-time",5.7,47.8
"W148","retired",6.8,43.5
"W033","full-time",5.2,52
"W143","student",5.2,51.3
"W092","part-time",4.5,72.6
"W173","student",5.8,51.5
"W082","full-time",5.7,43.3
"W162","retired",5.1,56.8
"W137","retired",9.3,23.1
"W153","retired",9.5,16.6
"W203","retired",9.1,26.8
"W126","part-time",7.4,47.4
"W183","full-time",7.8,36.5
"W064","retired",7,31.4
"W210","student",5.8,51.5
"W168","student",6.5,46.2
"W169","student",7.3,40.2
"W076","retired",4.9,64
"W059","full-time",4.1,61.1
"W097","part-time",7.6,33.8
"W038","part-time",5.1,56.1
"W090","part-time",9.5,26.8
"W170","full-time",8.5,31.2
"W197","full-time",4.8,59
"W094","part-time",6.7,49.3
"W194","retired",5.2,56
"W013","student",9.8,34.9
"W041","part-time",8.6,37.5
"W181","part-time",7.1,41.8
"W135","student",5.9,54.9
"W026","student",4.9,55
"W040","part-time",7,47.1
"W191","retired",8.2,33.5
"W195","retired",5,57.5
"W125","student",7.2,37.9
"W102","student",9,35
"W111","full-time",7.2,52.9
"W056","retired",4.9,44.4
"W172","full-time",7.4,39.5
"W104","full-time",8.4,30.8
"W096","retired",4.6,54.8
"W002","student",5.8,52.1
"W209","full-time",6.6,45.5
"W198","retired",7.3,40.2
"W189","part-time",5.4,54.5
"W124","full-time",6.4,48.9
"W031","part-time",8.7,30
"W053","student",4.1,72.4
"W128","student",7.4,59.4
"W054","retired",8.3,29.3
"W193","part-time",5,57.5
"W049","part-time",6.7,37.6
"W177","part-time",7.7,37.2
"W116","student",6,54.5
"W163","part-time",7.4,39.5
"W099","full-time",5.7,62.2
"W154","retired",6.1,43.3
"W025","part-time",7.4,39.2
"W039","part-time",8.9,35
"W034","retired",10,32.1
"W133","retired",5.7,45.2
"W147","full-time",9,23.9
"W014","retired",4.1,62.9
"W151","student",6.1,50.8
"W117","student",7.8,40.4
"W199","full-time",4.9,58.2
"W089","part-time",8.6,40.9
"W160","full-time",8.8,29.9
"W028","full-time",7.6,34.3
"W061","part-time",6.3,57.8
"W201","full-time",9.5,23.8
"W132","retired",7.2,43.1
"W174","part-time",9.3,25.2
"W110","part-time",7.2,30.9
"W180","retired",9.3,25.2
"W108","part-time",6.4,56.9
"W105","full-time",8,33.3
"W127","full-time",9.8,32.6
"W178","student",4.7,59.8
"W085","student",7.3,49.6
"W100","retired",6.7,53.8
"W161","student",6.6,45.5
"W036","retired",7.3,33.7
"W073","student",8.2,36.9
"W066","full-time",4.6,63.3
"W023","student",7.9,43.1
"W136","retired",5.5,39.1
"W016","retired",6.1,37.7
"W048","student",4.8,72.8
"W182","part-time",8.2,33.5
"W008","part-time",5.7,65.6
"W208","student",5.7,52.2
"W079","retired",5.1,57.7
"W179","retired",9.1,26.8
"W068","full-time",7.6,24.1
"W149","full-time",7.5,43.7
"W093","part-time",5.5,53.8
"W176","part-time",5.3,55.2
"W022","part-time",10,20.1
"W140","full-time",5.4,53.9
"W035","part-time",9.3,14.9
"W017","student",6.1,51.7
"W005","student",5.7,61.8
"W120","retired",4.2,65.9
"W058","student",5.2,60.7
"W091","student",9.8,18.2
"W012","full-time",6.9,50.7
"W065","part-time",4.3,57.3
"W204","part-time",6.6,45.5
"W019","retired",7.7,37
"W009","student",6.5,58.3
"W118","part-time",6,43.4
"W192","part-time",5.4,54.5
"W107","student",6.5,38
"W166","full-time",9,27.5
"W207","full-time",4.5,61.2
"W165","student",6.5,46.2
"W159","full-time",8.8,35.5
"W088","retired",9.9,21.9
"W122","full-time",7.8,42.4
"W150","student",9.9,22.7
"W052","part-time",7.2,34.7
"W030","part-time",8.6,27.6
"W042","full-time",4.2,52.9
"W164","student",6.2,48.5
"W006","student",8,36
"W027","student",4.6,71
"W112","student",4.2,74
"W187","part-time",8.4,32
"W084","part-time",6.4,55.5
