"run_id","technician","concentration_ug","absorbance"
134,"KM",59.98,0.6
111,"KM",39.46,0.447
53,"DH",68.06,0.705
141,"RS",28.72,0.308
23,"KM",11.11,0.132
57,"RS",22.2,0.248
101,"RS",8.22,0.088
3,"KM",84.54,0.825
86,"KM",12.03,0.172
27,"DH",19.19,0.278
164,"RS",37.26,0.394
73,"DH",15.17,0.153
6,"KM",19.94,0.289
200,"KM",49.71,0.508
70,"KM",10.86,0.131
64,"DH",26.93,0.342
161,"RS",37.73,0.39
189,"KM",49.75,0.505
35,"RS",4.64,0.041
174,"DH",34.41,0.375
71,"DH",58.45,0.645
116,"KM",16.34,0.185
167,"DH",34.61,0.37
160,"RS",37.33,0.4
146,"RS",28.61,0.302
55,"RS",55.95,0.559
169,"DH",34.21,0.373
132,"KM",41.48,0.446
102,"DH",23.84,0.297
41,"DH",19.42,0.19
83,"KM",73.09,0.753
75,"RS",18.14,0.266
133,"RS",5.16,0.011
172,"DH",34.41,0.374
121,"RS",77,0.856
107,"KM",29.04,0.276
179,"KM",37.23,0.392
15,"KM",83.9,0.894
96,"KM",49.04,0.503
10,"DH",87,0.842
112,"DH",80.03,0.805
129,"DH",35.06,0.372
197,"KM",49.65,0.51
80,"DH",93.59,1.035
79,"DH",17.56,0.259
140,"RS",48.88,0.529
118,"DH",66.35,0.722
9,"KM",68.37,0.739
176,"DH",34.48,0.371
152,"RS",28.36,0.315
45,"RS",29.62,0.308
2,"RS",71.66,0.778
36,"DH",31.32,0.341
115,"KM",65.42,0.7
195,"KM",49.71,0.507
52,"KM",88.31,0.907
192,"KM",49.38,0.513
4,"RS",8.2,0.094
94,"KM",82.28,0.811
109,"KM",90.74,0.844
137,"KM",11.48,0.114
43,"DH",75.41,0.772
110,"RS",73.33,0.735
39,"KM",72.56,0.759
7,"RS",79.54,0.77
30,"RS",91.2,0.858
28,"KM",35.71,0.373
181,"KM",37.15,0.391
165,"DH",34.39,0.371
180,"KM",37.27,0.388
105,"KM",37.21,0.429
85,"RS",8.05,0.134
175,"DH",34.39,0.374
17,"DH",56.43,0.631
87,"KM",49.58,0.496
150,"RS",28.59,0.319
13,"RS",39.59,0.407
126,"RS",64.1,0.626
128,"RS",71.96,0.746
187,"KM",37.08,0.396
82,"KM",13.77,0.175
131,"RS",58.19,0.653
33,"KM",42.7,0.369
173,"DH",34.31,0.37
104,"DH",19.56,0.334
62,"KM",30.71,0.358
1,"RS",49.56,0.525
65,"DH",3.83,0.046
178,"KM",37.07,0.396
154,"RS",37.66,0.398
183,"KM",37.06,0.397
19,"KM",84.8,0.784
185,"KM",37.3,0.391
16,"RS",86.74,0.894
103,"KM",17.11,0.204
42,"DH",51.21,0.532
162,"RS",37.15,0.391
114,"DH",52.28,0.603
138,"DH",14,0.143
91,"DH",84.33,0.791
198,"KM",49.87,0.516
142,"RS",28.84,0.309
58,"RS",75.98,0.757
29,"KM",12.45,0.135
47,"RS",11.09,0.117
170,"DH",34.29,0.37
193,"KM",49.77,0.518
122,"RS",89.9,0.849
68,"DH",77.9,0.812
139,"DH",60.11,0.665
117,"DH",27.71,0.231
84,"DH",52.25,0.544
182,"KM",37.36,0.396
194,"KM",50.05,0.518
163,"RS",37.43,0.393
190,"KM",49.83,0.518
125,"RS",68.29,0.751
186,"KM",37.67,0.394
99,"DH",13.06,0.135
21,"DH",61.38,0.715
147,"RS",28.55,0.307
18,"DH",23.92,0.287
78,"RS",80.8,0.757
49,"DH",26.08,0.311
106,"KM",25.99,0.253
60,"RS",63.99,0.641
8,"RS",18.29,0.23
123,"KM",88.52,0.863
97,"RS",14,0.094
171,"DH",34.54,0.368
177,"KM",37.05,0.399
148,"RS",28.69,0.318
69,"RS",87.16,0.873
88,"KM",15.05,0.179
38,"RS",42.35,0.465
100,"KM",90.03,0.973
168,"DH",34.49,0.364
108,"DH",29.88,0.345
145,"RS",28.42,0.316
72,"DH",42.37,0.422
130,"KM",55.81,0.632
188,"KM",37.09,0.402
199,"KM",49.69,0.517
14,"KM",38.84,0.474
25,"RS",65,0.647
159,"RS",37.42,0.396
40,"DH",12.88,0.195
92,"KM",68.59,0.737
196,"KM",49.71,0.519
34,"RS",23.97,0.261
156,"RS",37.7,0.393
120,"DH",91.06,0.976
143,"RS",28.78,0.312
63,"RS",65.63,0.697
32,"DH",24.52,0.266
76,"RS",58.96,0.631
37,"RS",86.86,0.916
46,"KM",71.02,0.75
67,"RS",40.26,0.461
124,"KM",27.58,0.236
158,"RS",37.67,0.401
157,"RS",37.44,0.399
66,"DH",8.13,0.196
135,"DH",49.78,0.495
61,"DH",9.39,0.076
26,"KM",77.93,0.784
11,"KM",57.65,0.54
81,"RS",40.75,0.432
59,"KM",8.65,0.123
51,"RS",17.74,0.23
119,"RS",41.12,0.348
95,"KM",40.95,0.357
153,"RS",37.33,0.389
151,"RS",28.81,0.315
149,"RS",28.83,0.31
89,"DH",64.98,0.684
56,"KM",15,0.131
136,"KM",32.5,0.299
31,"KM",51.75,0.571
127,"DH",31.78,0.309
155,"RS",37.39,0.396
144,"RS",28.71,0.309
50,"DH",9.25,0.146
98,"KM",66.98,0.631
54,"DH",46.43,0.518
5,"KM",8.51,0.142
20,"RS",80.71,0.806
44,"DH",6.05,0.083
22,"DH",41.6,0.477
12,"DH",38.02,0.432
48,"KM",46.29,0.468
77,"DH",46.63,0.451
24,"RS",92.85,0.896
191,"KM",49.81,0.513
74,"RS",25.68,0.264
166,"DH",34.67,0.373
93,"DH",29.13,0.34
90,"RS",28.37,0.367
113,"KM",25.94,0.274
184,"KM",36.92,0.394
