"inspection_id","district","span_m","deflection_mm"
"INS89059","north",169.9,16.84
"INS50533","east",187.7,19.05
"INS79953","west",167.2,16.49
"INS47106","south",111,11.24
"INS15306","north",64.7,9.39
"INS39940","north",169.6,16.32
"INS43573","south",95.3,10.11
"INS55240","north",129.6,15.6
"INS49001","east",118.2,10.15
"INS13049","west",167.2,16.24
"INS59554","south",94.9,10.2
"INS40910","north",74.4,7.68
"INS18045","west",185,15.83
"INS32792","south",181.2,18.29
"INS71527","south",138.6,14.14
"INS24614","south",182.4,17.14
"INS63304","west",110.8,12.18
"INS41037","west",192.9,17.29
"INS77057","north",169.8,16.31
"INS22308","north",169.8,16.37
"INS16710","north",49.6,6.53
"INS97514","west",167.6,16.52
"INS76991","north",155,13.95
"INS75786","west",110.7,11.77
"INS36999","south",147.3,18.29
"INS62624","south",93.5,10.77
"INS93321","north",50.8,5.56
"INS45936","east",159.1,14.64
"INS98606","east",129.5,13.1
"INS71881","north",151.1,15.13
"INS96175","east",48.3,6.13
"INS91162","south",176.8,16.81
"INS95707","east",49.2,5.86
"INS66414","west",22.7,3.95
"INS62347","south",111.3,11.5
"INS78355","south",110.9,11.88
"INS35540","south",95.1,10.11
"INS46507","north",179.3,17.92
"INS62554","east",201.2,20.3
"INS99208","south",97,12.86
"INS29811","west",101.6,9.8
"INS78805","east",131.6,13.6
"INS88507","south",142.4,12.22
"INS55206","south",170.8,15.44
"INS18257","north",169.8,16.74
"INS77276","east",126,10.37
"INS19642","south",95.3,10.17
"INS93625","west",138.7,16.04
"INS73903","south",110.4,11.43
"INS14998","west",46.4,5.45
"INS23453","west",167.2,16.04
"INS48970","east",208.1,17.05
"INS37570","west",79.3,8.15
"INS69089","north",169.6,15.42
"INS49937","south",111.5,11.33
"INS63645","north",165.5,16.02
"INS74991","south",138.6,13.7
"INS27600","south",110.8,11.55
"INS50903","east",108.6,8.92
"INS35966","south",153.6,13.82
"INS40653","east",125.4,10.98
"INS74419","north",166.2,16.68
"INS57418","south",137.2,10.49
"INS79903","north",169.4,16.3
"INS28892","north",124.7,10.54
"INS49942","west",133.2,14.86
"INS68660","west",167.6,15.95
"INS32344","west",183.3,14.43
"INS55218","south",95.2,10.12
