"claim_type","region","claimant_income_k","claim_amount_k"
"auto","coastal",37.51,1.27
"umbrella","coastal",80.5,1.49
"auto","north",57.15,2.68
"auto","north",118.83,1.48
"umbrella","south",49.71,1.99
"auto","north",42.38,1.7
"auto","north",63.93,1.7
"home","south",78.45,2.03
"home","north",128.09,2.81
"home","north",54.75,1.67
"auto","coastal",98.73,0.88
"home","south",94.45,1.55
"auto","coastal",89.98,2.96
"home","coastal",113.81,2.44
"auto","coastal",94.88,2.12
"umbrella","south",72.26,2.37
"auto","north",54.75,1.53
"home","north",54.75,1.69
"home","coastal",97.53,1.72
"auto","south",127,2.96
"auto","south",138.97,3.31
"auto","north",67.25,0.71
"auto","coastal",39.51,1.4
"home","south",96.67,2.2
"auto","south",102.73,2.16
"auto","north",63.37,0.96
"auto","north",76.72,1.02
"auto","north",80.22,2.19
"auto","south",127,2.77
"auto","south",56.11,1.34
"umbrella","north",54.75,1.57
"home","coastal",129.04,2.11
"auto","south",94.45,1.44
"auto","coastal",127.8,2.62
"home","north",138.93,2.49
"auto","north",38.24,1.41
"umbrella","south",130.69,1.55
"auto","coastal",57.94,1.96
"umbrella","north",54.75,0.58
"auto","south",66.9,0.87
"auto","north",42.38,1.18
"auto","south",29.25,2.86
"auto","south",68.35,1.96
"auto","south",118.27,1.99
"home","south",94.45,1.37
"home","north",131.59,2.58
"umbrella","south",29.66,1.25
"auto","south",74.43,1.73
"auto","north",128.7,1.78
"auto","north",120.56,1.8
"home","north",42.38,0.35
"home","coastal",84.42,2.23
"home","coastal",42.17,1.61
"auto","coastal",37.66,0.7
"auto","south",44.68,1.46
"umbrella","south",127,3.02
"umbrella","south",43.31,1.77
"auto","south",86.85,2.81
"auto","coastal",69,2.89
"home","coastal",38.27,1.76
"home","south",96.83,2.87
"auto","south",35.85,1.71
"auto","north",54.75,0.52
"home","south",127,2.65
"umbrella","north",132.68,2.18
"auto","south",139.97,2.1
"home","coastal",87.63,2.27
"home","coastal",33.67,1.57
"home","south",67.19,2.61
"auto","coastal",89.56,1.54
"auto","north",115.36,2.22
"home","south",106.79,2.95
"auto","coastal",85.51,2.61
"umbrella","north",81.97,2.04
"home","south",109.48,2.34
"auto","coastal",106.99,2.14
"home","north",79.35,2.91
"auto","south",127,2.93
"umbrella","south",43.31,0.83
"home","north",36.95,1.83
"umbrella","south",72.26,1.7
"auto","north",42.38,0.94
"auto","south",96.8,1.87
"umbrella","south",127,2.1
"home","north",36.22,2.07
"auto","coastal",129.38,1.83
"auto","north",91.89,2.44
"auto","north",45.23,0.55
"home","north",30.03,1.79
"umbrella","north",28.09,0.61
"umbrella","south",106.55,1.48
"home","south",93.66,2.95
"home","north",127.01,2.65
"auto","south",137.61,2.44
"home","north",30.06,0.33
"auto","north",64.42,1.97
"auto","coastal",104.93,2.02
"auto","north",93.73,3.22
"auto","coastal",35.5,1.06
"home","north",80.14,1.48
"home","coastal",45.05,1.35
