"courier","zone","distance_km","delivery_min"
"scooter","Z1",9.06,52.8
"bike","Z3",2.29,37.5
"car","Z1",0.78,18.5
"bike","Z4",11.02,57.3
"scooter","Z3",3.05,33.5
"bike","Z3",10.91,59
"car","Z1",6.59,40.3
"scooter","Z2",1.46,31.2
"car","Z3",10.18,55.7
"car","Z5",8.51,46.8
"scooter","Z1",7.08,51.4
"scooter","Z5",3.82,27.9
"scooter","Z2",0.45,16.8
"scooter","Z3",10.07,52.6
"car","Z1",1.84,20.8
"bike","Z3",3.98,32.7
"scooter","Z3",8.34,49.6
"bike","Z5",7.42,43.7
"scooter","Z2",4.1,27.6
"scooter","Z1",0.94,13
"bike","Z3",8.53,51.1
"scooter","Z4",1.1,22.9
"car","Z4",7.23,45.6
"bike","Z3",2.79,28.6
"scooter","Z1",8.54,45.6
"scooter","Z5",7.78,51.5
"car","Z1",2.25,18
"car","Z4",2.36,20.6
"scooter","Z4",3.86,27.8
"bike","Z4",7.15,56.4
"scooter","Z1",3.17,24.8
"car","Z2",1.58,23.1
"scooter","Z3",7.91,48.1
"bike","Z2",2.93,21.8
"scooter","Z3",3.1,33.3
"scooter","Z5",1.78,30.5
"scooter","Z1",7.56,45.8
"scooter","Z4",3.41,33.4
"car","Z3",0.82,22.1
"scooter","Z4",5.95,34.2
"car","Z5",4.48,30
"car","Z4",6.4,38.9
"car","Z2",4.33,27.1
"bike","Z3",9.5,49.9
"car","Z1",6.04,54.5
"bike","Z5",7.06,42.1
"bike","Z3",7.28,42.7
"car","Z2",10.34,55.5
"bike","Z4",3.34,23.2
"scooter","Z5",5.32,33.3
"scooter","Z3",1.82,42.4
"scooter","Z4",5.61,33.2
"bike","Z5",4.87,36
"scooter","Z3",0.84,18.3
"bike","Z1",2.52,19.3
"bike","Z4",8.19,52.6
"scooter","Z5",1.13,16
"scooter","Z1",5.86,44.5
"bike","Z2",10.91,56.6
"car","Z1",1.46,18.4
"bike","Z3",8.29,45.6
"bike","Z5",0.79,14.4
"bike","Z4",1.03,16.1
"bike","Z5",2.3,24.3
"car","Z5",1.51,34.6
"scooter","Z1",2.66,20.2
"scooter","Z4",3.54,24.5
"scooter","Z4",4.22,28.9
"bike","Z5",5.6,43.9
"scooter","Z3",4.81,30.7
"scooter","Z3",5.5,33.8
"scooter","Z3",9.36,59.6
"car","Z2",8.29,48
"bike","Z3",7.85,43.9
"scooter","Z1",2.76,26.5
"scooter","Z2",0.74,18
"car","Z2",1.34,34.1
"car","Z2",9.66,56
"car","Z1",6.66,37.5
"car","Z3",7.15,40.4
"scooter","Z2",3.23,23.9
"bike","Z1",6.8,47.2
"car","Z2",0.44,10
"scooter","Z4",2.44,31.8
"bike","Z5",5.17,39.8
"bike","Z1",8.54,59.2
"scooter","Z4",1.35,17.3
"car","Z3",1.96,26.6
"car","Z5",8.48,59.2
"car","Z3",8.26,48.2
"scooter","Z1",7.1,45
"car","Z4",7.34,44.5
"bike","Z2",6.36,41.9
"car","Z3",1.1,30.8
"scooter","Z1",7.95,51.8
"bike","Z1",2.66,19.9
"bike","Z3",9.88,57
"scooter","Z5",5.97,59.9
"bike","Z3",2.21,33.7
"scooter","Z2",0.6,15.5
"scooter","Z1",5.84,34.9
"scooter","Z2",10.36,55.8
"bike","Z4",6.87,38.4
"scooter","Z5",5.29,47.9
"scooter","Z5",8.98,48.9
"bike","Z4",0.75,29.1
"scooter","Z2",5.47,43.7
"scooter","Z2",5.89,50.9
"car","Z3",1.77,19.2
"car","Z5",10.9,59.5
"bike","Z4",3.52,39.3
"scooter","Z1",9.17,49.4
