"meter_id","dwelling","outdoor_temp_c","heating_kwh"
"MTR8996","apartment",-2.1,40.92
"MTR8156","apartment",-0.6,38.26
"MTR7283","townhouse",-2.6,46.42
"MTR3536","apartment",14.5,16.14
"MTR5290","detached",9.2,24.66
"MTR8678","apartment",7,27.85
"MTR7204","apartment",-2.2,32.8
"MTR7375","apartment",-4.3,46.86
"MTR2829","detached",-3.7,41.44
"MTR7159","apartment",7.1,24.49
"MTR1914","apartment",5.4,31.08
"MTR2369","townhouse",-7.4,45.37
"MTR4598","townhouse",-3.5,49.97
"MTR9723","apartment",14.7,16.69
"MTR7412","apartment",0.4,44.41
"MTR2111","townhouse",-6.6,41.07
"MTR9215","apartment",12,20.6
"MTR3673","apartment",15.4,22.88
"MTR4001","detached",-0.9,36.92
"MTR1626","apartment",-0.2,47.21
"MTR6762","townhouse",4.2,37.02
"MTR4963","apartment",16.8,13.92
"MTR1424","detached",-1.9,43.18
"MTR6596","detached",16.5,14.07
"MTR7187","townhouse",-6.8,43.98
"MTR7178","detached",7.7,28.68
"MTR7601","detached",11.5,21.32
"MTR4083","townhouse",16.3,16.34
"MTR8493","apartment",17.2,10.24
"MTR5790","apartment",-0.6,35.09
"MTR1632","detached",7.6,26.98
"MTR5060","detached",-4.3,41.17
"MTR7543","apartment",4,32.85
"MTR3159","detached",11.4,21.47
"MTR8847","townhouse",16,16.73
"MTR3991","townhouse",16.8,13.45
"MTR2255","detached",-7.3,46.25
"MTR2784","apartment",15.6,18.68
"MTR3916","detached",11.1,17.01
"MTR2360","apartment",16.5,15.42
"MTR8169","detached",-0.5,38.73
"MTR1031","apartment",10.9,22.2
"MTR7417","apartment",-0.5,40.48
"MTR8497","townhouse",9.1,21.75
"MTR9525","apartment",10.2,20.94
"MTR7616","detached",-7.2,47.27
"MTR8414","detached",6.7,26.68
"MTR7016","apartment",6,22.11
"MTR4075","townhouse",7.7,22.97
"MTR9399","townhouse",1.2,36.26
"MTR2364","townhouse",12.1,24.76
"MTR4887","apartment",4,33.94
"MTR9668","detached",13,22.95
"MTR1310","detached",13,21.32
"MTR5073","detached",-6.1,47.74
"MTR5823","apartment",6,31.4
"MTR3877","detached",-1.8,35.3
"MTR6749","apartment",11.2,21.76
"MTR8301","apartment",-2.1,33.94
"MTR3409","townhouse",-2.9,45.33
"MTR5165","townhouse",4.8,32.74
"MTR5518","townhouse",5.6,27.25
"MTR7605","detached",-7.6,56.38
"MTR7906","apartment",14.8,16.54
"MTR6711","detached",3.6,37.51
"MTR5889","detached",12.5,19.88
