"course","modality","content_rating","instructor_rating"
"MATH 255","online",31.4,36.6
"STAT 301","in-person",72.7,72.7
"STAT 412","in-person",39.3,53.6
"MATH 255","online",23.3,56.7
"DSCI 320","online",34.5,48
"STAT 412","online",27,48.5
"STAT 301","in-person",22.8,39
"DSCI 320","in-person",44.9,44
"DSCI 210","in-person",57.4,61.3
"DSCI 320","online",32.5,39.2
"STAT 412","in-person",66.7,61.7
"DSCI 320","in-person",58.4,61.1
"DSCI 320","online",28.7,28.7
"DSCI 320","in-person",70.3,67.8
"STAT 412","online",48.6,67.7
"STAT 301","in-person",90.8,64.9
"DSCI 320","online",81.5,74.5
"MATH 255","online",33.3,40.7
"MATH 255","online",56.5,58.7
"DSCI 320","in-person",31,54.1
"STAT 412","in-person",49,62.6
"MATH 255","online",66.7,66.7
"STAT 301","online",39.1,57
"STAT 301","online",48.8,56.2
"MATH 255","in-person",58,61.1
"STAT 412","in-person",70.9,69.7
"DSCI 320","in-person",50.6,50.6
"STAT 301","in-person",88.4,81.8
"STAT 412","online",57.7,50.7
"STAT 301","online",72.3,53.1
"STAT 301","in-person",87.8,65.8
"DSCI 320","in-person",53,53
"STAT 412","in-person",44.3,46.2
"DSCI 210","in-person",60.7,50.3
"STAT 301","in-person",41.5,45.1
"DSCI 320","in-person",34.5,59
"MATH 255","online",55.2,50.3
"DSCI 320","in-person",30.3,50.8
"DSCI 210","in-person",34.3,43.6
"STAT 412","online",57.9,54.9
"DSCI 320","online",56,56
"MATH 255","online",31.4,47.2
"STAT 301","online",43.8,45.2
"STAT 301","online",28.6,54.5
"MATH 255","in-person",83.8,63.4
"DSCI 320","in-person",30.6,27.8
"STAT 301","in-person",20.5,43.6
"DSCI 320","in-person",50.6,45.6
"STAT 412","in-person",59.6,65.5
"STAT 301","in-person",36.9,42.5
"MATH 255","in-person",31.6,33.5
"DSCI 210","in-person",78,64.2
"STAT 412","in-person",78.8,74.1
"STAT 412","in-person",94.5,75.1
"DSCI 320","in-person",22.8,29.1
"STAT 412","in-person",42.8,59.7
"MATH 255","in-person",49.7,55.7
"DSCI 320","online",33.1,41.7
"DSCI 210","in-person",64.6,57.7
"STAT 412","in-person",82.4,66.8
"STAT 412","in-person",81.5,58
"STAT 301","in-person",94.9,69.5
"DSCI 320","online",33.4,33.4
"DSCI 320","in-person",84.1,84.5
"STAT 412","in-person",83.4,63.8
"DSCI 210","in-person",63.8,43.4
"DSCI 320","in-person",22.3,43
"DSCI 320","in-person",27.7,54.6
"STAT 301","in-person",61.2,58
"DSCI 320","in-person",65.3,56
"DSCI 210","in-person",78.2,69.4
"DSCI 320","online",35.5,29.6
"STAT 301","in-person",42.7,46
"MATH 255","in-person",65.2,76.1
"STAT 412","in-person",35.8,59.5
"STAT 301","online",80.5,66.5
"STAT 301","in-person",73.2,62.3
"STAT 301","online",75.3,72.4
"STAT 412","in-person",69.6,66.1
"DSCI 320","in-person",67.2,66.3
"MATH 255","in-person",47.1,47.1
"DSCI 320","in-person",88.3,53.2
"DSCI 320","online",28.7,51.4
"DSCI 320","online",36.4,32.9
"STAT 301","in-person",69.8,56.1
"DSCI 210","in-person",54.8,47.1
"STAT 301","in-person",73.7,62.5
"STAT 412","in-person",51.7,46.8
"STAT 301","in-person",77.5,54.5
"DSCI 210","in-person",70,70.2
"STAT 412","online",36.6,47.3
"STAT 412","in-person",41.5,54
"STAT 301","online",92.9,92.9
"STAT 301","online",79.1,79.1
"STAT 412","online",29.2,54.3
"MATH 255","in-person",81.4,80.6
"STAT 301","in-person",41.5,58.5
"MATH 255","online",43.2,44.1
"MATH 255","in-person",59.3,58.7
"DSCI 320","online",53,65.2
"MATH 255","in-person",30.7,24.9
"MATH 255","online",77.8,63.9
"DSCI 210","online",59.4,67
"DSCI 320","online",72.9,52.9
"STAT 301","in-person",41.7,41.7
"STAT 301","in-person",37.5,53.1
"DSCI 320","online",82.4,65.3
"STAT 301","in-person",29.5,57.3
