"plot_id","block","region","soil_moisture","yield_t_ha"
"F001","I","west",28,4.8
"F002","I","west",36,5.2
"F003","III","east",30,6
"F004","II","west",24,4
"F005","IV","east",18,3.2
"F006","IV","west",30,6.4
"F007","I","east",30,6
"F008","IV","east",22,3.6
"F009","I","west",36,7.6
"F010","IV","west",36,6.8
"F011","II","west",26,5.2
"F012","III","west",32,5.6
"F013","IV","west",36,5.6
"F014","III","west",16,4.4
"F015","I","east",24,4.4
"F016","III","west",24,4.8
"F017","I","east",24,5.6
"F018","IV","west",28,4.8
"F019","IV","west",14,4.4
"F020","I","west",20,4
"F021","II","east",38,6.4
"F022","I","west",38,6.4
"F023","II","west",36,5.6
"F024","III","west",34,5.6
"F025","I","west",16,3.6
"F026","III","west",36,5.6
"F027","IV","east",34,6
"F028","I","west",24,4.4
"F029","II","east",20,4.4
"F030","IV","west",40,6.8
"F031","II","east",36,6.8
"F032","II","west",26,4.8
"F033","II","west",24,4.8
"F034","III","east",16,4.4
"F035","II","east",32,4.8
"F036","I","east",36,5.6
"F037","I","east",16,3.6
"F038","II","east",28,4.8
"F039","IV","east",22,5.2
"F040","I","east",30,4.8
"F041","II","east",22,3.2
"F042","III","east",32,6.4
"F043","I","east",34,6
"F044","IV","east",30,5.6
"F045","III","east",26,4.4
"F046","I","east",12,3.6
"F047","II","east",16,4
"F048","II","east",30,6
"F049","III","west",20,4
"F050","I","west",34,6.4
"F051","IV","east",32,6.4
"F052","III","west",32,4.8
"F053","IV","east",36,6
"F054","IV","west",30,5.6
"F055","IV","west",18,4
"F056","I","east",38,6.8
"F057","I","west",32,6.4
"F058","I","west",20,5.2
"F059","II","west",16,3.2
"F060","IV","east",28,5.2
"F061","IV","east",40,6
"F062","IV","west",32,6.4
"F063","IV","west",36,6.8
"F064","I","west",34,6.4
"F065","IV","west",38,7.6
"F066","II","east",24,5.2
"F067","I","east",36,7.2
"F068","III","east",30,6
"F069","III","east",18,3.2
"F070","III","east",22,4.4
"F071","III","west",14,4.8
"F072","I","east",20,5.6
"F073","IV","east",16,4.4
"F074","III","east",38,6.8
"F075","II","east",40,6
"F076","II","east",30,7.2
"F077","IV","east",32,6
"F078","II","east",28,5.6
"F079","I","west",18,4.4
"F080","I","east",38,7.2
"F081","III","west",18,3.6
"F082","II","east",32,6.4
"F083","I","west",34,6
"F084","III","east",30,6
"F085","III","east",34,6.4
"F086","II","east",16,3.6
"F087","IV","east",26,4.4
"F088","I","west",32,5.2
"F089","II","west",26,4.8
"F090","III","west",30,5.6
"F091","II","east",34,7.6
"F092","IV","east",24,5.2
"F093","II","east",12,3.6
"F094","II","east",34,6.4
"F095","IV","west",16,3.6
"F096","IV","west",32,5.2
"F097","I","west",18,4
"F098","II","east",34,6
"F099","I","east",36,6.4
"F100","II","east",34,6.8
"F101","II","east",18,3.6
"F102","I","west",38,6.8
"F103","III","east",20,4
"F104","II","west",36,6.4
"F105","III","east",22,4.8
"F106","I","east",34,6.4
"F107","IV","west",26,4.8
"F108","II","west",12,4
"F109","II","west",22,4.8
"F110","IV","east",30,6
"F111","II","west",24,5.2
"F112","II","east",30,5.2
"F113","II","west",32,6.4
"F114","II","west",14,2
"F115","I","west",34,8
"F116","II","west",32,6.8
"F117","IV","west",34,5.6
"F118","III","east",16,3.6
"F119","II","west",14,3.6
"F120","II","west",24,4.4
"F121","I","east",30,4.8
"F122","III","east",18,4.4
"F123","III","east",38,7.2
"F124","II","east",26,5.2
"F125","III","east",40,6.4
"F126","III","east",28,4.4
"F127","I","east",16,3.6
"F128","I","west",34,6.8
"F129","IV","east",14,3.6
"F130","III","east",18,4
"F131","III","east",30,5.2
"F132","III","west",20,3.6
"F133","III","west",18,3.2
"F134","II","west",24,4.8
"F135","IV","west",32,6
"F136","IV","east",40,6.8
"F137","I","east",32,5.2
"F138","IV","east",20,4.4
"F139","I","west",24,4.4
"F140","IV","west",18,3.6
"F141","II","west",14,3.6
"F142","III","east",34,6.4
"F143","III","east",14,4
"F144","II","west",22,4.8
"F145","III","east",14,3.6
"F146","III","west",34,5.2
"F147","I","east",16,4
"F148","III","west",28,5.2
"F149","III","east",38,6.8
"F150","IV","east",26,5.6
