"bay","fan_on","temperature_c","humidity_pct"
"Bay 6","yes",24.5,54.2
"Bay 1","yes",31.7,36
"Bay 5","yes",27.7,45.8
"Bay 3","yes",32.4,26.7
"Bay 5","yes",27.7,49.9
"Bay 1","yes",24.9,52.4
"Bay 3","no",26.9,53.3
"Bay 2","yes",27.7,43.6
"Bay 4","yes",22,66.6
"Bay 1","yes",26.9,54.2
"Bay 1","no",16.7,73.9
"Bay 1","yes",21.1,61.3
"Bay 5","no",24.2,45.6
"Bay 4","no",33.4,46.8
"Bay 2","no",26.7,54.2
"Bay 2","yes",25.7,61.5
"Bay 6","yes",28.6,51.8
"Bay 1","yes",26.8,38.5
"Bay 3","no",18.6,63
"Bay 1","no",21.4,64.3
"Bay 6","no",20.8,55.7
"Bay 3","yes",29.7,38.1
"Bay 2","yes",22.8,54.2
"Bay 4","no",23,62.1
"Bay 6","no",29.3,32.1
"Bay 2","no",22.6,52.6
"Bay 1","yes",29.4,42.3
"Bay 1","no",22.9,65.8
"Bay 4","yes",33.1,35
"Bay 2","no",25.2,54.8
"Bay 5","yes",21.9,59.7
"Bay 6","yes",28.7,34.4
"Bay 1","yes",25.3,53.4
"Bay 6","no",20.4,64.3
"Bay 3","no",16.5,76.5
"Bay 3","yes",16.1,72.7
"Bay 1","yes",22.9,66.4
"Bay 4","no",30.8,50.7
"Bay 4","yes",18.4,61
"Bay 5","no",20.6,51.9
"Bay 5","no",17.4,62
"Bay 5","yes",23.1,54.2
"Bay 5","yes",29.1,54.5
"Bay 3","yes",17.9,63.3
"Bay 1","yes",24.2,48.9
"Bay 1","yes",20.8,65.7
"Bay 4","no",20.6,56.1
"Bay 3","no",22.3,54.2
"Bay 4","no",22.8,61.6
"Bay 2","no",21.5,64.6
"Bay 4","no",26.6,46.8
"Bay 4","no",25.7,45
"Bay 4","no",24.5,57.6
"Bay 3","yes",21.5,55.6
"Bay 6","no",25.7,55.1
"Bay 4","no",22.4,58.3
"Bay 1","no",18.2,61.6
"Bay 4","yes",24.1,46.3
"Bay 3","no",23.3,59.7
"Bay 3","yes",22.6,54.1
"Bay 5","no",23.7,64.2
"Bay 2","yes",20.2,69.9
"Bay 1","no",26.7,57
"Bay 1","yes",17.2,58.9
"Bay 6","yes",29.2,38.3
"Bay 2","no",20.3,64.9
"Bay 3","no",20.8,54.5
"Bay 4","yes",26.8,53.9
"Bay 6","no",25,51.9
"Bay 1","no",16.7,72.2
"Bay 6","yes",26.9,54.2
"Bay 6","no",25.4,54.2
"Bay 3","yes",17.9,64
"Bay 1","yes",24.6,49.1
"Bay 1","no",32.8,48.2
"Bay 1","no",33.8,29.4
"Bay 4","yes",22.3,53.7
"Bay 2","no",18,51.3
"Bay 5","no",33.9,44.5
"Bay 5","no",29.6,44.3
"Bay 4","no",26,52.3
"Bay 2","yes",31,39.7
"Bay 1","no",24.4,54.2
"Bay 5","no",33.4,32.7
"Bay 4","no",29.5,49.8
"Bay 4","yes",18.6,59.5
"Bay 4","yes",25.1,44.1
"Bay 4","yes",24,54
"Bay 6","no",16.1,67.7
"Bay 4","no",19.6,73.5
"Bay 4","no",16.7,67.5
"Bay 3","no",29.3,36.3
"Bay 6","no",33.3,38.6
"Bay 6","no",26.3,54.2
"Bay 4","yes",18.8,64.1
