"tray","watering","light_hours","height_cm"
"T8","daily",12.9,24.4
"T7","alternate",7.8,15.7
"T9","alternate",11.9,24.9
"T8","daily",5.1,22.6
"T4","daily",10.1,15.7
"T2","daily",12.9,27.5
"T4","alternate",13,20.4
"T9","alternate",9.7,19.4
"T7","daily",10.7,21.6
"T4","daily",4.3,6.6
"T5","alternate",14.4,25.9
"T2","alternate",6.2,11.7
"T4","alternate",15.4,29.9
"T6","alternate",6.9,16.1
"T10","alternate",8.2,16
"T4","alternate",14.6,25.7
"T9","alternate",4.1,7.3
"T7","daily",15.9,5.2
"T4","alternate",6.7,19.2
"T8","alternate",12.6,16
"T1","alternate",5.5,10.3
"T3","daily",10.7,21.3
"T4","daily",12.6,22.6
"T5","daily",11.6,16.1
"T10","daily",12.9,21.3
"T8","alternate",6.9,17.5
"T10","daily",13.7,26.2
"T2","alternate",13.3,11.2
"T1","alternate",5.6,21.3
"T6","daily",4.8,24.9
"T7","alternate",4,9.2
"T4","alternate",12.3,24.5
"T8","alternate",5.3,11.9
"T3","alternate",10.2,15.5
"T8","daily",7.8,13.2
"T4","daily",11.3,23.6
"T5","daily",7.4,12.4
"T9","daily",9.7,16.3
"T9","alternate",6.1,13.9
"T8","alternate",15.8,7
"T2","daily",13,26.9
"T5","alternate",10,17
"T5","alternate",9.2,17.9
"T5","daily",7.5,21.5
"T5","daily",13.1,26.5
"T10","daily",4.2,9.4
"T7","daily",6.9,15.5
"T8","daily",9.2,21.9
"T3","alternate",5.3,24.8
"T5","alternate",15,29.6
"T5","alternate",4.8,8.4
"T2","alternate",7,10.3
"T8","alternate",7.7,12.4
"T1","alternate",8.8,18.7
"T10","alternate",11.8,19.1
"T8","alternate",13.9,8.9
"T1","daily",15.6,29.4
"T10","alternate",9.5,18.9
"T7","daily",15.5,33.1
"T5","alternate",14.5,25.5
"T6","daily",4.6,9.5
"T7","daily",4.7,9.7
"T10","daily",11.7,13.6
"T9","alternate",11.6,16.8
"T8","alternate",9.1,16
"T5","alternate",11.9,20.9
"T1","daily",10.4,23.9
"T9","daily",8,16.1
"T10","daily",7.7,18.1
"T9","alternate",5.7,18.7
"T8","daily",6.1,14.2
"T8","alternate",14.9,24.3
"T4","alternate",9.1,13.3
"T7","alternate",4.5,20.5
"T2","alternate",9.9,18
"T6","alternate",7.6,18.7
"T8","daily",10.2,15.9
"T7","alternate",10.6,15.6
"T8","daily",8.8,17.4
"T10","alternate",14,22.3
"T10","alternate",14.9,9.8
"T4","daily",4.7,6.1
"T4","alternate",12.8,11.3
"T4","alternate",8,16.3
"T6","alternate",15.5,27.9
"T3","alternate",5.6,9.7
"T7","daily",8.5,17.5
"T7","daily",4.3,25
"T2","alternate",14.9,28
"T7","alternate",15.9,31.6
"T4","daily",12.7,14.9
"T10","daily",6.7,11.7
"T8","alternate",6.5,10.4
"T4","daily",7.4,18.6
"T6","daily",6.5,8.1
"T6","alternate",15.1,25.5
"T5","daily",10.4,17.8
"T4","daily",6.2,13.4
"T4","daily",8.2,21.1
"T4","daily",13.4,27.5
"T5","alternate",8.6,19.1
"T6","alternate",15.5,27.7
"T10","alternate",4.8,11
"T3","alternate",8.9,15.9
"T1","daily",9.9,21.5
"T1","daily",6.7,12.3
"T5","alternate",8.1,16.3
"T3","alternate",12.7,12.9
"T4","alternate",5,24.1
"T3","alternate",13,14.7
"T4","alternate",11.4,19.2
"T7","daily",12.9,10.8
"T9","alternate",8.2,16.6
"T1","daily",12.2,12.7
"T3","alternate",11.4,16.2
"T2","alternate",7.5,17.9
"T6","daily",10.6,25
"T5","alternate",5.2,8.7
"T2","alternate",14.5,27.2
"T8","alternate",13.7,26.9
"T3","daily",14,7.9
"T2","daily",4,24.7
"T9","daily",4.2,11.1
"T5","alternate",9.2,16.9
"T5","daily",5.1,10.7
"T7","daily",7,16.1
"T3","daily",7.2,15
"T5","alternate",15.2,10.7
"T1","daily",15.8,25.6
"T1","alternate",6,11
"T5","alternate",8.1,19
"T8","alternate",11.5,13.3
"T7","daily",4.4,6.6
"T9","alternate",9.2,21.2
"T5","alternate",12.9,20.3
"T8","daily",6.9,14.1
"T7","alternate",8.8,16.5
"T9","alternate",7.4,9.9
"T4","alternate",12,24.2
"T3","alternate",12.8,24.6
"T1","daily",5.2,25.1
"T10","alternate",5.3,12.1
"T9","alternate",9.1,19.3
"T4","daily",10.9,21.1
"T1","daily",10.8,20.4
"T10","daily",15.6,29.8
"T8","daily",5.3,24.5
"T4","alternate",7,9.7
"T2","alternate",5.9,22.8
"T5","alternate",8.7,22.7
"T2","alternate",6.9,14.2
"T7","daily",5.3,9.1
"T10","alternate",14.2,25.5
"T8","daily",12.7,23.8
"T8","daily",10.9,13.7
"T5","daily",13.3,13.6
"T2","daily",6,15.5
"T9","alternate",8.4,17
"T7","alternate",8.5,14.1
"T2","daily",10.4,13.7
"T7","alternate",12.3,14.3
"T3","alternate",7.1,9.8
"T7","alternate",10.3,19.6
"T10","daily",6.9,19
"T9","daily",6.4,12.5
"T8","alternate",5.5,16
"T5","alternate",14.6,27.6
"T9","alternate",14.4,28.9
"T6","alternate",13.3,18.2
"T10","daily",7,15.1
"T1","daily",13.7,16.7
"T10","daily",6.5,20.3
"T3","daily",9.3,19.4
"T9","daily",10.2,15.9
"T7","alternate",9.1,19.8
"T8","alternate",9.6,18.4
"T9","alternate",7.9,19.5
"T1","alternate",13.2,19.4
"T10","alternate",12.2,14.6
"T10","alternate",6.6,11
