"listing_id","neighborhood","year_built","sqft","bedrooms","price"
53972,"The Flats",1989,2532,3,564100
75426,"Old Town",1934,3829,6,394200
88734,"The Flats",1973,1289,2,754100
30594,"Eastmoor",1983,2890,5,497400
28304,"Old Town",1951,1384,2,771400
32093,"The Flats",1962,3616,4,402200
91983,"The Flats",1938,997,2,794700
11551,"Eastmoor",2005,1029,2,805500
93587,"Eastmoor",1972,1882,2,724900
46618,"Old Town",1980,813,1,902100
25073,"Riverside",2022,3331,5,435600
90643,"The Flats",1996,2001,2,643900
90055,"The Flats",1989,1859,3,733300
77320,"The Flats",1982,2571,3,625400
95427,"Eastmoor",2018,958,2,835700
91026,"Hillcrest",1947,957,3,825900
51340,"Old Town",2005,668,2,882400
54934,"Riverside",1976,1528,2,741200
84665,"Old Town",1940,3838,6,389900
57026,"Eastmoor",1951,2400,2,625700
23947,"Old Town",1967,2025,3,698100
94379,"Riverside",2010,1481,3,737200
36094,"Riverside",1943,683,1,888400
67514,"Hillcrest",2005,3824,4,322500
92993,"Hillcrest",2001,3586,5,368900
33534,"Riverside",2020,2072,3,644100
66892,"Riverside",2016,3699,5,515100
19355,"The Flats",1939,2188,3,583400
79185,"Hillcrest",1961,2632,4,616100
95531,"Eastmoor",1997,761,2,919600
83325,"Hillcrest",1946,3333,5,528600
92996,"Riverside",1966,1113,3,735900
27250,"The Flats",1926,3038,4,440700
63853,"The Flats",2008,839,2,878600
22364,"Eastmoor",1954,2163,3,763700
98616,"Eastmoor",1990,2668,2,630600
47010,"Hillcrest",1962,917,3,856900
82404,"The Flats",1933,3790,6,423500
47282,"Old Town",1999,2209,4,642100
67839,"Eastmoor",1960,2951,3,500800
18297,"Hillcrest",1944,833,2,886200
19846,"Eastmoor",1995,1978,3,628000
59257,"Hillcrest",1946,3829,5,445600
56885,"The Flats",1962,2697,4,511400
76887,"Eastmoor",1964,2949,5,487800
18419,"Old Town",1943,2517,4,516700
66091,"Old Town",1966,3634,5,426900
78331,"Old Town",1982,2156,3,634200
80833,"Riverside",1931,3823,5,323100
29754,"Old Town",1951,3110,5,443900
35565,"The Flats",1953,2789,4,487400
41342,"Riverside",1950,3633,5,339700
80971,"Eastmoor",1925,3503,5,376900
78831,"The Flats",1968,2959,5,500900
16244,"Riverside",1951,3044,4,435900
52011,"Riverside",1938,2536,3,475600
49033,"Eastmoor",1954,2913,5,504400
83332,"Hillcrest",2019,1676,3,752700
20703,"The Flats",1925,1656,2,714200
49668,"Eastmoor",1971,3456,5,550800
25394,"The Flats",1984,1322,2,653000
39865,"Eastmoor",1989,2835,4,551300
56030,"Eastmoor",1963,837,2,860200
77994,"Hillcrest",1979,1338,2,776900
89186,"Hillcrest",1943,1998,3,678700
46755,"Eastmoor",1925,3130,4,428700
47667,"Riverside",1962,2318,4,584700
51109,"Riverside",1932,1280,1,796200
13498,"Riverside",1985,1216,3,862400
92360,"Riverside",1936,2627,4,540400
33611,"The Flats",1948,1158,2,789500
38277,"Eastmoor",1947,3300,5,478400
29351,"Old Town",2001,3281,4,474500
29071,"Old Town",1928,1634,3,710200
51210,"Old Town",2020,3825,4,331900
38294,"Old Town",1925,2867,5,591100
78090,"Old Town",1953,1282,2,825400
71422,"Riverside",1939,3294,4,487700
88390,"Hillcrest",1967,814,3,893300
96557,"The Flats",1926,1543,2,703500
63989,"Old Town",2015,3373,4,436000
59204,"Old Town",1931,3175,4,479100
81954,"Hillcrest",1966,3189,5,522000
10503,"The Flats",1993,1165,2,779500
22660,"Eastmoor",1984,2977,5,478300
17020,"The Flats",2014,2062,4,637700
32362,"Eastmoor",1966,1648,2,753600
36183,"Riverside",1994,1660,2,747600
72612,"The Flats",1995,3287,5,468200
20015,"Riverside",1962,2589,3,556100
77471,"Old Town",1986,3252,3,470600
28123,"The Flats",2004,769,3,860200
84656,"Riverside",1949,863,1,840000
94880,"The Flats",1992,2519,5,466900
72782,"The Flats",1989,3243,4,417000
42209,"Eastmoor",2015,765,2,954100
14445,"Hillcrest",1995,1231,2,771600
88473,"Eastmoor",1978,1359,3,733300
99652,"Riverside",1952,3281,4,520100
64116,"Old Town",2009,2594,3,566900
32543,"The Flats",1938,1014,1,822900
31746,"Hillcrest",1950,839,1,879200
33763,"Hillcrest",1947,3507,4,351200
12842,"Eastmoor",1938,1793,3,708800
55790,"Eastmoor",1969,3066,4,586600
77068,"Eastmoor",1960,2563,3,586100
38642,"Eastmoor",2000,1710,2,625600
37043,"Eastmoor",1971,1351,2,779700
39643,"Hillcrest",2014,2456,3,653000
36790,"Old Town",1975,2347,4,689900
50084,"Eastmoor",1950,1776,3,758600
31633,"Riverside",1988,2289,3,671700
61182,"Hillcrest",1978,2299,3,662300
45557,"Eastmoor",2004,1797,2,681400
97600,"Hillcrest",1941,3783,5,355200
58982,"Old Town",2007,3731,6,362000
60272,"Riverside",2001,2500,4,582200
77731,"Hillcrest",1990,2126,3,617200
79434,"The Flats",1982,1064,3,832500
84694,"Riverside",1991,1111,2,761300
86417,"Hillcrest",1978,1598,3,665100
79506,"Hillcrest",2018,1812,3,708900
64935,"Hillcrest",2012,3321,4,473400
56002,"Hillcrest",1972,2233,2,662200
20474,"The Flats",1969,3187,4,499800
27123,"Old Town",2017,1647,3,611700
52937,"Old Town",2011,3829,5,375100
82713,"Eastmoor",1974,2833,3,485300
33859,"Eastmoor",2006,2119,3,740100
13391,"Hillcrest",1944,1696,2,638900
22226,"Riverside",1965,3649,4,458500
20906,"The Flats",1990,3483,4,452400
63851,"The Flats",1979,1784,4,683200
39276,"Riverside",1971,1447,3,737600
54278,"Riverside",1969,1951,3,704400
65362,"Eastmoor",1928,1596,1,684100
19908,"Riverside",1972,2675,3,559700
58342,"The Flats",1993,2226,4,582800
18886,"Eastmoor",1969,2110,3,582200
93962,"Eastmoor",1965,3785,6,434300
19301,"Riverside",1988,1612,3,707500
62543,"Old Town",1985,2943,5,605400
13612,"Riverside",2019,2903,4,527500
34797,"Eastmoor",2001,2508,4,626100
81635,"The Flats",1957,3197,4,534900
23847,"The Flats",1988,1390,2,797500
99935,"The Flats",1928,2688,4,573000
10879,"The Flats",2002,3628,5,347300
86499,"Eastmoor",1943,3277,5,510200
98977,"Riverside",2021,1182,2,775200
96566,"Eastmoor",1970,2750,4,513600
40898,"Riverside",1951,1857,3,650900
78157,"Old Town",1952,1182,2,780000
89604,"Hillcrest",1965,1069,3,747700
65492,"Old Town",2001,1476,2,721000
35551,"Eastmoor",1999,2898,4,540100
79163,"Riverside",2002,3322,4,490500
35054,"Hillcrest",2008,3246,4,475300
29008,"Hillcrest",1965,1123,2,797300
91025,"Riverside",1990,2917,3,475400
53701,"Eastmoor",1982,1053,2,767600
99963,"Riverside",1927,1295,2,747100
42941,"The Flats",2019,1811,2,652300
95346,"Eastmoor",1981,1235,1,848700
16507,"Hillcrest",2004,3457,6,371000
18691,"Hillcrest",2018,1506,2,715300
59247,"Old Town",1947,3079,4,536200
79406,"Riverside",2000,3222,4,408200
53852,"Riverside",2006,3029,4,361300
19572,"The Flats",1994,2233,4,580100
43292,"Old Town",2000,2063,3,690500
76404,"Eastmoor",1947,3487,6,332500
14890,"Eastmoor",1956,911,3,855300
19627,"Hillcrest",1941,2810,5,512900
32745,"Riverside",1930,3074,5,553400
86907,"Old Town",1955,2956,4,545600
32800,"Old Town",1959,1788,3,716800
78795,"Old Town",1955,3683,5,428900
76806,"Riverside",1943,2706,4,548800
51233,"The Flats",1942,1582,3,787400
