"member_id","tier","join_date","visits_per_month"
"M22616","basic",2023-03-13,3.6
"M55331","plus",1970-01-01,2.5
"M87955","basic",2025-02-13,7
"M60483","plus",2025-06-01,4.5
"M38205","plus",2023-11-04,4.8
"M36962","family",2024-07-10,3.7
"M33700","plus",2024-10-23,6.7
"M46020","basic",2023-01-31,1.1
"M76761","plus",1970-01-01,8.1
"M38345","plus",2024-08-18,8.4
"M54437","basic",2022-07-02,6.2
"M73611","family",2024-03-01,3.3
"M79341","basic",2023-09-21,3.3
"M54562","family",2023-09-20,6.1
"M89084","basic",2022-12-22,4
"M11238","basic",2025-05-27,8
"M82096","plus",2022-12-25,5.1
"M37130","plus",2025-06-06,6.3
"M30267","family",2024-01-25,5.6
"M86026","family",2023-05-06,4.4
"M86540","basic",2022-06-23,3.9
"M72559","family",2022-12-06,5.4
"M99935","plus",2022-08-25,2.9
"M84975","family",2022-10-04,4.6
"M40868","family",2024-09-29,7
"M93542","family",2023-02-26,3.7
"M62233","basic",2024-02-29,4.4
"M18901","family",2023-04-21,6
"M43747","family",2022-12-08,8.2
"M68090","family",2024-10-24,8.4
"M16233","plus",2025-07-02,5.8
"M47298","plus",2022-09-05,2.6
"M96722","family",2023-08-20,4.5
"M41764","plus",2025-02-23,9.3
"M19053","plus",2023-04-21,6.7
"M35560","plus",2023-12-01,7.4
"M95308","basic",2023-03-24,3.5
"M39934","family",2023-10-02,5
"M72135","family",2025-07-21,8.7
"M50953","basic",2024-09-17,5.2
"M48564","family",2025-01-27,7.6
"M12768","basic",2024-08-12,4.8
"M46940","family",2023-07-17,6
"M67997","basic",2025-05-22,8
"M92602","plus",2022-12-08,4
"M81075","plus",2024-06-01,2.4
"M48533","family",2024-11-16,5.3
"M35014","family",2025-08-13,7.1
"M37801","basic",2024-12-14,7.6
"M92644","family",2025-03-13,5
"M64108","basic",2024-07-25,8.3
"M79947","plus",2024-05-09,7
"M78877","basic",2024-03-16,5.7
"M22260","family",1970-01-01,8.4
"M84737","family",2023-03-18,4.8
"M90707","basic",2024-01-09,4.9
"M36563","plus",2023-07-12,5.6
"M79865","family",2025-04-27,5.1
"M98910","basic",2025-08-16,8.3
"M26342","plus",2024-04-07,5.9
"M12289","family",2025-07-27,5.9
"M47896","plus",2024-12-24,8.2
"M77989","plus",2023-11-08,3.7
"M26883","family",2023-09-26,7.8
"M93652","family",2022-08-24,0.5
"M86518","basic",2025-04-19,6.7
"M22430","plus",2023-08-08,6.2
"M93034","plus",2025-06-23,6.9
"M27262","plus",2025-01-13,8.9
"M59369","plus",2022-09-04,2.7
"M59761","plus",2024-06-27,7.3
"M32792","plus",2022-06-29,3
"M13074","family",2024-10-24,7.2
"M67848","family",2025-05-08,7.8
"M47524","family",2025-02-20,8.2
"M49265","family",2024-06-05,2.7
"M24178","family",2022-08-29,4.3
