"station","day","flow_m3h"
"inlet",60.8,53.07
"outlet",71,65.02
"outlet",69.3,61.14
"outlet",8.9,58.27
"outlet",8.9,54.18
"inlet",74.4,58.53
"inlet",49,36.05
"outlet",3.5,49.71
"outlet",19.7,57.12
"outlet",20.4,51.49
"inlet",84.6,52.28
"outlet",4.6,53.67
"outlet",22.4,52.82
"outlet",43,33.31
"inlet",26.5,46.34
"inlet",70.8,65.53
"inlet",56.9,51.98
"inlet",7.4,50.3
"inlet",74.6,61.01
"inlet",56.1,46.72
"inlet",66.1,67.02
"outlet",22.6,57.83
"inlet",17.6,55.56
"inlet",8.6,56.88
"inlet",72.4,51.37
"outlet",84.9,54.36
"inlet",55.6,42.27
"inlet",39.4,31.11
"inlet",74.1,65.08
"outlet",75.7,64.41
"outlet",3.8,50.05
"outlet",7,56.19
"outlet",48.6,34.97
"outlet",21,57.27
"inlet",22.2,55.01
"outlet",18.9,59.62
"inlet",34.1,34.02
"inlet",19.1,51.61
"inlet",16.9,58.95
"inlet",66.7,61.95
"outlet",37.6,51.37
"outlet",64.3,60.53
"outlet",77.7,63.51
"inlet",30.5,41.18
"inlet",16.8,57.49
"outlet",62.5,51.37
"outlet",65,56.59
"outlet",61.4,57.67
"outlet",22,56.01
"inlet",79.2,51.37
"inlet",84.8,49.13
"inlet",70.2,51.37
"outlet",50.7,34.47
"inlet",72.1,62.52
"inlet",66.2,59.74
"outlet",6.4,55.57
"inlet",35.7,31.56
"outlet",29.1,42.89
"outlet",17.1,52.38
"outlet",67.4,51.37
"outlet",59.6,51.37
"inlet",89.5,44.48
"inlet",42.2,30.94
"outlet",25.7,45.94
"inlet",38.5,51.37
"outlet",79.2,53
"outlet",69.4,64.64
"outlet",46.8,30.06
"inlet",84.1,53.14
"inlet",41.8,28.33
"inlet",48.3,37.04
"inlet",58.3,47.99
"outlet",70.7,61.52
"inlet",68.3,58.59
"outlet",53.4,40.72
"inlet",48.8,35.34
"inlet",78.1,55.98
"outlet",61.8,56.31
"inlet",6.3,48.41
"outlet",52.5,37.69
"inlet",26.2,44.82
"inlet",25.2,54.48
"inlet",37.3,51.37
"inlet",22.7,49.25
"inlet",57.7,47.69
"inlet",9.5,62.15
"outlet",39.8,51.37
"outlet",75.3,61.03
"inlet",79.7,57.78
"inlet",38.9,37.75
"inlet",48.2,36.68
"outlet",70.7,63.83
"inlet",46,31.46
"inlet",31.7,41.52
"inlet",47.9,36.57
"inlet",65.6,57.48
"inlet",1.7,46.25
"outlet",32.4,37.6
"outlet",41.1,28.05
"inlet",34.2,51.37
"inlet",71,63.63
"inlet",34.1,33.74
"inlet",89.9,40.61
"inlet",53.2,51.37
"outlet",43.9,30.06
"inlet",73.9,64.94
"outlet",66.6,61.94
"outlet",36.9,33.71
"inlet",49.6,51.37
"outlet",40.9,32.23
"outlet",48.9,51.37
"inlet",45.3,37.05
"inlet",18.8,51.07
"outlet",45.6,32.06
"inlet",14.5,49.32
"inlet",52.9,43.61
"inlet",7.7,45.95
"inlet",58.8,55.86
"outlet",45.3,38.86
"outlet",80.5,54.87
"outlet",22.6,56.84
"outlet",68.6,61.36
"inlet",65.9,54
"outlet",44.7,36.91
"inlet",4.1,48.96
"inlet",56.7,50.94
"outlet",73.5,62.62
"outlet",13.1,55.64
"inlet",41.9,31.67
"outlet",64.3,51.37
"outlet",70.2,62.17
"inlet",54.7,51.37
"outlet",6.4,48.18
"outlet",40.7,32.74
"outlet",57,51.37
"inlet",66.3,60.5
"outlet",61.3,53.74
"outlet",29,42.79
"outlet",42.4,34.83
"outlet",13.8,60.14
"outlet",88.7,39.68
"inlet",22.4,49.07
"inlet",24.6,54.08
"inlet",62.4,51.37
"inlet",31.6,34.28
"inlet",66.6,56.57
"outlet",11.5,52.09
"outlet",88.8,43.36
"outlet",37.7,32.73
"inlet",11.3,56.68
"outlet",39.6,38.15
"inlet",45.1,34.84
"outlet",60.9,56.67
"outlet",62.7,55.16
"outlet",76.5,56.68
"inlet",24.4,46.7
"inlet",6.2,47.82
"outlet",68.7,51.37
"inlet",13.3,59.88
"outlet",85.2,50.87
"inlet",25.4,45.76
"outlet",34.1,38.37
"inlet",70.2,61.22
"outlet",20.3,54.58
"outlet",27.1,48.21
"outlet",40.8,35.96
"outlet",71.2,66.26
"outlet",34.5,35.87
"outlet",56.7,44.26
"outlet",58.6,51.19
"inlet",81.9,56.28
"inlet",4.6,52.84
"outlet",15.3,59.84
"outlet",23.7,53.09
"outlet",66.1,51.37
"outlet",67.4,55.48
"inlet",34.2,51.37
"outlet",17.4,57.49
"inlet",32.7,37.23
"outlet",77.3,66.06
"outlet",87.8,49.54
"inlet",58.4,44.37
"inlet",60.6,51.37
"inlet",53.4,43.08
"inlet",86.5,47.28
"inlet",58.5,48.11
"inlet",19,58.44
"inlet",42.5,29.67
"inlet",57.8,50.87
"outlet",9.9,57.11
"outlet",88,41.13
"inlet",32.4,35
"inlet",80.3,60.39
"inlet",56.7,47.23
"inlet",83.4,46.58
"outlet",38.8,33.93
"inlet",37.8,51.37
"inlet",66.9,51.37
"inlet",83.3,46.37
"inlet",71.1,59.76
"outlet",87.2,41.16
"outlet",84.5,54.82
"inlet",65,61.73
"inlet",44.4,51.37
"outlet",67.4,60.89
"inlet",85,49.81
"inlet",86.3,48.91
"outlet",44.1,51.37
"inlet",6.5,49.14
"outlet",50.9,31.78
"outlet",31.6,51.37
"outlet",25.3,51.37
"outlet",44.5,37.33
"outlet",8.3,58.96
"inlet",88,44.35
"outlet",36.2,51.37
"outlet",73,51.37
"inlet",60.5,49.49
"outlet",18.2,55.01
"outlet",41.8,35.49
"outlet",71.4,61.63
"inlet",77.7,58.48
"inlet",51.4,43.19
"outlet",69.2,62.01
"inlet",88,45.53
"inlet",47.4,42.63
"outlet",68.5,62.3
"inlet",53.7,42.67
"outlet",61.7,53.62
"outlet",42.7,37.08
