"meter_group","day","minute_of_day","demand_kw"
"residential","2026-06-04",47.8,2.092
"mixed","2026-06-03",742.1,2.747
"mixed","2026-06-04",412.4,2.939
"residential","2026-06-02",179.7,2.134
"residential","2026-06-02",1342.4,2.428
"mixed","2026-06-04",150.5,1.736
"mixed","2026-06-04",826.2,2.727
"residential","2026-06-03",749.1,2.739
"mixed","2026-06-03",503.3,3.883
"mixed","2026-06-03",501.4,3.473
"mixed","2026-06-03",942.2,3.051
"mixed","2026-06-02",448.4,3.839
"residential","2026-06-03",1294.8,3.062
"residential","2026-06-02",47.5,2.54
"mixed","2026-06-04",539,3.896
"residential","2026-06-04",1288.2,2.981
"residential","2026-06-02",205,2.484
"residential","2026-06-03",685.4,3.163
"mixed","2026-06-02",875.6,2.74
"mixed","2026-06-02",755.8,2.298
"residential","2026-06-03",299,2.509
"mixed","2026-06-04",878.6,2.623
"mixed","2026-06-03",1299.2,2.037
"residential","2026-06-03",97.8,1.861
"residential","2026-06-04",113.3,1.985
"residential","2026-06-04",866,2.634
"mixed","2026-06-04",288.5,2.637
"residential","2026-06-04",468.1,3.295
"mixed","2026-06-03",174.5,1.773
"mixed","2026-06-04",924.6,2.818
"residential","2026-06-04",1414,2.55
"residential","2026-06-03",119.6,2.65
"residential","2026-06-03",321.2,1.823
"residential","2026-06-02",512.2,3.191
"mixed","2026-06-02",646.8,2.831
"residential","2026-06-03",263.4,2.567
"mixed","2026-06-04",1064.6,3.986
"mixed","2026-06-04",279.4,2.05
"mixed","2026-06-03",1060.5,4.064
"residential","2026-06-02",1117.4,3.594
"residential","2026-06-04",592.8,3.293
"mixed","2026-06-03",839.5,2.197
"mixed","2026-06-04",465.8,3.439
"mixed","2026-06-03",641.3,2.855
"residential","2026-06-02",287.6,2.733
"mixed","2026-06-04",834.8,2.248
"mixed","2026-06-02",1054.5,4.005
"residential","2026-06-02",1426.8,1.892
"residential","2026-06-03",467.9,3.704
"mixed","2026-06-04",1134.6,3.744
"mixed","2026-06-04",647.5,2.749
"mixed","2026-06-04",1432.7,2.352
"mixed","2026-06-04",801.6,2.028
"mixed","2026-06-04",986.5,3.265
"residential","2026-06-04",533.7,3.317
"mixed","2026-06-04",334.1,2.174
"mixed","2026-06-04",471.1,3.677
"mixed","2026-06-03",223.9,2.492
"mixed","2026-06-03",1113.3,4.027
"mixed","2026-06-03",171.4,1.821
"residential","2026-06-03",571.2,3.376
"residential","2026-06-04",632.7,2.915
"residential","2026-06-04",407.4,2.935
"residential","2026-06-02",207.2,2.306
"mixed","2026-06-02",55.5,1.94
"mixed","2026-06-04",1243.6,2.772
"residential","2026-06-04",525.5,3.77
"residential","2026-06-02",705.4,2.522
"residential","2026-06-03",1257.8,2.908
"mixed","2026-06-03",32.2,2.439
"residential","2026-06-04",882.4,2.457
"mixed","2026-06-04",920.4,3.036
"residential","2026-06-03",299.8,2.858
"residential","2026-06-03",24.9,2.533
"residential","2026-06-03",1016.4,3.508
"mixed","2026-06-02",1177.5,3.215
"mixed","2026-06-03",932,3.13
"residential","2026-06-04",641.3,2.87
"residential","2026-06-02",752.4,2.027
"residential","2026-06-02",898.7,2.038
"mixed","2026-06-03",748.1,2.21
"mixed","2026-06-02",767.1,2.451
"residential","2026-06-04",752.4,1.969
"residential","2026-06-02",56.1,2.464
"mixed","2026-06-02",1233.5,3.525
"residential","2026-06-03",33.9,2.501
"mixed","2026-06-02",90.2,2.239
"residential","2026-06-04",322.1,2.183
"mixed","2026-06-03",401.5,2.735
