"block","variety","soil_ph","tree_age_yrs","yield_kg"
"B7","gala",6.9,24.9,82.9
"B6","honeycrisp",7.1,9.5,57.7
"B8","fuji",6.3,28.1,107.2
"B5","gala",6.9,18.4,108
"B5","gala",6.3,18.6,64.5
"B6","fuji",7.1,25.9,84
"B2","fuji",7.2,25.2,96.5
"B6","fuji",6.5,29.1,92.6
"B2","gala",6.5,11.5,93
"B5","gala",6.2,36.5,98.6
"B7","honeycrisp",5.6,10.5,99.1
"B5","honeycrisp",6.4,34.6,96.4
"B2","honeycrisp",6.9,30,97.1
"B2","fuji",5.8,6.1,19.9
"B6","gala",6.3,23.8,70.6
"B2","gala",5.9,23.6,51.8
"B8","honeycrisp",7.1,20,107.1
"B1","honeycrisp",6.9,31.9,92.7
"B5","fuji",5.6,2.2,17.1
"B1","honeycrisp",7.3,11.2,108.1
"B4","gala",6.5,9.8,44.7
"B6","braeburn",5.8,16.2,73.3
"B7","gala",6,6.7,35.5
"B5","fuji",7.3,9,35
"B8","gala",5.5,13.2,88.7
"B8","honeycrisp",5.9,15.3,111.3
"B3","honeycrisp",5.9,28.9,86.7
"B8","gala",6.6,23.1,83.2
"B8","gala",6.9,9.6,23
"B2","gala",6.2,15.5,86.1
"B5","braeburn",5.6,30.9,95.5
"B4","honeycrisp",5.6,9.9,47.9
"B5","honeycrisp",7.2,12.5,108.2
"B1","gala",7.1,39,79.2
"B1","honeycrisp",6,19.3,108
"B7","braeburn",6.9,27.2,85.4
"B1","honeycrisp",6.3,18.6,73.3
"B2","honeycrisp",5.6,2.2,11.2
"B3","braeburn",6.9,35.7,93.2
"B2","honeycrisp",7.2,17.2,90.8
"B3","fuji",6.6,15.8,50.4
"B6","braeburn",6.2,27.2,85.7
"B8","honeycrisp",5.9,12.6,51.5
"B5","gala",6,4.1,23.1
"B8","honeycrisp",7,11.5,55.2
"B6","braeburn",6.6,14.9,64.7
"B3","fuji",6.8,5,31.5
"B6","fuji",6.6,32.6,93.7
"B4","honeycrisp",5.5,36.8,99.3
"B3","honeycrisp",6.6,8.7,104.7
"B6","gala",5.7,9.6,107.5
"B4","braeburn",5.5,22.6,86.7
"B1","honeycrisp",6,13.9,124.4
"B7","gala",7.3,32.3,86.2
"B2","fuji",5.9,33.3,101.2
"B6","gala",7,23.3,74.2
"B1","gala",5.4,7.6,23.5
"B6","fuji",7.2,25.7,73.2
"B8","gala",7.1,14.5,120.3
"B4","honeycrisp",5.8,10.5,83.8
"B4","honeycrisp",5.9,23.2,77.7
"B5","gala",7.1,19,68.3
"B4","honeycrisp",6.8,25.5,89.6
"B6","gala",6.4,8,107.7
"B5","gala",5.9,39.1,107.7
"B3","braeburn",6.9,4.4,38.2
"B5","honeycrisp",6.8,34.8,93.5
"B4","fuji",5.5,27.6,87.1
"B2","braeburn",5.6,2.9,23.2
"B6","honeycrisp",6.6,10.3,52
"B8","honeycrisp",7.2,26.8,83
"B3","honeycrisp",6.4,14.9,88.5
"B7","honeycrisp",6.8,4.3,28.1
"B5","honeycrisp",6.4,2.6,12.3
"B6","honeycrisp",7,19.5,73.9
"B7","gala",6.7,30.9,95.4
"B7","gala",6.3,19.4,63.5
"B2","gala",6.1,9.3,56.8
"B7","gala",6.8,24,73.3
"B7","honeycrisp",6.9,4.7,37.8
"B8","honeycrisp",6.3,13.4,117.6
"B1","honeycrisp",7.1,38,104.1
"B3","fuji",5.7,21.2,84.5
"B7","fuji",7.3,39.8,92.6
"B2","honeycrisp",7,19.6,77.8
"B4","gala",6.6,16.7,64.9
"B3","fuji",5.4,29.1,104.1
"B1","fuji",5.7,31.6,59.4
"B1","honeycrisp",6,11.4,96.9
"B5","fuji",5.6,28.8,85
"B6","gala",7.1,9.8,63.1
"B3","honeycrisp",6.1,12,43.8
"B8","braeburn",6.1,29.1,100
"B2","fuji",6.2,27.5,76.3
"B6","gala",6.8,4.6,22.8
"B3","honeycrisp",6.3,8.5,36.3
"B6","braeburn",5.5,26,82.8
"B3","fuji",6.2,28.1,93.4
"B5","braeburn",7.2,17.1,66.9
"B4","gala",5.6,13.6,120.6
"B2","honeycrisp",5.5,11,82.4
"B3","fuji",6.3,6.3,38.2
"B3","fuji",6.5,24.6,86.9
"B1","fuji",6.5,11.9,57.9
"B1","fuji",5.9,24.9,87.7
"B4","fuji",6.5,27.7,87.5
"B4","gala",5.8,36.5,83.9
"B7","gala",6.1,16.7,52.6
"B6","gala",7.1,10.9,86.1
"B2","fuji",7,15.9,78.4
"B3","gala",5.9,34,102.6
"B1","gala",6.5,6.5,24.3
"B6","fuji",6.8,35.8,108
"B5","fuji",5.8,15.6,45.5
"B3","gala",5.5,10.6,48.2
"B2","braeburn",5.4,11.3,51.7
"B6","fuji",5.9,4.8,16.8
"B6","gala",6.1,16.1,52.3
"B3","gala",5.5,24.8,80.1
"B6","gala",6.2,27.9,76.2
"B7","fuji",7,33.9,97.3
"B4","braeburn",5.5,38.7,94.8
"B4","gala",6.2,10.4,79.9
"B5","gala",6.1,7.4,41.5
"B1","gala",6.4,4.8,31.9
"B7","honeycrisp",6.8,25.9,81
"B6","fuji",6.3,5.4,20.8
"B8","gala",7.2,15.2,54.2
"B4","gala",6.6,16.4,96.9
"B3","honeycrisp",6.3,9.2,33
"B3","fuji",6.6,34.2,88.3
"B3","fuji",6.8,31.7,78.6
"B6","gala",6.7,8.7,35.3
"B2","honeycrisp",6.1,38.1,97.2
