"sales_date","outlet","transactions","daily_sales_usd"
2025-09-01,"Maple St",98,2583.7
2025-09-01,"Riverside",125,3434.04
2025-09-01,"Hilltop",135,4559.35
2025-09-01,"Old Town",113,3393.88
2025-09-01,"Eastgate",105,2589.41
2025-09-01,"Crestview",86,5004.54
2025-09-01,"Parkway",117,3755.52
2025-09-01,"Lakeview",115,4047.16
2025-09-02,"Maple St",94,2197.4
2025-09-02,"Riverside",126,2886.49
2025-09-02,"Hilltop",125,5055.13
2025-09-02,"Old Town",136,4429.47
2025-09-02,"Eastgate",114,2712.86
2025-09-02,"Crestview",100,4047.16
2025-09-02,"Parkway",139,4624.05
2025-09-02,"Lakeview",122,4591.24
2025-09-03,"Maple St",79,3179.41
2025-09-03,"Riverside",114,3713.58
2025-09-03,"Hilltop",118,4016.53
2025-09-03,"Old Town",108,3378.67
2025-09-03,"Eastgate",100,3074.79
2025-09-03,"Crestview",104,4591.24
2025-09-03,"Parkway",164,3910.49
2025-09-03,"Lakeview",138,4616.13
2025-09-04,"Maple St",96,2963.58
2025-09-04,"Riverside",112,3488.3
2025-09-04,"Hilltop",121,4272.37
2025-09-04,"Old Town",106,3112.02
2025-09-04,"Eastgate",99,3226.62
2025-09-04,"Crestview",109,4616.13
2025-09-04,"Parkway",132,3799.05
2025-09-04,"Lakeview",124,4271.57
2025-09-05,"Maple St",76,3179
2025-09-05,"Riverside",111,4917.13
2025-09-05,"Hilltop",138,2790.18
2025-09-05,"Old Town",110,3777.65
2025-09-05,"Eastgate",89,3469.62
2025-09-05,"Crestview",106,4271.57
2025-09-05,"Parkway",130,4494.51
2025-09-05,"Lakeview",112,3403.03
2025-09-06,"Maple St",77,2732.7
2025-09-06,"Riverside",108,4725.33
2025-09-06,"Hilltop",130,3874
2025-09-06,"Old Town",136,4026.72
2025-09-06,"Eastgate",87,2991.85
2025-09-06,"Crestview",126,3403.03
2025-09-06,"Parkway",134,4394.14
2025-09-06,"Lakeview",119,3834.89
2025-09-07,"Maple St",91,2455.08
2025-09-07,"Riverside",124,4033.19
2025-09-07,"Hilltop",136,5420.09
2025-09-07,"Old Town",110,3510.32
2025-09-07,"Eastgate",101,2756.03
2025-09-07,"Crestview",92,3834.89
2025-09-07,"Parkway",130,2991.44
2025-09-07,"Lakeview",136,4357.01
2025-09-08,"Maple St",79,2543.87
2025-09-08,"Riverside",125,5359.25
2025-09-08,"Hilltop",132,3248.99
2025-09-08,"Old Town",114,5634.65
2025-09-08,"Eastgate",110,3067.46
2025-09-08,"Crestview",110,4357.01
2025-09-08,"Parkway",127,3947.59
2025-09-08,"Lakeview",113,4113.63
2025-09-09,"Maple St",94,3502.57
2025-09-09,"Riverside",126,3980.74
2025-09-09,"Hilltop",149,3306.33
2025-09-09,"Old Town",112,2798.39
2025-09-09,"Eastgate",90,2969.89
2025-09-09,"Crestview",112,4113.63
2025-09-09,"Parkway",136,4144.5
2025-09-09,"Lakeview",130,3898.2
2025-09-10,"Maple St",81,3517.56
2025-09-10,"Riverside",110,2921.07
2025-09-10,"Hilltop",105,3128.9
2025-09-10,"Old Town",105,3166
2025-09-10,"Eastgate",87,2973.67
2025-09-10,"Crestview",100,3898.2
2025-09-10,"Parkway",130,4865.17
2025-09-10,"Lakeview",121,4879.95
2025-09-11,"Maple St",87,2878.94
2025-09-11,"Riverside",115,3166.75
2025-09-11,"Hilltop",125,3166.85
2025-09-11,"Old Town",112,3921.91
2025-09-11,"Eastgate",87,2937.84
2025-09-11,"Crestview",113,4879.95
2025-09-11,"Parkway",137,4513.94
2025-09-11,"Lakeview",127,2719.58
2025-09-12,"Maple St",81,2071.83
2025-09-12,"Riverside",109,3115.55
2025-09-12,"Hilltop",124,4387.24
2025-09-12,"Old Town",128,3607.29
2025-09-12,"Eastgate",98,2336.05
2025-09-12,"Crestview",109,2719.58
2025-09-12,"Parkway",146,4454.17
2025-09-12,"Lakeview",126,3512.38
2025-09-13,"Maple St",88,2764.6
2025-09-13,"Riverside",100,3824.16
2025-09-13,"Hilltop",119,3884.04
2025-09-13,"Old Town",130,3654.51
2025-09-13,"Eastgate",82,3692.35
2025-09-13,"Crestview",115,3512.38
2025-09-13,"Parkway",130,3127
2025-09-13,"Lakeview",142,3880.37
2025-09-14,"Maple St",79,3222.35
2025-09-14,"Riverside",122,3419.79
2025-09-14,"Hilltop",117,3742.28
2025-09-14,"Old Town",117,3189.8
2025-09-14,"Eastgate",96,2816.28
2025-09-14,"Crestview",104,3880.37
2025-09-14,"Parkway",116,3650.84
2025-09-14,"Lakeview",108,3814.64
2025-09-15,"Maple St",76,2918.77
2025-09-15,"Riverside",106,3554.62
2025-09-15,"Hilltop",132,4333.49
2025-09-15,"Old Town",124,3043.53
2025-09-15,"Eastgate",105,3818.67
2025-09-15,"Crestview",99,3814.64
2025-09-15,"Parkway",128,4617.48
2025-09-15,"Lakeview",115,4823.94
