"pond","fed_today","water_temp_c","dissolved_o2_mgl"
"P1","no",14.3,10.46
"P3","yes",12.5,10.89
"P2","no",23.3,9.66
"P1","yes",26.5,8.45
"P3","no",20.9,8.69
"P8","yes",21.5,8.49
"P4","no",29,7.95
"P8","no",27.2,7.33
"P4","yes",18.7,9.51
"P7","yes",21.7,8.99
"P3","no",14.4,10.63
"P8","no",15.2,9.81
"P6","yes",16,9.49
"P2","no",15.3,10.36
"P1","no",16.7,10.93
"P6","yes",18,9.56
"P7","yes",13,11.04
"P3","no",26.2,7.82
"P2","yes",18.4,10.62
"P4","no",19.5,8.26
"P5","yes",28.1,7.79
"P6","no",21.3,7.72
"P2","no",21.6,9.7
"P2","yes",28,7.91
"P4","no",19.7,9.57
"P4","yes",26.8,8.45
"P6","no",16,9.31
"P4","yes",21.8,7.62
"P6","no",13.8,10.99
"P8","yes",29,7.82
"P6","no",24.4,8.45
"P1","yes",12.8,10.52
"P4","no",12.2,10.64
"P1","yes",13.5,9.97
"P2","yes",20.2,9.15
"P5","no",15.2,10.58
"P7","no",24.1,9.2
"P5","yes",21.3,8.7
"P6","yes",22.2,9.94
"P3","yes",19.7,8.73
"P5","yes",17.8,9.81
"P2","yes",26.5,8.45
"P1","no",12.4,10.91
"P2","no",28.1,8.74
"P6","yes",20.1,9.88
"P5","no",26.7,6.52
"P2","yes",13,11.3
"P7","no",14.1,11.07
"P1","yes",15.4,8.87
"P2","yes",14.5,10.68
"P5","no",25.5,8.08
"P6","yes",12.6,10.71
"P2","yes",22.2,9.46
"P1","no",22.1,8.98
"P3","no",19.3,8.45
"P2","no",22.1,7.68
"P7","no",29,7.79
"P4","no",28.1,7.96
"P6","yes",24.8,7.23
"P3","no",16.1,9.22
"P7","yes",12.3,11.01
"P3","no",22.9,9.03
"P2","yes",15.5,9.8
"P1","yes",15.2,9.41
"P7","no",28.3,7.66
"P3","yes",20.8,9.51
"P8","no",14.6,10.89
"P2","yes",21.4,9.25
"P8","yes",20.3,9.77
"P5","no",22,9.13
"P5","yes",21.7,8.2
"P1","no",25.4,8.12
"P3","no",25.4,8.44
"P3","yes",28.3,7.9
"P6","no",21.8,8.55
"P6","no",26.2,6.25
"P3","yes",29.5,6.83
"P7","yes",27.2,8.45
"P8","yes",23.6,9.81
"P3","yes",23.6,8.45
"P4","yes",27.8,6.84
"P1","no",15.9,9.67
"P4","yes",22.5,7.9
"P6","yes",16.9,8.71
"P7","yes",23,9.91
"P2","yes",22.4,9.51
"P4","no",18.5,9.76
"P2","yes",16.6,9.78
"P5","yes",13.7,10.69
"P2","no",28.1,7.84
"P3","no",13.6,10.23
"P3","yes",21.7,8.27
"P2","yes",25.6,8.59
"P4","yes",29.9,5.82
"P2","yes",29,6.65
"P4","yes",21.3,9.36
"P8","yes",26.6,6.64
"P5","yes",25.1,8.16
"P8","yes",23.1,8.68
"P7","yes",16.1,8.83
"P2","no",22.2,9.02
"P2","yes",21.6,8.31
"P5","no",21.3,8.45
"P4","yes",13.2,10.63
"P5","yes",26.7,8.72
"P8","no",14.2,10.18
"P7","no",20.6,8.24
"P5","no",26,6.9
"P1","yes",15.1,10.62
"P6","no",26.4,7.61
"P8","no",15.4,11.33
"P4","no",13.5,10.64
"P7","yes",19.7,8.83
"P8","no",15.4,11.03
"P5","yes",29.1,5.88
"P3","no",21.9,8.33
"P6","no",28.4,7.93
"P8","no",15.3,10.27
"P3","yes",24.8,9.75
"P4","yes",24,8.45
"P7","no",18.1,8.24
"P7","yes",15.2,10.02
"P8","yes",15.1,10.05
"P3","no",20,8.51
"P3","yes",24,8.45
"P3","no",15.3,9.8
"P1","yes",29,6.23
