"region","plan_tier","applicant_age","monthly_premium"
"metro","gold",71,274.01
"rural","bronze",22,108.48
"suburban","gold",60,262.86
"metro","gold",38,153.05
"suburban","silver",39,164.14
"metro","gold",59,254.81
"metro","gold",63,266.39
"rural","silver",65,317.49
"suburban","silver",24,146.64
"suburban","gold",53,222.8
"metro","gold",73,242.33
"metro","bronze",72,266.53
"metro","bronze",73,332.2
"metro","gold",23,178.92
"rural","silver",69,245.3
"rural","silver",74,258.12
"suburban","silver",62,216.81
"suburban","bronze",73,277.67
"metro","gold",68,263.45
"metro","gold",23,122.04
"rural","gold",56,181.58
"rural","silver",33,164.76
"metro","bronze",21,65.4
"rural","gold",31,142.08
"suburban","bronze",37,151.79
"suburban","bronze",48,280.81
"rural","bronze",63,263.55
"metro","bronze",27,141.92
"rural","gold",18,82.58
"suburban","bronze",23,142.27
"rural","gold",38,204.23
"rural","bronze",30,167.2
"metro","silver",71,296.37
"suburban","silver",46,175.08
"metro","silver",66,246.79
"rural","silver",69,242.49
"rural","silver",33,158.58
"suburban","bronze",26,142.5
"metro","silver",30,159.53
"metro","silver",30,151.91
"metro","silver",21,124.6
"metro","silver",28,159.3
"suburban","silver",57,252.88
"rural","bronze",61,234.99
"suburban","silver",25,143.8
"metro","gold",65,300.61
"rural","silver",36,173.04
"suburban","bronze",54,212.47
"rural","silver",53,246.41
"rural","bronze",20,156.72
"suburban","gold",72,281.89
"rural","gold",19,150.59
"rural","silver",66,244.68
"suburban","silver",61,215.91
"suburban","bronze",19,149.93
"suburban","gold",70,235.27
"rural","gold",70,246.13
"metro","bronze",68,218.12
"rural","bronze",31,163.04
"rural","bronze",73,300.8
"rural","silver",63,265.37
"suburban","silver",19,112.08
"suburban","silver",18,159.7
"metro","silver",38,152.03
"suburban","gold",24,129.68
"suburban","gold",56,241.34
"rural","gold",69,233.49
"rural","bronze",61,251.44
"metro","gold",20,161.41
"metro","silver",24,152.82
"rural","gold",69,297.2
"rural","silver",67,268.52
"rural","gold",61,306.26
"rural","gold",67,270.42
"rural","gold",70,268.67
"suburban","gold",60,269.87
"metro","gold",44,149.74
"metro","bronze",69,286.62
"suburban","bronze",35,138.22
"metro","bronze",54,191.45
"metro","gold",69,272.81
"rural","gold",71,239.56
"suburban","bronze",61,313.83
"rural","silver",68,290.67
"rural","gold",41,156.44
"metro","gold",36,134.15
"rural","silver",70,247.87
"rural","silver",73,308.71
"suburban","gold",36,178.09
"rural","gold",55,210.21
"suburban","gold",71,274.87
"metro","silver",52,185.81
"suburban","bronze",34,179.75
"metro","silver",57,233.32
"suburban","silver",54,248.46
"suburban","gold",54,234.3
"rural","bronze",31,141.28
"suburban","bronze",34,128.41
"rural","silver",35,162.13
"suburban","silver",54,272.15
"rural","silver",59,250.22
"suburban","gold",23,97.08
"suburban","bronze",69,274.12
"metro","gold",19,105.62
"metro","silver",35,135.48
"metro","gold",38,214.16
"suburban","silver",21,70.6
"suburban","silver",34,194.06
"suburban","gold",69,247.32
"metro","gold",57,188.47
"metro","silver",48,155.7
"metro","gold",57,241.65
"suburban","bronze",31,134.57
"metro","gold",26,158.82
"rural","silver",56,222.54
"rural","silver",20,126.69
"rural","gold",41,143.74
"suburban","bronze",60,232.1
"rural","silver",24,123.92
"suburban","silver",46,166.37
"rural","gold",60,247.55
"suburban","silver",43,178.73
"suburban","silver",20,107.41
"rural","silver",71,242.33
"metro","silver",58,223.38
"rural","gold",68,258.17
"metro","gold",21,156.59
"metro","bronze",21,137.16
"metro","silver",21,152.84
"suburban","gold",54,177.38
"suburban","gold",67,279.6
"metro","bronze",33,154.84
"metro","silver",19,163.02
"metro","silver",55,237.42
"metro","bronze",67,255.22
"suburban","gold",31,205.7
"metro","gold",74,254
"suburban","bronze",20,105.96
"rural","silver",72,325.57
"suburban","gold",65,257.31
"suburban","bronze",58,218.35
"rural","bronze",27,167.53
"rural","gold",31,189.27
"rural","bronze",22,111.75
"rural","silver",27,203.72
"metro","silver",68,183.97
"metro","bronze",27,153.16
"rural","gold",65,268.75
"metro","silver",27,152.59
"rural","gold",74,246.08
"suburban","silver",72,289.09
"suburban","gold",32,137.84
"suburban","bronze",32,182
"metro","silver",71,281.77
"rural","silver",27,190.7
"suburban","silver",70,259.8
"metro","gold",39,158.16
"rural","bronze",36,222.55
"suburban","bronze",66,274.18
"metro","silver",22,141.46
"metro","silver",34,173.52
"rural","silver",23,171.79
"suburban","silver",21,199.17
"suburban","bronze",23,148.08
"rural","gold",65,257.89
"metro","bronze",20,200.4
"rural","gold",33,168.54
"suburban","gold",73,334.49
"rural","gold",38,206.92
"suburban","bronze",31,178.34
"rural","bronze",22,148.73
"metro","silver",38,191.87
"metro","gold",60,238.69
"metro","bronze",36,189.3
"rural","bronze",46,166.98
"suburban","bronze",55,251.31
"rural","bronze",20,119.65
"rural","gold",27,187.02
"rural","bronze",21,146.04
"suburban","silver",42,176.1
"metro","silver",19,151.74
"suburban","bronze",36,184.96
"metro","bronze",44,144.07
"metro","gold",62,267.14
"rural","bronze",36,226.23
"rural","gold",33,128.3
"metro","gold",66,222.12
