"listing","bedrooms","distance_km","rent_usd"
44501,1,11.71,1891
57864,1,14.49,1757
42788,4,13.08,1784
51208,4,16.77,1447
20861,4,17.28,1395
95751,3,9.6,2120
95953,1,2.68,1650
50611,1,7.29,2288
93009,2,10.15,2447
83273,2,7.33,2467
22929,3,8.02,2363
30398,2,2.56,2622
54567,4,17.49,1665
73475,2,4.62,2784
40967,3,13.04,1560
25382,3,0.68,2934
82334,4,5.33,2276
59582,1,5.09,2555
72095,4,9.41,1993
38511,2,0.39,2694
37265,2,2.94,2772
92925,2,10.66,2104
97076,3,13.58,1806
76894,4,5.29,1823
56648,3,15.79,1719
55022,1,4.42,1479
95707,4,14.84,1914
84146,1,17.81,1637
55005,4,16.29,1549
60881,3,3.44,2592
14290,1,14.22,1643
98746,4,10.34,2154
99081,3,9.17,2285
63091,4,14.65,1755
86880,3,0.46,2834
38049,2,13.66,2498
88103,3,1.25,2986
56376,4,12.53,2019
81591,4,0.93,2878
66733,1,17.39,3075
99460,4,11.57,2128
60994,2,11.42,2071
82123,1,14.77,1552
19346,3,13.09,1745
14002,4,3.33,2471
88388,4,10.39,2066
24319,4,13.51,2519
48522,2,1.08,2727
53741,2,1.49,2812
89244,4,1.7,2689
36366,4,12.75,1968
98018,3,11.82,2141
26909,1,13.42,2311
64705,2,4.02,2475
30336,2,7.1,2202
22302,2,9.32,2094
48434,4,1.96,2470
86394,2,16.12,1607
14098,1,16.12,1629
22518,4,0.56,2896
21524,3,1.2,3080
60509,3,15.3,1692
40394,3,14.38,1759
76860,3,9.85,2153
11383,2,9.87,2158
25860,2,13.14,1852
76691,4,7.73,2302
46363,1,10.94,2040
48932,1,16.94,1553
57525,2,14.8,2692
45260,1,5.27,2648
40084,4,3.03,2700
90430,3,17.99,1727
58333,1,10.25,2184
44603,1,11.05,2059
76173,3,17.19,1447
90876,1,5.93,2299
15986,3,0.84,2689
41960,3,8.29,2178
21396,4,8.55,2267
64960,2,9.94,1918
76713,1,12.99,2533
52704,2,3.24,2417
12087,4,12.24,1974
98555,3,17.27,1568
11745,3,8.51,2284
41057,2,7.89,2352
95447,4,14.69,2730
86762,4,8.55,2173
76237,4,10.16,2067
12910,3,4.92,2553
51360,3,17.47,1281
45716,4,2.88,2626
15357,2,15.09,1720
93195,1,4.12,1843
78996,1,4.55,2736
54389,1,7.03,2530
90107,4,13.5,1788
43308,3,6.22,2382
14760,1,6.51,2267
78578,4,11.01,1762
68539,4,1.24,1403
51201,3,5.62,2598
67832,1,14.31,1770
67709,4,3.11,2820
36925,3,12.06,1847
44180,2,9.7,2104
73656,4,3.7,2145
39479,4,4.31,1693
13085,1,3.4,2761
90187,1,3.11,2451
85408,3,17.98,1553
93327,1,1.36,3069
25998,4,1.81,2587
64459,3,12.15,2184
51599,1,3.66,2759
36513,2,12.9,2221
79732,3,16,1508
91670,1,10.48,2070
88682,2,13.21,1711
28038,2,1.98,2759
69472,3,1.15,2674
74283,1,7.03,2223
23835,4,4.53,2510
89978,3,5.41,2444
19181,2,11.64,1889
16801,2,2.51,2645
34823,3,4.1,2726
55959,4,3.49,2547
87876,3,6.43,2503
68268,3,7.64,2450
37912,3,12.48,1792
55654,3,17.07,1641
53659,3,9.17,2142
24346,4,13.44,1970
84122,3,7.67,2419
15896,4,12.17,1847
40165,1,3.73,2588
68853,1,12.11,1878
19085,2,4.79,2790
58763,4,9.56,2256
88767,1,1.87,2580
79730,1,9.31,2333
12874,1,6.96,2267
70374,1,1.62,2892
55174,1,11.87,1811
57259,3,15.65,2935
46439,1,5.98,2021
40009,3,10.34,1874
79637,2,13.02,1819
81826,1,2.2,2741
53022,1,2.28,2650
50988,4,15.44,2721
74610,3,5.7,2198
63201,1,4.49,2488
48316,1,5.02,2955
80915,2,5.52,2479
43107,4,10.71,2039
93304,3,3.85,2750
14832,3,3.81,2613
69465,2,2.15,2733
94625,3,4.08,2432
11931,2,15.48,1367
80493,3,6.33,2457
18971,2,13.8,1934
38422,4,2.02,2905
98677,4,9.67,2129
83284,3,14.29,2574
50149,1,15.77,1539
12094,4,5.49,2483
27204,3,13.65,1751
45985,2,3.58,2542
35804,1,14.28,1740
54799,3,11.13,2145
68484,1,3.21,2799
56064,3,16.08,1485
14764,1,3.23,2438
27230,2,9.68,2238
69971,1,17.57,1543
36257,4,9.14,2522
16648,2,1.75,2635
69267,2,17.01,1459
73955,3,5.08,2273
91671,3,9.83,2203
29875,1,9.58,2210
65311,3,12.43,2571
21943,4,8.29,2242
13779,2,17.21,1330
28832,2,1.55,2755
60950,2,8.19,2373
