"user_id","platform","signup_month","days_active","sessions"
"U351523","ios","Mar",235,340
"U297549","ios","Feb",130,101
"U810829","ios","Jul",57,4
"U292083","ios","Sep",104,98
"U110192","ios","Sep",26,48
"U871616","ios","Sep",9,1
"U894230","ios","Aug",27,44
"U724330","android","Dec",97,38
"U572346","ios","Oct",6,3
"U198087","ios","Nov",354,220
"U965743","android","Jul",16,2
"U860995","ios","Oct",349,205
"U960727","web","Mar",306,220
"U733854","web","Feb",285,350
"U799881","ios","Apr",94,20
"U701241","ios","Oct",19,1
"U972130","android","Jul",338,194
"U185410","android","Jan",11,1
"U191028","web","Jan",107,61
"U283595","android","Jun",248,131
"U707715","android","Oct",303,219
"U589217","ios","Nov",229,158
"U772101","android","Apr",28,9
"U439901","ios","Mar",34,2
"U274732","android","May",353,211
"U244294","android","Nov",100,100
"U940428","ios","Mar",362,222
"U791425","android","Oct",245,340
"U331417","ios","Aug",86,83
"U659089","ios","Nov",38,9
"U185157","ios","Aug",27,1
"U508395","android","Mar",10,12
"U954140","ios","Jul",39,1
"U855827","ios","Mar",8,1
"U168029","android","Sep",180,150
"U202759","ios","Feb",245,350
"U240503","android","May",88,49
"U863150","ios","Jul",20,12
"U741807","android","Jul",265,330
"U414912","android","Jul",363,225
"U784451","ios","Jan",206,87
"U275790","android","Nov",291,228
"U495170","ios","Feb",294,169
"U304953","android","Dec",172,81
"U427801","web","Jun",5,1
"U725914","ios","Feb",216,111
"U200129","android","Feb",8,37
"U586411","ios","Apr",278,169
"U409853","ios","Jul",95,42
"U224410","ios","Feb",334,230
"U958629","android","Sep",121,110
"U644523","web","May",285,167
"U604462","android","Oct",76,47
"U479004","android","Mar",235,360
"U389154","ios","Jul",253,199
"U883357","web","Aug",235,330
"U697913","ios","Jul",73,28
"U442462","ios","Jun",285,320
"U359753","ios","Apr",209,83
"U973102","web","May",238,137
"U702195","ios","Nov",265,360
"U764677","android","Dec",337,211
"U517976","android","Sep",171,134
"U334213","web","Aug",125,81
"U657675","android","Aug",135,122
"U587635","web","Jun",266,200
"U419538","ios","Nov",114,100
"U975123","web","Jun",112,22
"U996699","android","Sep",22,1
"U118244","ios","Nov",129,96
"U757557","android","Sep",307,188
"U927464","web","Jun",335,249
"U324666","android","Apr",10,1
"U664013","ios","Jul",185,117
"U493695","ios","Oct",275,320
"U504156","android","Jun",157,120
"U987644","android","Sep",217,133
"U464134","ios","Jul",231,152
"U953214","android","Jul",42,1
"U481286","ios","Dec",245,310
"U797614","web","Dec",270,111
"U255668","ios","Sep",11,1
"U244377","android","May",191,100
"U252460","ios","Jun",46,6
"U280704","android","Nov",245,320
"U620350","web","Dec",16,45
"U989986","android","Mar",5,37
"U562270","android","Dec",235,150
"U148863","ios","Sep",229,140
"U365443","android","Dec",273,122
"U848694","ios","Sep",12,1
"U585880","android","Sep",166,140
"U696499","ios","Nov",235,158
"U141170","android","Apr",84,14
"U279762","ios","Nov",276,174
"U371627","web","Sep",56,45
"U940191","ios","Feb",364,189
"U662447","android","Mar",107,90
"U971355","android","Feb",80,33
"U748661","web","Feb",237,150
"U276624","ios","Oct",194,116
"U817662","web","Apr",263,143
"U532517","web","Sep",213,149
"U103241","android","Feb",323,260
"U205582","android","Jun",67,98
"U779644","ios","Jul",12,5
"U421594","ios","Apr",209,135
"U246183","ios","Oct",133,99
"U476766","web","May",290,181
"U277639","ios","Mar",243,203
"U833937","ios","Oct",228,173
"U332826","ios","Dec",79,57
"U465805","web","Jul",295,184
"U399295","web","Mar",88,1
"U130159","web","Jul",118,58
"U816992","android","May",7,1
"U457615","ios","Jan",12,17
"U652101","ios","Sep",275,340
"U158959","ios","Nov",304,221
"U891077","ios","Dec",347,206
"U253395","android","Sep",318,98
"U510168","web","Aug",59,1
"U744700","android","Aug",262,149
"U102249","ios","Feb",247,149
"U887517","android","Jan",50,60
"U266836","android","Jun",165,75
"U598871","ios","Dec",124,117
"U900665","ios","Jun",273,199
"U462125","ios","Jul",285,360
"U350343","ios","Jul",255,310
"U170008","ios","Dec",124,46
"U394636","ios","Jan",14,13
"U584756","ios","Jul",275,350
"U178041","web","Aug",64,52
"U196078","ios","May",23,1
"U440016","android","May",283,144
"U416547","android","Feb",205,73
"U299262","web","Aug",43,17
"U853898","ios","Jan",255,350
"U806207","android","Jun",247,161
"U564047","android","Apr",110,28
"U847320","web","Feb",248,135
"U416270","ios","Aug",26,1
"U965078","ios","Nov",316,205
"U735675","ios","Oct",216,164
"U516661","ios","Aug",52,40
"U460062","ios","May",103,68
"U449809","android","Oct",149,134
"U327780","ios","Apr",133,40
"U522596","web","Jun",321,156
"U562918","ios","Apr",20,1
"U653852","ios","Mar",304,229
"U765364","web","Jun",45,32
"U469483","android","Mar",255,320
"U231288","android","Dec",346,256
"U247931","android","Mar",340,202
"U974494","web","Mar",145,62
"U246244","ios","Dec",116,45
"U289401","ios","Dec",34,92
"U423829","ios","Nov",45,47
"U378009","android","Dec",66,56
"U485033","android","Aug",57,21
"U643926","ios","Aug",283,111
"U355195","android","Feb",265,320
"U105545","ios","Feb",203,121
"U378790","ios","Sep",245,360
"U242936","web","Feb",168,68
"U306958","android","Feb",244,169
"U785508","ios","Jan",265,310
"U311605","android","Sep",341,248
"U953915","ios","Aug",176,104
"U563440","ios","Apr",25,4
"U336259","ios","Aug",68,17
"U655845","web","Dec",345,174
"U773978","web","Mar",321,254
"U350648","android","Mar",110,21
"U839948","android","Nov",139,129
"U826515","web","Feb",61,23
"U133663","android","May",1,1
"U537950","android","Oct",101,78
"U376836","web","Aug",294,141
"U680744","web","Jan",265,340
"U425143","web","Jun",353,224
"U565814","ios","Jul",32,56
"U238134","android","Feb",290,86
"U168934","android","Jul",51,22
"U615390","web","Feb",50,1
"U481160","android","Aug",158,73
"U538818","ios","Apr",317,202
"U548347","web","Nov",263,127
"U282327","web","Feb",346,221
"U962475","ios","Apr",335,172
"U631018","web","Sep",108,118
"U565306","android","Jun",255,330
"U272065","ios","Mar",52,59
"U235204","android","Sep",339,177
"U358919","web","Dec",93,39
"U429606","ios","Aug",52,57
"U558842","android","Nov",9,1
"U430069","web","Aug",23,1
"U652285","ios","Mar",265,350
"U566283","web","Dec",118,78
"U260824","web","Dec",285,330
"U820730","ios","Sep",300,157
"U834335","ios","Jun",121,142
"U690959","android","Feb",35,17
"U767316","web","Sep",307,183
"U766397","android","Aug",242,95
"U437382","android","Nov",203,132
"U509457","ios","Sep",228,100
"U405784","android","Oct",206,79
"U421246","ios","Dec",135,109
"U862795","ios","Jan",17,1
"U898121","ios","Dec",314,203
"U723677","android","Jul",285,310
"U181971","android","Jul",235,320
"U848249","android","Jun",235,310
"U941704","android","Nov",260,150
"U732197","android","Mar",19,1
"U579897","ios","Mar",211,158
"U810726","ios","Apr",3,20
"U103888","android","Aug",298,146
"U856196","ios","Jun",107,71
"U502625","ios","Apr",343,207
"U953852","ios","Jan",349,212
"U290466","web","Nov",235,191
"U235422","ios","Jun",150,119
"U207087","android","Mar",340,204
"U586653","ios","Sep",133,56
"U278796","android","May",235,350
"U292543","web","Jun",257,164
"U908876","android","Apr",365,266
"U103022","ios","Mar",179,112
"U707697","android","Jul",334,180
"U176121","web","Sep",192,100
"U570340","ios","Apr",94,25
"U817886","android","Jun",22,39
"U908679","android","Sep",81,6
"U260617","android","Sep",275,330
"U815453","android","Mar",255,340
"U891692","ios","Jan",191,115
"U347413","android","Jul",269,126
"U379206","web","Apr",216,184
"U512258","android","Oct",110,60
"U367426","android","Jul",301,189
"U548046","android","Aug",272,164
"U490519","ios","Jul",120,106
"U530219","web","Nov",364,245
"U810571","web","Jan",285,340
"U472514","android","Sep",245,330
"U678334","ios","Feb",257,128
"U513604","android","Apr",190,101
"U494408","ios","Oct",301,200
"U182740","web","Apr",176,109
"U341317","web","Nov",101,107
"U246910","web","Feb",118,78
"U758387","ios","Feb",31,1
"U855607","ios","Jan",155,117
"U903309","web","Jun",255,360
"U496113","web","Nov",275,360
"U268302","android","Jun",344,217
"U262342","ios","May",195,129
"U734286","ios","Nov",275,310
"U463990","android","Jun",37,36
"U911443","ios","Oct",359,199
"U505979","web","May",326,200
