"hour","weekday","battery_v","turbidity_ntu"
0.34,"Mon",12.76,21.61
4.08,"Mon",12.55,25.6
5.15,"Mon",12.52,21.08
6.09,"Mon",12.51,25.24
9.65,"Mon",12.62,14.5
10.52,"Mon",12.52,21.99
10.56,"Mon",12.73,17.3
10.99,"Mon",12.78,18.67
11.18,"Mon",12.47,19.62
11.44,"Mon",12.81,23.25
12.2,"Mon",12.54,19.61
12.32,"Mon",12.56,23.87
13.36,"Mon",12.5,21.41
13.44,"Mon",12.37,20.05
14.1,"Mon",12.5,13.81
14.37,"Mon",12.5,22.4
17.69,"Mon",12.81,19.6
18.65,"Mon",12.16,13.2
19.62,"Mon",12.31,20.64
22.68,"Mon",12.37,14.33
23.16,"Mon",12.18,23.11
23.35,"Mon",12.59,23.36
23.67,"Mon",12.39,18.32
23.78,"Mon",12.61,27.97
24.12,"Tue",12.52,25.43
24.24,"Tue",12.33,20.43
24.79,"Tue",12.79,20.01
27.09,"Tue",12.42,19.43
28.31,"Tue",12.26,23.17
29.68,"Tue",12.33,23.96
32.4,"Tue",12.57,20.01
32.42,"Tue",12.45,23.53
32.59,"Tue",12.5,24.65
33.16,"Tue",12.08,24.03
35.27,"Tue",12.65,15.52
35.68,"Tue",12.25,19.27
36.46,"Tue",12.58,19.24
37.33,"Tue",12.45,26.67
37.79,"Tue",12.63,20.36
38.15,"Tue",12.63,23.92
40.98,"Tue",12.57,32.01
42.33,"Tue",12.49,15.29
47.58,"Tue",12.58,23.27
49.04,"Wed",11.98,25.11
55.01,"Wed",12.24,16.77
59.81,"Wed",12.28,20.05
61.49,"Wed",12.4,27.73
62.14,"Wed",12.26,21.29
62.35,"Wed",12.46,23.54
62.45,"Wed",12.42,24.28
68.54,"Wed",12.29,22.71
69.46,"Wed",12.31,25.57
71.56,"Wed",12.38,23.79
72.73,"Thu",12.32,22.44
73.65,"Thu",12.38,26.02
74.02,"Thu",12.29,23.23
74.06,"Thu",12.22,22.59
77.72,"Thu",12.11,22.83
78.7,"Thu",12.33,26
79.27,"Thu",12.17,17.8
79.53,"Thu",12.48,17.75
81.76,"Thu",12.23,25.58
81.89,"Thu",12.48,20.51
85.87,"Thu",12.03,20.69
86.05,"Thu",12.24,18.89
88.21,"Thu",12.42,25.6
88.21,"Thu",12.38,24.59
88.96,"Thu",12.13,25.9
91.77,"Thu",12.22,20.35
92,"Thu",12.05,21.4
93.63,"Thu",12.14,26.67
93.95,"Thu",12.16,22.53
95,"Thu",12.02,24.07
96.01,"Fri",12.35,19.4
96.25,"Fri",12.45,24.22
97.33,"Fri",12.1,21.08
97.5,"Fri",12.34,24.5
98.36,"Fri",12.33,26.33
98.75,"Fri",12.08,24.46
98.93,"Fri",12.09,18.19
99.73,"Fri",12.41,17.75
99.86,"Fri",12.28,16.66
100,"Fri",12.01,24.35
100.44,"Fri",12.11,18.06
100.97,"Fri",11.88,17.43
101.25,"Fri",12.57,24.49
102.5,"Fri",12.3,24.74
103.12,"Fri",12.06,23.82
103.75,"Fri",12.05,24.92
104.46,"Fri",12.18,20.36
105,"Fri",12.44,24.9
105.49,"Fri",12.12,15.92
106.25,"Fri",12.03,24.69
107.5,"Fri",12.06,24.54
107.57,"Fri",12.26,22.27
108.34,"Fri",12.17,14.37
108.75,"Fri",12.07,24.52
109.35,"Fri",12.07,18.66
110,"Fri",12.16,24.84
110.63,"Fri",12.12,16.99
110.65,"Fri",12.13,19.51
111.25,"Fri",12.23,24.92
112.5,"Fri",12.11,24.83
112.63,"Fri",12.14,14.19
