"school_id","district","level","class_size","pass_rate"
"SCH001","south","elementary",26,0.731
"SCH002","east","elementary",23,0.652
"SCH003","east","middle",7,0.714
"SCH004","south","middle",39,0.641
"SCH005","east","middle",7,0.857
"SCH006","north","high",10,0.6
"SCH007","south","high",22,0.591
"SCH008","east","elementary",8,0.5
"SCH009","east","middle",37,0.595
"SCH010","north","high",34,0.853
"SCH011","south","high",40,0.875
"SCH012","south","elementary",26,0.692
"SCH013","central","middle",18,0.333
"SCH014","north","elementary",39,0.795
"SCH015","south","high",21,0.619
"SCH016","east","middle",18,0.833
"SCH017","east","elementary",29,0.724
"SCH018","east","high",25,0.88
"SCH019","north","elementary",6,0.667
"SCH020","south","middle",21,0.571
"SCH021","west","elementary",20,0.7
"SCH022","central","middle",10,0.5
"SCH023","south","elementary",31,0.742
"SCH024","central","high",30,0.667
"SCH025","east","high",35,0.8
"SCH026","east","high",22,0.818
"SCH027","east","elementary",13,0.692
"SCH028","west","middle",28,0.679
"SCH029","north","middle",33,0.667
"SCH030","south","elementary",7,0.429
"SCH031","west","high",33,0.758
"SCH032","north","middle",28,0.75
"SCH033","east","middle",28,0.5
"SCH034","east","middle",7,0.429
"SCH035","central","high",32,0.688
"SCH036","east","elementary",17,0.647
"SCH037","east","elementary",30,0.767
"SCH038","south","elementary",27,0.667
"SCH039","west","elementary",36,0.667
"SCH040","east","high",19,0.474
"SCH041","east","elementary",7,0.857
"SCH042","west","high",21,0.667
"SCH043","central","elementary",35,0.686
"SCH044","east","high",6,0.5
"SCH045","west","middle",14,0.643
"SCH046","north","high",32,0.656
"SCH047","south","middle",14,0.929
"SCH048","north","elementary",40,0.675
"SCH049","east","high",29,0.724
"SCH050","south","elementary",15,0.667
"SCH051","central","high",24,0.75
"SCH052","north","elementary",31,0.71
"SCH053","west","elementary",18,0.667
"SCH054","south","high",36,0.806
"SCH055","west","elementary",16,0.625
"SCH056","central","middle",11,0.818
"SCH057","north","high",37,0.649
"SCH058","south","elementary",40,0.825
"SCH059","south","middle",33,0.636
"SCH060","central","high",30,0.767
"SCH061","west","elementary",14,0.786
"SCH062","central","high",35,0.629
"SCH063","west","high",24,0.542
"SCH064","south","elementary",29,0.828
"SCH065","south","middle",6,0.5
"SCH066","south","middle",33,0.758
"SCH067","west","middle",16,0.938
"SCH068","central","high",8,0.75
"SCH069","north","elementary",17,0.882
"SCH070","east","elementary",34,0.706
"SCH071","south","elementary",24,0.583
"SCH072","east","high",6,0.667
"SCH073","east","elementary",16,0.688
"SCH074","north","high",11,0.727
"SCH075","south","elementary",8,0.875
"SCH076","north","elementary",36,0.722
"SCH077","north","elementary",13,0.462
"SCH078","east","high",21,0.714
"SCH079","central","high",40,0.875
"SCH080","south","high",10,0.6
