"respondent","region","age","daily_minutes"
1,"suburban",28,240
2,"suburban",25,240
3,"urban",23,210
4,"rural",28,265
5,"rural",42,145
6,"suburban",27,180
7,"urban",47,240
8,"rural",35,240
9,"suburban",15,240
10,"urban",26,193
11,"urban",29,254
12,"suburban",41,169
13,"rural",36,120
14,"urban",41,240
15,"urban",36,240
16,"suburban",37,240
17,"suburban",27,286
18,"suburban",38,180
19,"urban",37,240
20,"suburban",23,240
21,"urban",28,210
22,"rural",35,210
23,"urban",31,240
24,"suburban",37,180
25,"suburban",28,270
26,"rural",32,210
27,"suburban",46,210
28,"rural",20,243
29,"suburban",32,210
30,"rural",40,224
31,"suburban",52,135
32,"urban",59,153
33,"suburban",37,228
34,"urban",29,240
35,"urban",20,210
36,"rural",20,180
37,"suburban",35,150
38,"rural",44,210
39,"urban",27,240
40,"suburban",47,210
41,"rural",41,210
42,"urban",42,210
43,"urban",44,226
44,"rural",19,300
45,"rural",30,243
46,"urban",15,180
47,"rural",28,210
48,"suburban",14,270
49,"suburban",16,267
50,"rural",38,201
51,"rural",29,210
52,"urban",27,270
53,"rural",18,221
54,"suburban",48,240
55,"rural",42,180
56,"suburban",28,300
57,"rural",32,213
58,"rural",43,210
59,"urban",30,221
60,"suburban",26,210
61,"suburban",40,210
62,"urban",39,184
63,"suburban",48,174
64,"suburban",31,180
65,"rural",43,186
66,"suburban",42,203
67,"rural",24,210
68,"suburban",35,240
69,"rural",35,240
70,"rural",26,180
71,"urban",19,240
72,"rural",23,270
73,"rural",45,157
74,"urban",55,150
75,"urban",17,196
76,"suburban",44,196
77,"rural",37,242
78,"suburban",48,173
79,"urban",34,180
80,"suburban",50,180
81,"rural",34,270
82,"urban",22,210
83,"urban",27,240
84,"urban",13,270
85,"urban",43,210
86,"urban",52,193
87,"urban",48,191
88,"suburban",37,181
89,"suburban",44,227
90,"urban",60,120
91,"rural",25,180
92,"rural",45,154
93,"rural",44,150
94,"rural",39,203
95,"urban",33,240
96,"rural",51,178
97,"urban",36,240
98,"rural",30,178
99,"suburban",48,150
100,"suburban",32,258
101,"rural",21,240
102,"urban",24,210
103,"rural",30,260
104,"urban",55,179
105,"suburban",41,210
106,"suburban",47,120
107,"urban",23,210
108,"suburban",39,225
109,"rural",27,228
110,"urban",46,90
111,"suburban",28,240
112,"urban",29,240
113,"suburban",34,240
114,"suburban",27,210
115,"suburban",32,224
116,"urban",41,150
117,"suburban",56,166
118,"suburban",16,331
119,"rural",34,180
120,"rural",42,222
121,"suburban",30,195
122,"rural",27,204
123,"rural",36,198
124,"suburban",54,167
125,"rural",18,233
126,"urban",28,240
127,"rural",48,132
128,"urban",20,270
129,"suburban",46,162
130,"suburban",29,270
131,"rural",23,270
132,"suburban",40,180
133,"rural",27,219
134,"rural",43,211
135,"rural",43,196
136,"rural",46,240
137,"suburban",38,217
138,"urban",44,120
139,"rural",13,263
140,"suburban",22,288
141,"suburban",25,210
142,"urban",37,210
143,"rural",18,248
144,"suburban",24,261
145,"rural",57,143
146,"urban",29,270
147,"suburban",32,248
148,"urban",24,240
149,"urban",15,180
150,"urban",24,240
151,"urban",30,150
152,"suburban",38,210
153,"urban",43,190
154,"suburban",18,240
155,"rural",23,270
156,"rural",53,218
157,"rural",39,150
158,"suburban",30,240
159,"suburban",37,210
160,"rural",33,240
161,"suburban",13,240
162,"rural",42,254
163,"rural",13,267
164,"suburban",48,180
165,"suburban",31,210
166,"suburban",51,150
167,"urban",34,240
168,"rural",26,206
169,"rural",25,240
170,"urban",13,266
171,"urban",33,210
172,"urban",22,210
173,"suburban",47,120
174,"suburban",19,300
175,"rural",27,210
176,"urban",29,204
177,"rural",27,240
178,"urban",19,270
179,"urban",28,260
180,"suburban",13,330
181,"suburban",31,210
182,"rural",27,247
183,"suburban",34,210
184,"suburban",37,210
185,"suburban",42,270
186,"urban",33,180
187,"suburban",44,150
188,"urban",32,174
189,"urban",13,270
190,"rural",48,199
191,"urban",47,181
192,"urban",42,240
193,"suburban",37,240
194,"urban",39,210
195,"urban",38,180
196,"suburban",36,240
197,"urban",30,240
198,"suburban",39,184
199,"urban",53,225
200,"suburban",28,210
