"batch","inspector","pressure_psi","leak_rate_mlh"
"B9","JM",62.6,21.34
"B8","TS",18.6,10.15
"B6","TS",60.6,20.1
"B4","JM",13.2,9.09
"B8","AL",82.9,22.22
"B8","TS",11,7.82
"B3","AL",25.8,16.68
"B9","TS",67.8,22.88
"B7","AL",30.8,14.02
"B9","JM",81,26.49
"B9","TS",34.7,12.58
"B4","JM",13.1,6.32
"B5","AL",26.6,4.64
"B9","JM",33.8,12.83
"B3","TS",39.1,17.08
"B9","JM",35.8,13.09
"B9","TS",84.3,28.12
"B6","JM",84,28.24
"B9","AL",38.4,13.89
"B9","AL",58.5,20.04
"B8","AL",75.4,25.04
"B3","TS",36,14.27
"B4","TS",11.8,12.35
"B9","AL",72.8,25.03
"B1","TS",68,24.16
"B5","AL",57.2,21.51
"B5","TS",19.6,9.18
"B7","JM",51.4,13.35
"B8","TS",89.2,38.9
"B9","AL",60.5,20.01
"B9","TS",76,25.67
"B5","JM",64.2,22.53
"B8","AL",65.1,32.76
"B1","JM",24.4,20.38
"B5","JM",30.7,14.54
"B7","TS",22.9,16.1
"B9","JM",83.7,27.79
"B8","TS",34.6,13.3
"B3","AL",36.6,18
"B1","AL",64.7,18.16
"B5","TS",78.1,26.32
"B2","AL",16.5,4.22
"B1","TS",84.2,32.12
"B9","JM",79.2,26.16
"B5","TS",57.2,19.26
"B6","AL",55,18.36
"B2","AL",65.6,22.71
"B1","AL",41.3,10.7
"B5","TS",30.3,19.48
"B3","AL",86.8,26.13
"B4","AL",15.8,8.2
"B8","AL",39.1,13.1
"B9","TS",52.1,18.22
"B1","JM",50.8,15.72
"B9","JM",19.2,8.08
"B9","JM",60,20.35
"B7","JM",51.8,22.83
"B4","TS",66.2,27.35
"B2","TS",47.3,15.61
"B1","TS",60.5,16.04
"B5","TS",89.5,27.68
"B5","AL",11.4,7.52
"B1","AL",26.8,10.86
"B6","TS",86.6,36.09
"B6","TS",12.4,3.59
"B9","JM",20.3,8.64
"B6","AL",51.3,21.3
"B3","AL",40.7,16.84
"B3","AL",25.8,13.68
"B3","AL",77.7,25.81
"B7","JM",79.9,25.28
"B7","TS",27.9,5.2
"B9","JM",77,26.36
"B8","AL",85.4,29.77
"B1","TS",47,15.98
"B6","JM",42.3,14.58
"B3","AL",27.8,9.58
"B3","TS",38.6,10.18
"B3","TS",71.6,25.14
"B3","JM",33.2,12.45
"B4","TS",39.7,14.49
"B3","JM",61.3,17.68
"B8","AL",14.5,9.29
"B8","TS",22.6,7.31
"B7","TS",87.5,26.32
"B5","JM",79.5,22.6
"B4","AL",21.7,11.22
"B7","AL",45.1,16.2
"B9","JM",75.4,25.05
"B3","TS",41.9,13.64
"B8","TS",57.4,17.1
"B9","JM",44.1,15.18
"B8","AL",58.8,28.57
"B9","JM",42.6,14.87
"B9","AL",31.4,11.72
"B9","AL",59.9,20.5
"B9","TS",20.2,8.2
"B7","AL",25.5,5.85
"B6","AL",66.7,22.86
"B8","AL",78.3,35.33
"B1","AL",31.8,13.28
"B9","AL",60.3,20.35
"B9","JM",68.3,23.1
"B9","TS",44.5,15.89
"B2","TS",78.9,27.02
"B8","AL",81.7,25.07
"B4","TS",13.8,0.81
"B6","JM",79.6,27.37
"B9","TS",42.2,15.21
"B2","TS",54.6,22.91
"B8","JM",49.6,20.18
"B3","TS",60.9,15.28
"B6","TS",43.3,16.36
"B8","JM",75.4,27.84
"B6","AL",28.4,12.9
"B3","AL",86.4,30.36
"B2","TS",61.7,22.94
"B7","AL",80.7,26.32
"B8","JM",86.1,32.52
"B7","JM",18.3,3.7
"B4","TS",54.2,22.8
"B1","TS",22.2,4.98
"B8","AL",36.3,18.16
"B9","JM",15.9,6.96
"B4","TS",58.6,21.51
"B2","AL",26.3,9.12
"B7","TS",38.5,16.19
"B2","AL",59.2,19.31
"B7","TS",72.1,28.89
"B5","AL",39.6,16.88
"B4","JM",65.3,21.87
"B1","AL",85.4,38.59
"B1","AL",63.3,22.19
"B9","JM",21.4,8.64
"B7","JM",58.1,21.45
"B9","AL",63,21.65
"B2","JM",61.6,18.25
"B3","TS",26.5,13.8
"B1","JM",53.8,20.67
"B7","TS",26.5,11.95
"B6","AL",55.9,17.36
"B1","JM",31.8,7.63
"B8","TS",38.9,15.12
"B8","JM",18.4,8.17
"B9","TS",16,6.85
"B8","JM",24.4,6.66
"B7","JM",24.3,11.53
"B3","TS",14.3,1.49
"B2","AL",25.8,11.22
"B6","TS",17.5,12.24
"B4","JM",71.1,20.61
"B3","TS",49.7,20.11
"B5","JM",21.5,4.03
"B7","TS",58.6,20.66
"B5","JM",14.7,4.22
"B5","JM",54,21.08
"B3","AL",31.2,17.52
"B6","AL",49.5,13.78
"B8","JM",32.9,17.26
"B9","JM",75.1,24.95
"B2","TS",35.9,11.26
"B3","JM",50.9,17.99
"B7","TS",44.5,21.45
"B9","TS",46.1,16.2
"B1","AL",48.4,16.28
"B8","TS",24.2,12.74
"B5","TS",88.5,27.05
"B2","AL",43,16.23
"B5","JM",27.8,11.55
"B5","AL",42.8,18.22
"B5","JM",29.7,12.82
"B4","TS",88.6,29.73
"B1","AL",11.5,3.43
"B9","AL",64.2,21.76
"B7","TS",40.3,10.01
"B1","TS",55.2,23.38
"B5","TS",83.7,31.76
"B4","TS",40.8,17.52
"B2","TS",27.9,13.49
"B5","TS",48.7,15.96
"B7","AL",25.6,7.59
"B9","TS",37.9,13.42
"B3","AL",87.9,31.43
"B9","TS",52.8,18.28
"B4","TS",57.9,21.38
"B9","JM",73.8,24.79
"B7","AL",47.2,15.47
"B9","AL",79.2,26.89
"B7","AL",60.2,19.93
"B3","AL",52.6,19.12
"B3","AL",73,18.16
"B8","TS",56.1,21.14
"B5","TS",18.1,7.4
"B7","AL",61.7,18.95
"B4","AL",61.2,23.89
"B1","AL",73,25.61
"B9","TS",54.2,18.82
"B1","AL",43.2,12.73
"B9","JM",50.6,17.47
"B5","AL",78.7,20.52
"B9","TS",69,23.18
"B7","JM",29,13.13
"B9","AL",48.1,17.33
"B7","AL",48.6,20.31
"B2","TS",17.3,12.11
"B8","TS",49.6,19.73
"B6","JM",71.4,29.56
"B7","JM",16.8,10.6
"B2","AL",74.5,26.11
"B9","TS",48.4,17.05
