"station","battery_pct","temperature_c","humidity_pct"
"ST-07",26,27.1,67.8
"ST-10",43,22.1,74.5
"ST-12",82,22.1,76.2
"ST-01",68,13.4,83.9
"ST-14",27,17.1,48.1
"ST-05",60,33.8,46.2
"ST-06",76,5.4,62.4
"ST-14",73,13,68.7
"ST-08",67,25.6,61
"ST-06",34,30.3,44.5
"ST-05",65,24.6,42.7
"ST-02",52,26.4,64.6
"ST-08",64,14,74.2
"ST-05",98,12.5,57.9
"ST-09",73,24.6,51.1
"ST-16",49,28.2,71.6
"ST-18",96,21.3,56.1
"ST-09",59,15.8,85.4
"ST-11",93,19.9,34.1
"ST-14",14,27.6,59.1
"ST-18",93,34.2,51.7
"ST-08",91,13,80.6
"ST-09",44,21.4,62.1
"ST-02",64,32.9,55.5
"ST-15",100,15,73.7
"ST-11",49,34.9,33.9
"ST-09",74,6.3,86.1
"ST-17",98,31,55.1
"ST-11",60,27.7,53.8
"ST-09",44,27.1,48.2
"ST-16",35,16.3,63.1
"ST-16",63,28,41.2
"ST-09",73,5.6,67.6
"ST-02",46,28.2,39.3
"ST-10",60,27.6,61.2
"ST-11",39,16.5,69.6
"ST-02",91,19.2,66.4
"ST-10",24,24.6,45.1
"ST-11",75,21,59.7
"ST-11",18,34.3,28.5
"ST-09",81,19.6,48.9
"ST-06",55,17.8,73.6
"ST-08",38,20.8,28
"ST-12",53,30.8,49.1
"ST-09",54,35.6,47.4
"ST-07",33,12,66.6
"ST-05",71,20.7,31.1
"ST-14",31,19.2,50.3
"ST-11",78,21.2,65.9
"ST-08",13,32.5,39
"ST-17",82,14.2,50.9
"ST-09",35,29.6,36.2
"ST-16",49,22.1,34.8
"ST-06",39,7.1,82.2
"ST-03",89,18.2,67.7
"ST-05",17,35.7,26.8
"ST-03",61,15,65.5
"ST-01",27,34.8,55.4
"ST-06",49,33.3,39.7
"ST-10",82,4.4,92.5
"ST-09",12,28.5,54.3
"ST-17",34,25.3,43.3
"ST-04",33,21.2,66.3
"ST-18",48,11.6,78
"ST-06",30,27.5,65
"ST-07",74,20.9,28.9
"ST-13",48,23.6,63.5
"ST-16",87,10.7,73.2
"ST-09",42,8.6,78.3
"ST-16",30,7.7,89.2
"ST-03",72,22,64.7
"ST-18",65,15.9,47.6
"ST-06",82,20.3,60.5
"ST-08",81,22.8,53.7
"ST-01",68,15.4,74.4
"ST-09",92,15.2,48.7
"ST-03",36,4.4,86.7
"ST-12",89,12.2,70.9
"ST-12",64,20.8,61.9
"ST-17",26,27.9,43
"ST-10",35,23.3,68.4
"ST-11",88,8.8,67.7
"ST-16",91,32.7,56.7
"ST-11",52,21.1,60.4
"ST-03",98,26.8,50.8
"ST-10",60,20.7,59.3
"ST-17",57,10.1,68.5
"ST-06",37,9.7,67.4
"ST-05",59,15.4,62.7
"ST-17",16,16.9,67.2
"ST-04",18,8.8,70.8
"ST-11",60,26.3,39.5
"ST-15",27,21.6,65.6
"ST-18",95,16.1,76.7
"ST-02",36,27.9,50
"ST-07",38,15.7,66.8
"ST-02",24,35.5,50.6
"ST-13",22,14.7,67
"ST-14",67,17.9,69.3
"ST-02",64,20.2,55.9
"ST-05",40,9.6,86.3
"ST-03",11,17.5,71
"ST-18",47,15.7,45.6
"ST-11",84,11.1,70.8
"ST-02",85,8,81.8
"ST-05",89,16.7,43.8
"ST-13",79,8.1,64.7
"ST-10",44,34.9,49.3
"ST-14",95,9.6,80.4
"ST-06",54,13.6,57.3
"ST-01",76,21.8,64.1
"ST-04",19,9.4,73
"ST-09",76,21.6,64.4
"ST-04",74,14.9,46.7
"ST-08",77,35,46.1
"ST-17",94,31,41.9
"ST-14",95,13.3,83.6
"ST-05",34,17.8,68.4
"ST-14",97,5,80.9
"ST-14",59,34.2,33.9
"ST-10",95,27.1,35.4
"ST-13",99,28.1,59.5
"ST-10",84,19.9,65.1
"ST-02",65,25.5,52.1
"ST-02",57,20.9,28
"ST-08",92,19.8,70.6
"ST-18",14,17.5,53.9
"ST-17",67,7.2,76
"ST-02",99,20.9,60.3
"ST-03",21,13.8,59.4
"ST-02",18,26.2,69.5
"ST-16",16,20.2,68.1
"ST-13",79,26.3,45.4
"ST-09",12,30.5,49.8
"ST-10",71,27.8,63.2
"ST-04",30,11.3,79.3
"ST-04",26,15.3,68
"ST-12",73,11.4,67.6
"ST-14",23,4.8,72.3
"ST-14",25,35.1,56.9
"ST-09",71,16.5,45.6
"ST-08",96,25.7,51.1
"ST-12",17,10.9,61
"ST-10",100,28.2,67.8
"ST-13",19,29.1,40.5
"ST-16",23,32.8,42.7
"ST-07",94,5.5,66.2
"ST-01",100,22.7,36.5
"ST-12",32,12.4,73
"ST-15",70,10.7,79.5
"ST-16",38,21.3,60.1
"ST-06",40,21.4,29.1
"ST-18",47,6.4,76.9
"ST-07",89,16,61.9
"ST-13",14,20.5,62.9
