"order_id","carrier","weight_kg","cost_usd"
515262,"UPX",17.24,14.94
380547,"FedDel",6.06,0.71
397151,"Postal",12.32,16.83
296825,"Postal",20.03,15.19
144899,"Postal",22.95,14.73
548806,"FedDel",11.74,10.41
964491,"Postal",14.48,12.45
265156,"Postal",14.41,11.4
504583,"Postal",2.02,6.88
165339,"Postal",11.45,10.41
110170,"UPX",7.49,10.76
800813,"Postal",18.78,26.44
276382,"FedDel",13.93,13.84
677642,"UPX",11.72,12.42
949808,"UPX",2.25,8.08
742695,"FedDel",9.95,11.15
180221,"Postal",26.81,19.56
531484,"Postal",7.72,4.8
143708,"Postal",11.94,12.95
727464,"UPX",21.48,15.59
733462,"FedDel",11.64,12.16
858899,"FedDel",17.59,12.76
465307,"Postal",13.09,12.39
715537,"Postal",28.34,18.3
222087,"UPX",29.02,18.16
101944,"FedDel",8.57,10.26
285958,"FedDel",1.57,6.72
513108,"FedDel",15.7,14.42
670734,"Postal",3.11,8.33
734400,"UPX",0.45,6.81
336844,"UPX",12.11,12.18
786936,"UPX",21.42,16.05
641885,"UPX",16.39,20.3
449954,"Postal",16.33,12.2
687767,"UPX",18.33,28.19
897104,"UPX",5.19,9.22
372284,"Postal",12.27,11.16
551995,"FedDel",24.2,15.94
122336,"FedDel",11.01,13.45
230991,"Postal",11.68,11.16
637841,"Postal",26.85,17.25
658975,"FedDel",2.28,7.79
103052,"Postal",8.67,10.74
191704,"Postal",8,3.03
209538,"FedDel",10.23,10.77
817155,"UPX",7.98,9.21
584709,"UPX",17.89,21.51
944404,"UPX",26.87,16.82
737285,"Postal",27.85,18.85
926487,"Postal",11.54,11.75
940721,"FedDel",9.73,12.61
659568,"Postal",6.12,7.32
470732,"FedDel",19.62,14.9
344717,"FedDel",10.38,11.02
579900,"FedDel",28.1,20.03
105112,"UPX",12.35,10.99
273916,"UPX",6.54,11.54
713308,"Postal",13.11,11.13
509063,"Postal",29.54,17.3
968457,"Postal",21.76,15.76
840324,"Postal",26.8,20.05
733517,"Postal",10.97,10.29
220762,"FedDel",29.26,18.7
111563,"FedDel",10.28,7.75
382247,"Postal",19.7,13.88
774995,"FedDel",3.32,10.65
601968,"Postal",6.98,10.96
197489,"FedDel",20.9,17.27
198433,"UPX",18.05,22.19
241929,"FedDel",12.09,11.96
295092,"FedDel",15.71,14.93
160764,"Postal",18.48,14.75
554925,"UPX",26.58,17.8
144535,"UPX",9.85,13.21
750109,"UPX",2.32,7.39
779245,"FedDel",23.55,17.28
838300,"Postal",4.44,11.45
629654,"FedDel",8.89,12.52
