"store_id","region","floor_area_sqm","weekly_margin_k"
"S3973","west",230.3,0.51
"S3314","central",247.7,5.08
"S1373","west",319.5,8.81
"S9810","northeast",114.6,10.73
"S1076","west",170.3,10.01
"S5825","west",114,9.21
"S6154","northeast",242.6,1.2
"S4713","southeast",252.7,4.62
"S3152","central",173.7,7.06
"S1589","northeast",210,0.77
"S3732","central",131.4,1.29
"S9987","west",270.5,2.56
"S4920","central",84.4,9.94
"S1023","southeast",202.8,10.4
"S6298","west",177.3,0.31
"S7575","northeast",173.3,2.25
"S9231","southeast",316.3,12.28
"S1082","west",161.7,2.74
"S2412","southeast",103.8,1.61
"S1713","northeast",318.3,0.34
"S1970","central",93.8,3.36
"S6173","central",66.8,10.44
"S5024","west",199.8,24.58
"S1342","southeast",175.2,4.77
"S4839","southeast",252.1,18.28
"S1871","northeast",195.7,3.18
"S8830","central",299,4.31
"S3207","northeast",212.4,19.12
"S7325","west",141.2,4.59
"S1062","northeast",233,13.99
"S4128","northeast",49.9,1.19
"S3486","west",294.3,4.72
"S6930","west",175.8,7.7
"S1194","west",269.6,16.11
"S7374","northeast",304.6,20.71
"S3420","west",151.7,12.16
"S1936","northeast",138.9,0.5
"S3504","northeast",89.9,18.64
"S7467","west",280.7,11.73
"S6163","central",286.4,17.96
"S3580","west",85.9,11.64
"S9061","central",316.4,10.89
"S5498","northeast",245.5,8.95
"S8850","central",229.2,25.34
"S2948","northeast",264.9,7.12
"S2170","west",107,12.55
"S8475","northeast",161.5,1.45
"S8704","southeast",262.5,12.17
"S9652","southeast",237.5,14.18
"S9346","central",126.5,7.22
"S5725","west",211.4,29.1
"S9957","southeast",202.6,10.82
"S4097","central",285.3,3.42
"S2890","southeast",319.2,17.39
"S8533","northeast",289.1,0.3
"S8814","west",308.5,16.63
"S3235","west",121.9,15.15
"S7452","west",163.5,4.15
"S3531","west",143.5,26.1
"S1202","west",111.5,5.05
"S1087","west",218.1,12.23
"S2263","southeast",170.3,4.19
"S2593","southeast",183.4,2.46
"S7499","central",241.2,14.21
"S3581","west",229.1,7.06
"S7826","central",76.2,10.77
"S6671","central",278.3,1.5
"S1910","northeast",237,1.91
"S2865","southeast",142,6.11
"S2453","southeast",115.1,2.92
"S6740","central",46.1,3.07
"S1892","southeast",196.3,9.29
"S9107","southeast",272,20.88
"S5387","west",319.6,20.56
"S2471","northeast",297.7,7.57
"S2654","west",120,0.82
"S6051","northeast",62.4,3.12
"S8757","southeast",193.9,18.03
"S5116","southeast",143,6.77
"S6033","northeast",136.7,4.3
"S2000","west",96,1.68
"S1088","west",207.8,12.48
"S1052","northeast",262.1,28.62
"S6854","central",296.9,17.29
"S6229","northeast",222.9,18.35
"S6675","central",183.4,19.69
"S7492","southeast",90.6,3.51
"S1840","central",314.9,23
"S8385","northeast",82.6,14.95
"S4206","central",159.2,15.65
"S9102","southeast",207.7,13.85
"S8303","southeast",300.3,14.79
"S9743","central",241.2,1.54
"S7265","southeast",302,3.15
"S5404","southeast",83.6,11.06
"S6557","west",84.5,13.42
"S6473","central",104.7,9.99
"S7212","southeast",283.9,23.15
"S1778","southeast",186.3,5.23
"S7784","west",44.2,2.92
"S4062","central",105.2,8.68
"S6734","southeast",154.4,6.33
"S4163","northeast",99,3.69
"S6314","west",277.2,8.62
"S7936","southeast",149.5,4.96
"S5623","northeast",90.3,1.2
"S7862","central",198.2,12.92
"S8625","northeast",243.4,8.62
"S5606","west",308.5,29.73
