"customer_id","plan","signup_year","tenure_months","monthly_spend"
"C26646","standard",2025,36.1,46.4
"C51620","premium",2023,27.1,59.47
"C86005","basic",2023,4,29.81
"C21599","basic",2022,36.3,72.49
"C55808","standard",2024,8.3,68.41
"C40435","standard",2020,65.1,80.26
"C95899","standard",2022,45.9,52.05
"C63558","standard",2020,51.2,96.84
"C32024","premium",2024,22.5,60.78
"C32971","premium",2019,46.9,54.28
"C69825","premium",2022,41,46.37
"C43792","standard",2025,24.1,43.29
"C52642","basic",2025,44.9,48.58
"C69935","basic",2020,8.6,5
"C73136","basic",2019,45.4,61.22
"C58867","standard",2023,67.2,63.46
"C73106","basic",2021,25.9,37.92
"C52321","standard",2022,41.8,70.89
"C54822","premium",2021,40,48.43
"C68680","basic",2019,61.9,76.43
"C37051","standard",2025,35.2,57.76
"C68095","premium",2024,49.3,65.76
"C13108","basic",2024,31.2,89.11
"C59397","basic",2023,53,75.04
"C77987","standard",2023,5.8,21.13
"C36509","premium",2020,6.9,39.05
"C59988","basic",2022,63.7,58.09
"C97311","standard",2021,30.6,68.68
"C97218","standard",2023,8.3,37.78
"C18926","standard",2025,20.7,36.19
"C72416","basic",2020,34.8,47.8
"C58289","standard",2019,31.5,56.63
"C78821","standard",2021,49.5,59.41
"C42368","standard",2021,43.8,78.82
"C18771","premium",2023,39.3,78.78
"C47902","basic",2025,19.4,73.63
"C58074","standard",2019,49.6,39.66
"C99965","basic",2019,42.2,36.38
"C42026","basic",2022,25.3,66.77
"C16828","basic",2019,39.7,47.45
"C15855","premium",2020,6.8,26.19
"C37998","basic",2025,21.7,44.37
"C51102","basic",2024,63.2,64.58
"C76528","premium",2023,13.2,44.8
"C32266","basic",2022,57.2,75.99
"C50762","standard",2019,46.1,85.75
"C69771","premium",2021,2.5,49.67
"C27877","basic",2022,65.4,60.12
"C87356","standard",2019,28.5,87.07
"C91496","standard",2020,56.8,77.3
"C19860","basic",2020,70.8,71.07
"C95106","premium",2023,20.1,29.36
"C49733","standard",2024,5.1,42.45
"C80412","basic",2022,48,56.63
"C16096","basic",2019,17.9,57.98
"C96544","standard",2024,17.9,50.9
"C89465","basic",2025,46.3,86.33
"C49427","standard",2024,33.1,49.01
"C20212","standard",2023,45.6,87.57
"C84995","standard",2024,52.8,51.79
"C85392","premium",2020,21,51.43
"C85976","standard",2024,46.5,86.91
"C65482","premium",2019,11.1,25.65
"C69169","standard",2019,18.7,47.71
"C43367","basic",2024,22.4,28.52
"C44211","standard",2024,35.2,61.36
"C78753","standard",2025,38.3,57.35
"C89418","basic",2020,45.1,50.22
"C80736","standard",2019,43,51.63
"C94088","basic",2025,55.7,80.05
"C17854","premium",2022,20.5,21.69
"C88327","basic",2022,21.4,35.09
"C31842","basic",2024,48.1,38.44
"C59093","standard",2020,59,45.3
"C91727","basic",2024,63.1,82.75
"C45961","basic",2020,61,76.71
"C81644","standard",2023,57.5,75.27
"C58747","basic",2022,1.4,16.66
"C74278","standard",2020,66.2,77.65
"C56871","basic",2025,21.1,85.91
"C29885","standard",2019,64,68.6
"C51652","basic",2025,51.4,41.61
"C90162","basic",2020,14.3,29.5
"C32724","premium",2019,31.8,70.3
"C97693","standard",2020,44.6,69.03
"C30962","basic",2020,48.9,39.27
"C56347","premium",2021,29.5,57.59
"C60179","basic",2019,43.2,42.56
"C75846","premium",2025,17.3,59.32
"C22373","basic",2020,36.3,48.61
"C79538","premium",2020,30,51.16
"C51217","basic",2023,47,65.14
"C20699","premium",2019,30,50.09
"C86076","standard",2021,17.1,55.48
"C55625","basic",2019,2,39.36
"C46159","basic",2024,50.9,60.88
"C91018","standard",2019,37.2,41.93
"C71306","basic",2023,56.1,60.15
"C46412","basic",2019,28.5,52.26
"C73919","basic",2019,30.8,87.72
"C33301","basic",2020,29.6,89.63
"C52242","basic",2023,56.9,60.01
"C82307","basic",2020,42.6,48.13
"C81408","basic",2020,48.3,57.17
"C61096","basic",2023,47,81.24
"C33335","standard",2020,30.6,89.8
"C91712","standard",2019,26.5,58.51
"C84293","standard",2024,65.5,58.46
"C19249","basic",2022,29.5,90.41
"C30944","premium",2020,41.6,47.32
"C45518","premium",2019,31.6,49.58
"C22199","standard",2024,30.6,88.17
"C76236","basic",2021,3.9,56.36
"C93523","premium",2025,51.5,69.99
"C86250","basic",2023,45.9,52.63
"C87305","standard",2020,46.2,86.56
"C65890","basic",2023,0.6,31.24
"C79879","standard",2021,45.4,89.5
"C34137","premium",2022,32.9,51.13
"C16137","standard",2021,28.4,87.29
"C63215","premium",2025,58.3,80.77
"C86617","standard",2020,54.6,91.69
"C93047","standard",2023,46.4,64.35
"C80321","basic",2022,33.8,64.52
"C40349","standard",2020,45.2,91.23
"C56639","basic",2025,29.7,46.29
"C35768","premium",2022,52.1,76.24
"C98360","basic",2019,66.3,63.15
"C64849","premium",2022,14.5,45.87
"C46166","basic",2025,29.7,75.94
"C36831","standard",2020,28.9,90.62
"C15185","basic",2020,62.6,60.56
"C11850","premium",2023,61.3,75
"C55437","basic",2019,19.6,57.17
