"tag_id","reach","length_cm","weight_g"
"T2483","upper",13,71
"T8262","lower",50.5,732
"T6142","middle",40.4,417
"T1184","upper",29.3,198
"T5436","lower",44.3,342
"T2234","lower",23,171
"T1433","lower",23.2,110
"T1343","upper",15.7,76
"T8467","upper",50.7,558
"T7954","middle",41.4,296
"T9241","middle",47.9,517
"T8749","lower",48.8,721
"T8633","upper",19.7,108
"T1979","lower",15,88
"T5576","upper",15.7,75
"T6314","lower",16.2,86
"T8467","upper",51.1,566
"T8467","upper",50.2,564
"T8467","upper",50.7,560
"T1179","lower",36.5,438
"T9790","middle",57.1,666
"T8778","upper",37.2,323
"T9725","middle",12.4,54
"T3423","middle",49.1,541
"T5348","middle",20.2,103
"T2666","upper",26.1,193
"T6709","middle",54.5,354
"T9664","upper",24.8,157
"T6635","lower",25.9,186
"T9461","middle",42.8,424
"T8229","lower",41.9,411
"T6635","lower",25.4,185
"T1171","upper",31.9,274
"T6635","lower",25.6,188
"T2029","upper",43.4,449
"T2705","middle",46.6,473
"T4089","lower",55.2,724
"T8467","upper",50.7,563
"T6754","lower",44.4,462
"T9461","middle",43,430
"T2880","upper",57,782
"T6287","upper",34,305
"T8746","lower",13.4,65
"T3323","upper",49.9,365
"T6040","upper",59.6,568
"T1254","lower",42.3,460
"T3037","middle",57.9,623
"T9461","middle",42.7,424
"T7808","lower",21.5,120
"T3046","upper",42.2,502
"T9693","lower",37.3,347
"T9693","lower",37.7,339
"T3681","middle",41.4,378
"T1171","upper",32,264
"T7903","lower",14.2,70
"T9215","upper",18.6,158
"T6540","lower",48.6,555
"T4771","upper",17.9,96
"T1167","lower",28.3,205
"T5549","middle",30.3,224
"T2926","upper",44.6,376
"T9241","middle",47.8,513
"T2384","middle",41.7,483
"T6844","upper",12.5,63
"T9241","middle",48.1,517
"T5450","middle",37.1,291
"T3849","lower",14.2,70
"T7961","upper",33.7,302
"T4320","lower",52,669
"T2120","upper",43.6,336
"T5072","upper",22.4,211
"T4071","upper",42.2,321
"T5148","middle",16.8,98
"T6897","middle",56,700
"T1171","upper",32,271
"T9461","middle",42.4,423
"T6449","lower",59,619
"T6090","lower",52.2,588
"T6592","upper",43.1,481
"T5362","upper",45.1,346
"T9693","lower",37.3,342
"T7252","middle",56.6,768
"T7121","upper",16.1,112
"T6290","lower",21.5,197
"T6631","upper",25.6,167
"T6635","lower",25.7,185
"T3895","upper",46.2,404
"T1189","lower",53.7,615
"T1004","middle",32.5,468
"T7074","lower",19.2,104
"T9241","middle",48.6,515
"T6860","middle",50.6,841
"T1171","upper",32.1,269
"T7233","upper",58.8,694
"T5837","lower",19.2,107
"T7051","middle",46.3,377
"T2145","middle",27.5,244
"T5304","lower",46.4,576
"T8467","upper",50.5,565
"T9241","middle",47.8,505
"T6796","upper",52.6,435
"T8495","upper",18.6,103
"T8366","lower",16.6,87
"T2907","upper",13.4,56
"T3472","upper",43.2,422
"T8769","upper",20,101
"T9241","middle",48.1,512
"T8243","upper",15.5,112
"T8703","middle",54.1,572
"T3826","middle",35.7,344
"T8335","upper",49.4,622
"T1240","lower",59,909
"T3784","upper",26.6,240
"T1326","upper",45.3,454
"T1171","upper",32,271
"T1172","lower",56.1,527
"T3910","lower",30.4,183
"T1032","middle",40.4,382
"T8109","lower",57.3,745
"T9693","lower",37.9,346
"T9567","lower",35,284
"T6911","lower",47.1,608
"T9482","lower",52.5,751
"T6343","lower",35.5,295
"T6582","lower",16.5,89
"T1486","middle",21.2,140
"T2756","middle",58.6,665
"T6330","lower",18.8,123
"T5777","middle",25,171
"T9523","lower",18.6,121
"T6635","lower",25.1,188
"T1166","upper",26.5,182
"T9693","lower",37.5,349
"T2092","upper",28.2,244
"T1498","upper",14.2,71
"T4921","upper",22,160
"T5562","upper",40.4,392
"T5869","upper",22.2,145
"T1061","upper",32,312
"T4580","middle",19.7,109
"T9409","middle",30,284
"T3920","middle",28.6,315
"T4063","lower",57.1,865
"T8649","middle",39,328
"T1995","middle",12.4,59
"T6003","middle",17.1,142
"T3918","upper",25.8,153
"T7492","lower",43.2,400
"T9461","middle",42.9,432
"T9848","middle",39.1,376
"T9693","lower",37.5,343
"T3796","upper",34,273
"T1171","upper",31.7,271
"T6635","lower",25.8,186
"T3272","lower",53.6,547
"T3206","middle",18.5,140
"T6503","upper",48.4,574
"T9461","middle",42.8,424
"T7088","middle",15.4,70
"T2337","lower",24.1,145
"T2465","lower",31.7,233
"T5291","middle",55.4,756
"T7282","lower",49.1,600
"T5904","lower",53.6,688
"T5733","upper",13.2,61
"T3880","lower",37.4,304
