"visit_id","timestamp","visit_reason","vehicles_viewed"
"V579858","2025-05-05 00:09:57","test_drive",1
"V349257","2025-05-05 00:34:49","browse",3
"V143434","2025-05-05 04:02:45","test_drive",4
"V330463","2025-05-05 05:15:50","browse",5
"V427985","2025-05-05 07:54:52","test_drive",2
"V396090","2025-05-05 08:33:05","browse",2
"V424902","2025-05-05 09:07:12","parts",3
"V502083","2025-05-05 09:25:20","test_drive",1
"V445742","2025-05-05 10:51:32","test_drive",3
"V823232","2025-05-05 10:57:46","browse",1
"V663071","2025-05-05 11:04:35","test_drive",3
"V616658","2025-05-05 11:45:36","browse",2
"V209069","2025-05-05 12:00:54","test_drive",4
"V574991","2025-05-05 12:05:38","browse",3
"V461919","2025-05-05 12:11:44","service",2
"V909199","2025-05-05 12:17:30","service",3
"V901406","2025-05-05 12:52:57","test_drive",4
"V818536","2025-05-05 12:57:29","browse",4
"V273688","2025-05-05 13:06:27","test_drive",3
"V261884","2025-05-05 13:19:34","browse",4
"V709145","2025-05-05 13:37:23","browse",3
"V423220","2025-05-05 13:37:35","test_drive",6
"V856258","2025-05-05 13:49:09","test_drive",4
"V599381","2025-05-05 13:51:38","browse",2
"V909526","2025-05-05 14:03:48","parts",2
"V849177","2025-05-05 14:25:02","test_drive",4
"V310955","2025-05-05 14:33:19","test_drive",2
"V849770","2025-05-05 14:43:46","test_drive",1
"V437909","2025-05-05 14:44:04","browse",5
"V599835","2025-05-05 14:48:09","browse",4
"V701109","2025-05-05 14:53:37","service",1
"V107735","2025-05-05 15:07:37","test_drive",6
"V480567","2025-05-05 15:21:14","test_drive",7
"V514502","2025-05-05 15:22:34","test_drive",2
"V830046","2025-05-05 15:40:55","test_drive",5
"V663105","2025-05-05 16:03:18","browse",8
"V588537","2025-05-05 16:09:19","test_drive",4
"V125642","2025-05-05 16:25:30","test_drive",2
"V946261","2025-05-05 16:27:22","parts",4
"V464265","2025-05-05 16:30:47","test_drive",3
"V928787","2025-05-05 16:38:15","service",2
"V731856","2025-05-05 16:41:36","browse",5
"V329800","2025-05-05 17:06:21","browse",4
"V349998","2025-05-05 17:36:35","test_drive",3
"V799476","2025-05-05 17:38:38","test_drive",5
"V524602","2025-05-05 18:05:24","browse",3
"V225190","2025-05-05 18:24:26","browse",3
"V908903","2025-05-05 18:36:35","test_drive",3
"V361731","2025-05-05 19:25:28","test_drive",4
"V600715","2025-05-05 19:26:03","test_drive",1
"V289832","2025-05-05 19:41:33","test_drive",5
"V487703","2025-05-05 19:51:35","test_drive",5
"V309148","2025-05-05 19:59:47","service",4
"V515362","2025-05-05 21:48:49","test_drive",8
"V182803","2025-05-05 21:52:47","browse",6
"V407490","2025-05-05 23:05:18","browse",5
"V859004","2025-05-06 01:07:40","parts",1
"V637252","2025-05-06 02:14:56","parts",4
"V721776","2025-05-06 02:45:21","parts",4
"V218119","2025-05-06 02:50:55","service",2
"V953062","2025-05-06 02:59:43","parts",3
"V289594","2025-05-06 04:52:36","browse",2
"V883913","2025-05-06 08:03:51","test_drive",11
"V688375","2025-05-06 08:05:22","parts",1
"V309725","2025-05-06 08:37:50","browse",1
"V778760","2025-05-06 10:17:32","browse",3
"V788239","2025-05-06 11:01:20","service",2
"V854616","2025-05-06 11:08:08","browse",3
"V864494","2025-05-06 11:19:52","browse",5
"V738312","2025-05-06 11:25:04","service",3
"V700634","2025-05-06 11:34:32","test_drive",5
"V133001","2025-05-06 11:49:47","browse",5
"V896842","2025-05-06 12:24:16","browse",2
"V477451","2025-05-06 13:01:23","browse",2
"V670348","2025-05-06 13:25:16","parts",4
"V111563","2025-05-06 13:50:51","browse",4
"V348941","2025-05-06 13:53:22","service",2
"V938071","2025-05-06 14:00:42","service",4
"V406024","2025-05-06 14:17:58","browse",2
"V780870","2025-05-06 14:19:28","browse",2
"V448483","2025-05-06 14:26:10","browse",2
"V228521","2025-05-06 14:40:11","parts",3
"V856050","2025-05-06 14:41:06","test_drive",3
"V998984","2025-05-06 14:41:28","test_drive",1
"V171501","2025-05-06 14:48:23","test_drive",1
"V829872","2025-05-06 14:50:18","test_drive",3
"V176559","2025-05-06 15:00:13","browse",5
"V133632","2025-05-06 15:01:29","parts",5
"V214182","2025-05-06 15:14:59","browse",5
"V949513","2025-05-06 15:36:55","browse",2
"V677537","2025-05-06 15:43:50","test_drive",6
"V748032","2025-05-06 15:57:55","test_drive",4
"V169958","2025-05-06 15:58:22","test_drive",4
"V155881","2025-05-06 16:03:45","service",5
"V492506","2025-05-06 16:07:58","browse",4
"V933857","2025-05-06 16:25:27","browse",2
"V167072","2025-05-06 16:26:32","service",2
"V288845","2025-05-06 16:39:57","service",3
"V752983","2025-05-06 17:16:50","browse",5
"V618832","2025-05-06 17:31:13","parts",2
"V402140","2025-05-06 18:57:02","browse",4
"V670333","2025-05-06 19:38:07","browse",2
"V821410","2025-05-06 20:48:04","browse",4
"V557267","2025-05-06 22:32:06","test_drive",2
"V490638","2025-05-06 22:59:46","test_drive",4
"V520131","2025-05-07 00:21:14","browse",3
"V882148","2025-05-07 01:41:17","test_drive",4
"V512772","2025-05-07 04:00:39","service",10
"V637013","2025-05-07 08:28:13","parts",5
"V312978","2025-05-07 10:25:15","browse",4
"V144277","2025-05-07 11:32:22","browse",5
"V393873","2025-05-07 11:54:42","browse",4
"V881446","2025-05-07 12:00:47","service",7
