"haul","species","depth_m","length_cm","weight_g"
5,"pollock",186,69.9,2921
6,"whiting",193,38.2,411
3,"hake",97,56.5,2222
6,"whiting",115,57.3,1598
5,"haddock",47,53.5,1559
10,"pollock",186,43.2,1085
7,"hake",144,77.9,4950
4,"pollock",115,77.5,4263
6,"pollock",115,53.9,1205
12,"pollock",126,34.6,458
1,"haddock",122,55.5,1491
11,"whiting",194,29.8,2392
7,"hake",180,56.3,1418
12,"haddock",56,43.3,768
11,"haddock",186,31.9,2450
10,"haddock",68,23.6,91
4,"haddock",53,67.7,2274
8,"haddock",176,15.1,35
5,"hake",193,23.7,94
6,"hake",58,57.3,1685
8,"haddock",34,69.6,3165
5,"whiting",80,21.7,125
11,"whiting",58,40.9,783
2,"pollock",56,16.5,36
9,"hake",60,66.7,2796
1,"whiting",106,50.8,1033
7,"hake",200,28.9,222
10,"hake",157,67.6,3340
5,"pollock",134,60.9,1857
10,"pollock",145,60.5,2111
2,"haddock",71,26.2,147
4,"whiting",189,36.4,406
3,"hake",110,48.5,1321
8,"whiting",61,28,2476
5,"whiting",176,29.8,184
6,"haddock",111,69.1,4364
9,"pollock",73,24.9,160
11,"pollock",216,49.2,1150
10,"haddock",149,13.5,32
5,"haddock",90,29.8,2429
7,"hake",73,56,1527
2,"haddock",43,41.9,638
1,"whiting",117,64.5,3457
8,"pollock",150,64.1,2221
3,"hake",33,48.4,1171
4,"haddock",171,38.4,507
1,"whiting",122,28.8,2718
3,"whiting",152,11.9,16
4,"whiting",171,34.6,290
1,"hake",122,28.7,253
3,"haddock",118,55.2,1350
12,"pollock",31,33.5,377
10,"haddock",139,17.1,45
11,"haddock",148,10.7,13
12,"whiting",164,61.3,1666
6,"hake",188,40.9,781
5,"whiting",82,11.8,18
9,"haddock",212,37.5,405
8,"whiting",146,72.2,2822
7,"pollock",170,21.1,88
12,"whiting",161,45.8,1195
2,"haddock",202,27.3,2546
10,"whiting",139,64.1,2723
9,"haddock",190,9.3,7
9,"whiting",158,28.9,2466
7,"whiting",53,63,2218
1,"pollock",42,21.6,104
3,"hake",123,54.9,1718
11,"pollock",121,51.6,1204
7,"whiting",54,23.8,128
9,"haddock",86,25.8,185
9,"hake",37,12.2,15
2,"pollock",78,70.7,3002
3,"pollock",53,51.1,1130
8,"haddock",162,48.1,1126
8,"pollock",62,54,1180
9,"hake",196,70,3867
11,"whiting",181,61.5,2159
9,"pollock",92,74.7,4497
11,"haddock",177,10.7,9
7,"whiting",117,11.5,17
12,"haddock",65,30,2595
4,"whiting",113,60.3,1964
4,"haddock",41,47.3,828
8,"haddock",181,29,2551
11,"pollock",64,53.9,993
3,"whiting",110,48,961
1,"haddock",143,63.8,1801
10,"haddock",212,70.6,3796
3,"haddock",140,22.5,112
4,"haddock",115,27.8,2570
1,"pollock",134,24.6,133
11,"pollock",168,71.3,3810
12,"haddock",150,29.1,2554
11,"pollock",36,29.7,246
1,"pollock",111,61.4,1686
2,"whiting",113,11,9
12,"haddock",153,76.7,4486
6,"hake",97,58.8,1402
1,"hake",94,71.7,3269
3,"hake",131,64.5,2445
2,"pollock",68,29.6,254
5,"whiting",51,67.6,3897
7,"whiting",97,49.8,959
4,"whiting",49,68.6,3143
1,"haddock",34,74.7,4277
10,"whiting",59,37.4,519
7,"pollock",80,52.2,1454
3,"pollock",213,21.3,125
11,"whiting",115,16.1,49
11,"pollock",64,28.4,211
2,"hake",127,32.8,348
3,"haddock",180,44,971
12,"pollock",137,48.6,1203
3,"pollock",193,20.2,64
5,"pollock",118,59.3,1846
10,"haddock",96,75.9,4258
5,"pollock",189,39.8,729
2,"haddock",45,29.5,2599
3,"haddock",168,29.7,2682
10,"whiting",89,64.2,2052
10,"pollock",208,38.1,613
6,"hake",196,47.5,1000
10,"pollock",130,47.2,1014
10,"hake",85,29.8,270
11,"pollock",71,24,131
2,"hake",111,54.7,1649
3,"pollock",54,54.8,1683
8,"hake",205,76.3,5329
1,"hake",102,66.6,2037
6,"whiting",158,26.9,2513
2,"haddock",170,28.5,275
8,"pollock",128,25.3,150
5,"pollock",101,70.8,3626
3,"haddock",119,27.4,2551
2,"whiting",87,24.9,139
10,"whiting",69,38,358
10,"pollock",122,22.3,85
4,"whiting",74,39.3,493
2,"haddock",194,68.5,3524
2,"hake",150,31.5,290
1,"haddock",110,38.9,584
4,"whiting",151,36,383
9,"pollock",109,62.6,2688
3,"pollock",189,43.8,799
5,"haddock",54,28.1,2601
1,"whiting",49,49.2,1467
11,"whiting",118,36.9,352
8,"hake",57,60.5,2062
12,"whiting",83,43.8,1105
8,"pollock",60,19,59
7,"haddock",74,45.3,1034
2,"pollock",209,70.4,3224
8,"whiting",30,70.8,3681
12,"haddock",206,74.5,3709
4,"haddock",54,51.2,1058
11,"pollock",82,76.4,4450
4,"hake",117,37.7,598
10,"whiting",165,29,2484
6,"pollock",42,23.5,108
10,"haddock",109,33.7,450
3,"whiting",185,30.9,2565
3,"hake",86,61.2,2760
7,"pollock",80,55.8,2303
6,"hake",31,63.7,2157
2,"whiting",159,17.9,53
8,"whiting",196,59.5,1849
5,"whiting",169,23.1,119
1,"whiting",118,44.7,1008
2,"hake",97,76.7,4202
4,"haddock",60,56.9,2131
6,"haddock",177,27.9,2557
3,"pollock",108,77.5,4402
10,"whiting",151,51.7,1398
12,"whiting",162,27,2671
2,"whiting",161,60.5,1949
11,"whiting",188,56,1443
2,"haddock",51,28,2530
1,"pollock",102,39.6,480
8,"haddock",203,50,1078
2,"pollock",165,22.5,68
6,"whiting",146,47.7,944
1,"pollock",153,13.4,30
9,"haddock",58,12.3,17
10,"pollock",147,36.4,297
11,"hake",46,76.9,4380
4,"whiting",145,52.8,1282
1,"whiting",175,65.1,2132
8,"pollock",77,71.1,3606
1,"pollock",139,35.3,545
11,"hake",162,56.9,1779
3,"hake",176,16.7,35
11,"hake",171,37.3,521
4,"hake",192,48.7,799
8,"pollock",213,24.9,129
12,"whiting",186,57.7,1972
6,"pollock",33,35,425
7,"pollock",213,25,156
8,"whiting",44,28,2448
5,"pollock",179,61.6,2811
1,"haddock",114,26.6,188
5,"whiting",210,19.3,95
5,"hake",209,77.2,3790
6,"whiting",71,39.8,523
6,"haddock",143,39.3,414
5,"whiting",170,41,799
12,"hake",37,62.6,1973
2,"whiting",149,50.4,779
5,"haddock",74,70.3,3542
3,"whiting",63,46,936
4,"whiting",54,29.5,2464
7,"hake",209,50.8,1235
9,"pollock",179,36.5,435
7,"whiting",52,28.4,2572
9,"whiting",79,57.6,2043
8,"pollock",88,56.8,2067
3,"haddock",84,12.3,12
11,"whiting",38,34.3,378
6,"pollock",157,13.6,19
1,"hake",48,9.3,8
12,"haddock",88,43.6,947
12,"hake",86,61.4,2142
11,"hake",107,35.1,400
4,"haddock",181,58.3,1505
