"claim_id","product","purchase_date","claim_amount"
"C333871","washer",2022-07-09,182.21
"C523975","washer",2024-06-13,246.44
"C745279","fridge",2023-12-04,255.91
"C693957","fridge",2023-10-06,170.45
"C689372","washer",2023-02-08,231.23
"C486070","fridge",2022-02-22,117.41
"C426492","dryer",2023-03-13,191.18
"C159509","dryer",2022-07-27,127.16
"C619807","washer",2024-06-05,263.75
"C603634","fridge",2021-10-31,120.09
"C332880","range",2023-05-01,142.98
"C885924","fridge",2022-08-02,124.51
"C401844","dryer",2021-07-16,156.31
"C849916","dryer",2023-06-18,210.11
"C768451","range",2024-10-15,302.23
"C586153","fridge",2024-04-20,230.43
"C376083","washer",2023-01-13,182.91
"C782399","washer",2023-03-20,261.48
"C514081","dryer",2022-11-03,203.98
"C539484","fridge",2024-04-17,230.08
"C772679","range",2024-04-28,368.96
"C599773","fridge",2024-05-11,213.55
"C280420","washer",2023-05-25,239.26
"C583968","dryer",2021-10-22,163.54
"C873709","fridge",2023-01-07,223.23
"C506877","range",2024-08-23,211.47
"C195086","range",2030-01-01,412.41
"C513168","dryer",2024-08-07,239.11
"C371106","dryer",2023-10-01,258.8
"C393870","range",2021-03-16,185.21
"C627663","fridge",2030-01-01,163.95
"C164910","dryer",2022-10-22,242.09
"C278368","range",2022-03-13,189.18
"C457230","washer",2022-03-26,174.35
"C931827","range",2024-07-22,272.2
"C513509","dryer",2022-11-02,208.81
"C451924","fridge",2021-06-25,132
"C791346","range",2021-04-24,146.38
"C968127","fridge",2022-11-24,279.56
"C967094","dryer",2023-09-15,225.47
"C928008","fridge",2021-08-25,141.56
"C573555","range",2022-05-28,175.96
"C504470","fridge",2022-12-03,192.59
"C617032","fridge",2024-09-22,346.43
"C132459","range",2025-01-01,281.94
"C654458","range",2024-09-13,365.21
"C732094","dryer",2024-10-23,366.92
"C157091","dryer",2025-01-10,264.03
"C731420","fridge",2023-02-14,276.42
"C812252","range",2022-12-02,220.55
"C309523","dryer",2024-03-30,217.8
"C721525","washer",2024-07-17,289.39
"C314554","fridge",2021-10-04,165.91
"C869774","range",2022-07-20,227.77
"C913447","range",2023-08-07,217.4
"C776220","washer",2023-04-10,174.32
"C985455","fridge",2024-10-25,341.3
"C307710","dryer",2024-12-08,329.41
"C919006","range",2024-01-19,319.34
"C396928","dryer",2022-09-14,219.68
"C706114","dryer",2021-02-27,151.26
"C104972","dryer",2021-05-27,98.68
"C186467","range",2023-01-28,238.58
"C209749","dryer",2021-04-08,99.82
"C387444","fridge",2021-06-28,173.23
"C899172","dryer",2023-05-07,184.63
"C172428","washer",2023-07-09,227.68
"C113501","washer",2024-11-19,267.69
"C620630","washer",2023-06-01,252.24
"C172614","dryer",2022-04-05,185.26
"C882827","range",2021-07-03,174.75
"C665177","fridge",2021-06-15,172.24
"C386559","fridge",2023-01-30,199.99
"C848187","fridge",2023-04-21,212.43
"C219477","fridge",2022-12-23,205.59
"C729821","washer",2022-06-21,167.6
"C544638","dryer",2024-12-30,363.23
"C179337","range",2024-12-20,206.45
"C374418","fridge",2024-01-20,238.73
"C627050","fridge",2024-10-01,330.92
"C868653","range",2022-04-09,210.62
"C893026","dryer",2022-06-11,253.58
"C479344","washer",2024-10-19,376.27
"C314762","fridge",2022-12-17,235.15
"C914412","fridge",2023-09-04,222.43
"C696423","range",2022-11-04,234.7
"C477328","dryer",2022-10-02,160.41
"C441988","washer",2024-08-29,274.16
"C963687","fridge",2021-06-06,114.56
"C314305","range",2024-09-23,402.09
"C898775","washer",2025-01-26,442.35
"C448560","dryer",2023-05-12,259.92
"C181434","range",2021-01-11,151.04
"C934110","dryer",2022-02-23,161.75
"C550195","dryer",2022-12-25,173.15
"C577886","dryer",2021-02-15,107.89
"C195618","fridge",2024-09-29,280.22
"C686453","washer",2024-06-11,253.79
"C811753","range",2023-08-21,309.8
"C865767","washer",2030-01-01,97.85
"C864318","dryer",2021-05-31,125.02
"C858616","washer",2023-07-31,189.36
"C170114","range",2022-06-20,149.47
"C748033","dryer",2022-02-02,187.5
"C334105","range",2024-03-03,273.32
"C317925","range",2023-07-31,204.81
"C671234","washer",2024-11-30,346.54
"C643727","dryer",2024-04-05,274.55
"C621801","range",2023-10-12,243.96
"C795824","fridge",2024-11-20,333.69
"C730820","fridge",2021-05-31,184.57
"C946661","fridge",2022-06-17,165.94
"C123405","fridge",2023-06-28,191.72
"C647963","fridge",2022-03-27,260.35
"C669669","range",2024-12-07,314.28
"C353518","range",2021-01-02,103.82
"C632810","fridge",2024-07-27,263.29
"C641745","range",2023-10-31,230.62
"C368480","washer",2023-09-13,191.08
"C487689","fridge",2023-04-12,230.25
"C103267","fridge",2022-11-09,250.47
"C597311","range",2021-11-02,162.74
"C794643","range",2022-01-14,219.66
"C752494","washer",2023-01-02,208.59
