"station_id","month","morning_c","afternoon_c"
"WX01","Apr",19.1,16.2
"WX08","Apr",21.2,17.9
"WX25","Aug",8.6,11.9
"WX18","May",15.9,17.8
"WX17","Aug",16.5,13.8
"WX11","May",20.3,17.9
"WX21","Sep",10.1,14.1
"WX05","Aug",17,13.7
"WX17","Apr",15.6,17.1
"WX24","Apr",22.5,18.7
"WX25","Aug",15.9,19.2
"WX07","May",6.5,9.7
"WX16","Apr",19,22.1
"WX15","Aug",22,24.5
"WX05","Aug",10.9,8.2
"WX25","May",14.6,16.5
"WX08","Sep",20.1,17.2
"WX12","Sep",10.7,13.9
"WX15","May",15.7,18.7
"WX18","Jun",11.1,6.9
"WX03","Sep",25.2,21.9
"WX13","May",21.6,24.6
"WX14","Sep",10.2,14.2
"WX10","Apr",21.9,20.2
"WX17","Aug",9,12.5
"WX20","Sep",16,19.9
"WX10","Jul",10.6,11.8
"WX10","Apr",17.1,20.8
"WX05","Aug",19.3,20.4
"WX01","Sep",20.1,23.8
"WX06","Aug",18.3,19.5
"WX21","Jul",23.1,20.9
"WX25","May",15,12
"WX12","Jun",6.5,10
"WX17","Jul",22,18.8
"WX09","Jun",16.5,11.5
"WX05","May",15.3,16.8
"WX07","Jun",19.9,18.1
"WX02","May",14.4,16.1
"WX05","May",19.1,20.3
"WX21","Sep",17.5,19.2
"WX23","Aug",12.9,11.2
"WX10","Jul",16,19
"WX06","Aug",12.4,9.1
"WX07","Jun",12.7,16.6
"WX15","Aug",9.8,11.5
"WX20","Aug",8.9,6.1
"WX24","Jul",16.8,13.7
"WX04","Sep",10.7,13.9
"WX18","Jul",23.2,19.2
"WX09","Apr",10.2,6.5
"WX18","Sep",12.5,8.9
"WX14","Apr",13.2,17.6
"WX01","Jul",22.4,18.2
"WX03","Jun",8.4,12.4
"WX12","Sep",20.1,16.3
"WX19","Jun",11.1,15.5
"WX04","May",21.4,24.1
"WX03","Aug",8.3,10.5
"WX10","Jul",20.5,25
"WX21","Sep",15.5,11.6
"WX16","Jul",21.9,25.1
"WX01","Aug",6.2,9.8
"WX04","Apr",22.1,20.2
"WX07","Apr",22.8,21.4
"WX04","May",13.5,18.3
"WX25","Sep",20,23.2
"WX16","Jun",21.4,17.9
"WX07","Apr",24.7,21.3
"WX14","May",11.4,8.1
"WX03","Jul",18.7,22.5
"WX05","Jun",15.1,16.6
"WX18","Apr",16.9,21.5
"WX05","Sep",13.7,15.9
"WX23","Jul",9.8,12.7
"WX03","Aug",8.2,11.7
"WX15","Apr",18,22.6
"WX18","Apr",22.3,19
"WX23","Apr",15,18.9
"WX14","Aug",18.4,20.2
"WX12","May",18.1,14.4
"WX16","May",12.3,14
"WX03","Apr",7.5,9.3
"WX07","Apr",9,6.9
"WX11","Jun",17.1,14.7
"WX10","May",13.3,15.8
"WX25","Jun",18.6,22.7
"WX16","Apr",13.5,18.5
"WX17","May",14.2,11.8
"WX21","Aug",7.4,6.3
"WX24","Jul",14.9,20.6
"WX21","Sep",15.2,17.4
"WX25","Aug",13,9.5
"WX02","Jul",12.6,9.1
"WX04","May",9.6,6.5
"WX16","May",24.8,21.7
"WX15","Sep",18.8,15.4
"WX01","Jun",12.2,15.8
"WX19","May",20.3,16.2
"WX14","Apr",14.8,12.8
"WX07","Apr",7.7,10.7
"WX06","Apr",14,17.8
"WX18","Jul",18.2,15.5
"WX08","May",7.4,11.1
"WX22","Aug",7.2,10.3
"WX14","Jun",13.1,14.8
"WX24","Sep",18.6,23
"WX14","Jun",6.6,10
"WX01","Jun",10.5,7.7
"WX05","Aug",17,16.5
"WX12","Jul",7.8,10.4
"WX21","May",23.6,21.3
"WX04","Apr",16.5,20.1
"WX17","May",10,12.5
"WX07","Jun",12.1,17.8
"WX15","Apr",6.4,9.3
"WX21","Aug",14.1,18.2
"WX11","Sep",15.3,20
"WX17","Apr",13.9,16.5
"WX10","Jul",12.6,11.1
"WX07","Aug",12.2,7.8
"WX24","Jul",20.7,18.3
"WX23","Jul",10,12.3
"WX12","Jul",12.4,8.6
"WX18","May",17.7,13.2
"WX18","Jul",17.6,20.7
"WX22","Jun",12.8,11.4
"WX23","Apr",10.6,13.4
"WX01","Apr",7.7,11.3
"WX08","Jun",20.9,25.5
"WX10","Aug",13.8,10.2
"WX14","Sep",21.8,20.7
"WX11","Apr",10.6,7.1
"WX12","Aug",22,24.8
"WX17","May",17.3,14.6
"WX07","May",16.2,14.9
"WX01","Apr",8.2,8.8
"WX19","May",16.2,20.8
"WX14","Apr",16.6,19.1
"WX02","Jul",10.4,12.2
"WX20","Apr",16.4,20.7
"WX09","Jun",21.4,22.8
"WX16","Sep",21.4,23.6
"WX03","Sep",22,19.7
"WX10","Jul",23.7,20.4
"WX24","Jul",10.6,8.3
"WX23","Apr",23.1,20.5
"WX08","Apr",7.8,10.2
"WX14","Jun",16.9,21.3
"WX25","May",24,20.5
"WX08","Sep",24.1,20.7
"WX14","Apr",14.4,12.4
"WX13","Jun",13.1,10.4
"WX19","Apr",24.6,21.6
"WX23","Apr",17.6,14.4
"WX22","Jun",23.9,19.2
"WX03","Jul",15.1,13.2
"WX20","Sep",21.1,19.9
"WX15","Sep",6.6,9.4
"WX08","Jun",15.3,18
"WX11","Aug",23,19.3
"WX04","Jun",11.5,15.5
"WX03","Apr",12.7,15.8
"WX24","Aug",19.7,19.9
"WX12","Jul",17.9,15
"WX05","Sep",7,10.7
"WX14","May",6.2,9
"WX15","Sep",11.6,15.2
"WX19","Jun",22.1,19
"WX17","Jul",8.5,11.1
