"participant","employment","sleep_hours","stress_score"
"W103","student",6.1,51.4
"W121","part-time",4.8,54.6
"W166","part-time",5.9,50.8
"W183","student",7.2,41
"W200","part-time",4.6,60.5
"W068","full-time",4.5,63.8
"W020","student",6.2,68.1
"W134","student",8.2,32.1
"W173","full-time",6.3,47.8
"W136","full-time",9.7,23.8
"W100","student",8.6,30.5
"W155","student",8.5,34.8
"W164","part-time",5.4,54.5
"W141","part-time",4.1,49.6
"W192","student",7,42.5
"W120","part-time",4.8,60.6
"W062","full-time",4.4,74
"W097","retired",6.9,52.7
"W086","part-time",8.1,46.4
"W107","part-time",6.9,50.1
"W151","retired",5.6,47.4
"W082","retired",7.6,37.7
"W209","retired",8,35
"W051","part-time",8.2,33.5
"W027","part-time",8.7,27.8
"W077","part-time",6.4,49.9
"W008","student",7.1,45.3
"W030","part-time",5.6,43.8
"W057","retired",7.9,32.2
"W203","retired",5.9,50.8
"W201","full-time",7.1,41.8
"W169","student",8.3,32.7
"W037","full-time",5.4,49
"W197","full-time",6.9,43.2
"W108","student",8.3,26.2
"W167","retired",8.6,30.5
"W042","retired",4.2,66.8
"W122","part-time",4.9,57.8
"W083","full-time",7.9,41
"W070","full-time",7.5,37.7
"W029","retired",9.3,38.5
"W036","student",9,17.4
"W101","student",7.8,46.4
"W026","retired",8.7,32.3
"W007","student",4.2,71
"W194","retired",9,27.5
"W040","student",5,51.3
"W195","retired",7.9,35.8
"W024","retired",7.6,38.9
"W091","student",6.6,55.6
"W089","retired",7.2,43.8
"W021","full-time",7.4,38.8
"W179","full-time",9.4,24.5
"W081","retired",6.8,48.8
"W131","student",8.8,27.4
"W126","full-time",4.7,49.3
"W157","part-time",7,49.8
"W087","full-time",7.4,24.6
"W011","full-time",7.3,36.8
"W154","part-time",6.2,24.9
"W150","retired",7.3,42.5
"W071","student",9.9,18.1
"W116","retired",9,25
"W106","part-time",8.5,26.2
"W060","full-time",7,48.2
"W095","retired",7,30.8
"W189","retired",6.5,46.2
"W041","part-time",6.8,39.9
"W118","part-time",7.8,13.6
"W075","retired",4.8,43.3
"W180","part-time",7.9,35.8
"W204","student",5.7,52.2
"W135","part-time",8.7,25.1
"W044","full-time",9.8,18.1
"W059","full-time",9,31.5
"W031","part-time",6,50.8
"W002","retired",9.8,31.4
"W129","retired",9.6,8.2
"W025","part-time",6,49.7
"W047","part-time",6.1,47.6
"W012","full-time",5.3,48.1
"W098","student",9.9,16.9
"W196","student",7.7,37.2
"W080","student",7.2,37.8
"W142","student",5.6,63.3
"W048","retired",5,50.2
"W177","full-time",9,27.5
"W148","full-time",6.2,42.3
"W064","part-time",7.6,28.9
"W128","part-time",8,40.8
"W023","retired",8.2,23.2
"W104","student",9.2,31
"W163","student",7.2,41
"W159","retired",7.9,28.5
"W085","student",6.9,38.9
"W178","part-time",8.1,34.2
"W114","full-time",8.4,28.2
"W170","part-time",8.4,32
"W038","retired",6.3,52.9
"W158","full-time",6.3,48.9
"W205","full-time",5.9,50.8
"W187","full-time",5.9,50.8
"W009","part-time",5.4,58.4
"W072","retired",6.9,39.5
"W185","student",5.4,54.5
"W140","part-time",4.8,65
"W088","student",7.6,35.3
"W149","full-time",8.2,38.2
"W052","part-time",5.6,57.8
"W117","retired",8.1,42.6
"W013","student",5.2,60.2
"W161","student",6.9,43.2
"W056","student",8,42.5
"W066","student",6,33
"W156","full-time",6.6,55.8
"W018","part-time",6.7,33.4
"W028","student",9.9,19.9
"W145","part-time",10,14.6
"W188","part-time",7.9,35.8
"W061","student",6.5,41.2
"W143","student",9.7,17.6
"W003","full-time",4.8,61
"W133","student",7.1,32.4
"W019","part-time",4.7,65.7
"W171","full-time",7,42.5
"W006","full-time",8.2,38.5
"W176","retired",9.2,26
"W073","full-time",6.8,47
"W010","retired",8.6,25.1
"W099","full-time",5.2,59.1
"W076","retired",5.3,61.6
"W119","retired",4.1,53
"W184","retired",8.6,30.5
"W127","part-time",5.7,43.8
"W014","part-time",6.2,49.3
"W032","full-time",9.7,21.6
"W084","full-time",5,50.8
"W043","part-time",5.1,55.6
"W186","retired",9.5,23.8
"W033","part-time",8.7,40.7
"W174","full-time",5.2,56
"W199","student",8.8,29
"W067","retired",9.9,16.4
"W004","student",4.2,65.5
"W015","full-time",6.4,48
"W125","retired",9.2,34.6
"W034","retired",4.4,47.9
"W206","full-time",6.8,44
"W058","student",9.2,19.7
"W053","retired",6.3,44
"W055","student",6.9,40.4
"W172","student",7.3,40.2
"W069","retired",6.5,50.2
"W193","part-time",8.3,32.7
"W182","retired",5.9,50.8
"W016","retired",9.5,27
"W202","retired",5.2,56
"W153","student",9.2,38.4
"W078","retired",4,64.5
"W144","retired",4.3,64
"W181","retired",6.7,44.8
"W092","retired",5.9,56.8
"W137","part-time",4.7,55.2
"W094","full-time",5.3,62.4
"W105","student",7.7,30.8
"W110","part-time",4.2,53.6
"W093","student",6.1,42.8
"W035","full-time",6.9,55.7
"W162","part-time",6.1,49.2
"W160","part-time",7.5,30.6
"W017","retired",4.8,65
"W049","student",4.8,57.8
"W165","part-time",8.7,29.8
"W045","part-time",9.4,26.3
"W207","retired",8.9,28.2
"W111","full-time",9.6,16
"W096","student",6.9,28.4
"W132","student",7.9,32.1
"W210","retired",5.9,50.8
"W102","full-time",7.6,32.5
"W054","student",7.1,21.1
"W139","student",9.3,32.3
"W123","retired",8.9,22.2
"W198","part-time",5.2,56
"W079","full-time",5.2,52.5
"W063","retired",8.4,15.7
"W146","part-time",6.9,41.3
"W208","retired",6.8,44
"W168","student",5.5,53.8
"W138","full-time",7.2,60.2
"W112","full-time",5.2,58.6
"W109","part-time",6,43
"W190","student",7.6,38
"W074","student",9,43.1
"W115","student",6.6,58.7
"W001","full-time",9.4,20.4
"W152","retired",5.7,45.6
"W124","student",4.7,50
"W039","full-time",6.8,51.6
"W050","full-time",8.9,38
"W191","student",6.1,49.2
"W005","full-time",8.2,28.5
"W113","student",4.1,56.1
"W130","student",4.4,59.2
"W065","part-time",7.5,39.4
"W046","student",8.2,49.4
"W022","part-time",8.7,23.4
"W147","part-time",6,45
"W175","retired",5.6,53
"W090","full-time",9,26.9
